,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300134,大富科技,10.61,20.02,1.77,1047101.0,1011392855.3,19.34,10.61,8.9,8.92,8.84,14.7,-29.74,1.9
1,2,300250,初灵信息,13.34,15.3,1.77,427977.0,551592692.98,19.27,13.88,11.65,11.78,11.57,27.15,-72.05,5.0
2,3,600405,动力源,3.81,10.12,0.35,441399.0,164243673.0,11.27,3.81,3.42,3.47,3.46,7.98,-10.1,4.22
3,4,603083,剑桥科技,28.73,9.99,2.61,384412.0,1077003888.0,11.68,28.73,25.68,25.93,26.12,14.5,48.13,3.53
4,5,603118,共进股份,6.94,9.98,0.63,531740.0,352452174.0,13.15,6.94,6.11,6.28,6.31,6.75,-165.94,1.09
5,6,300602,飞荣达,15.03,8.44,1.17,332065.0,484282162.99,15.58,15.66,13.5,13.85,13.86,8.48,77.08,2.32
6,7,002123,梦网科技,6.37,6.52,0.39,485344.0,299976444.12,11.04,6.5,5.84,5.98,5.98,7.07,276.03,3.12
7,8,300635,中达安,8.2,6.22,0.48,169421.0,139808656.02,19.69,9.0,7.48,7.63,7.72,14.11,121.02,2.61
8,9,002792,通宇通讯,10.86,6.05,0.62,216347.0,231624378.06,11.72,11.25,10.05,10.3,10.24,6.9,118.63,2.06
9,10,603042,华脉科技,10.26,5.56,0.54,162564.0,164310668.0,8.33,10.45,9.64,9.88,9.72,10.12,-202.01,1.87
10,11,603991,至正股份,44.28,5.48,2.3,22067.0,96591178.0,6.26,44.63,42.0,42.33,41.98,2.96,-266.75,13.19
11,12,300620,光库科技,32.84,5.46,1.7,64214.0,206530512.9,7.71,33.27,30.87,31.3,31.14,2.65,134.85,4.37
12,13,002786,银宝山新,8.18,5.41,0.42,1195946.0,962716925.28,11.21,8.54,7.67,8.05,7.76,24.2,-28.27,9.52
13,14,300376,ST易事特,2.48,5.08,0.12,380190.0,93631917.48,8.05,2.54,2.35,2.35,2.36,1.63,23.16,0.81
14,15,002309,*ST中利,1.95,4.84,0.09,123428.0,24065289.0,1.08,1.95,1.93,1.95,1.86,1.42,-3.2,-2.1
15,16,002446,盛路通信,5.52,4.74,0.25,291747.0,158667903.13,7.02,5.59,5.22,5.29,5.27,3.44,50.93,1.55
16,17,300571,平治信息,20.16,4.62,0.89,34336.0,67815178.0,6.75,20.23,18.93,19.25,19.27,2.97,463.33,1.78
17,18,300308,中际旭创,106.43,4.34,4.43,330988.0,3482064294.4,7.25,108.73,101.34,102.2,102.0,2.97,25.3,7.37
18,19,002194,武汉凡谷,8.62,3.98,0.33,333728.0,282572865.79,6.03,8.66,8.16,8.33,8.29,6.55,98.47,2.34
19,20,300814,中富电路,24.19,3.95,0.92,33294.0,79746435.02,7.31,24.71,23.01,23.18,23.27,1.89,83.44,3.76
20,21,002313,日海智能,6.1,3.92,0.23,57559.0,34323893.99,5.11,6.1,5.8,5.88,5.87,1.54,-30.04,14.16
21,22,000004,国华网安,12.17,3.84,0.45,194498.0,235351291.92,6.4,12.4,11.65,11.73,11.72,15.4,-42.39,9.12
22,23,300353,东土科技,7.86,3.69,0.28,152202.0,118508428.6,3.69,7.88,7.6,7.65,7.58,2.91,-25.95,2.38
23,24,300570,太辰光,27.98,3.67,0.99,95010.0,261664674.46,5.56,28.26,26.76,27.21,26.99,4.94,39.96,4.74
24,25,300548,博创科技,17.4,3.63,0.61,74309.0,127831116.89,6.02,17.63,16.62,16.79,16.79,3.34,181.27,3.03
25,26,300520,科大国创,14.35,3.61,0.5,68146.0,96222431.66,5.78,14.48,13.68,13.88,13.85,2.46,-106.11,2.24
26,27,603803,瑞斯康达,5.52,3.56,0.19,75489.0,40870985.0,4.88,5.54,5.28,5.33,5.33,1.78,-31.73,1.39
27,28,300846,首都在线,9.44,3.51,0.32,94965.0,88184123.71,5.59,9.5,8.99,9.14,9.12,2.66,-25.62,4.18
28,29,300222,科大智能,5.91,3.5,0.2,170002.0,99504496.0,5.6,5.97,5.65,5.72,5.71,2.67,94.51,2.78
29,30,002902,铭普光磁,18.81,3.47,0.63,111351.0,205943322.0,5.83,18.92,17.86,18.33,18.18,7.23,-27.96,3.8
30,31,300903,科翔股份,6.62,3.44,0.22,91520.0,59436174.5,4.53,6.62,6.33,6.4,6.4,2.78,-13.95,1.31
31,32,300379,东方通,9.36,3.43,0.31,376464.0,343931485.58,7.62,9.46,8.77,9.09,9.05,7.15,-15.72,1.48
32,33,603220,中贝通信,18.16,3.42,0.6,135966.0,242613716.0,5.98,18.34,17.29,17.6,17.56,3.13,37.55,4.15
33,34,688609,九联科技,7.99,3.36,0.26,134749.0,105431262.0,7.37,8.08,7.51,7.78,7.73,2.69,-36.69,4.08
34,35,603602,纵横通信,12.65,3.35,0.41,41161.0,51310894.0,4.17,12.71,12.2,12.28,12.24,2.0,161.61,3.7
35,36,300647,超频三,5.33,3.29,0.17,315974.0,165942884.6,6.78,5.38,5.03,5.17,5.16,6.92,-67.91,2.51
36,37,003007,直真科技,24.31,3.18,0.75,41550.0,99985804.7,5.9,24.55,23.16,23.51,23.56,5.62,-54.54,3.02
37,38,300590,移为通信,10.39,3.18,0.32,60056.0,61438236.79,4.47,10.43,9.98,10.11,10.07,1.7,24.18,2.66
38,39,300322,硕贝德,9.87,3.13,0.3,303568.0,294403700.0,5.43,9.91,9.39,9.6,9.57,6.82,741.08,4.44
39,40,300366,创意信息,7.33,3.09,0.22,146629.0,105674839.94,4.78,7.37,7.03,7.11,7.11,2.76,-19.21,2.45
40,41,688159,有方科技,25.05,3.04,0.74,13134.0,32421730.0,4.57,25.3,24.19,24.5,24.31,1.43,14.12,2.78
41,42,300252,金信诺,6.81,3.03,0.2,172436.0,115791640.5,4.54,6.83,6.53,6.68,6.61,3.21,701.94,2.1
42,43,300615,欣天科技,9.94,3.01,0.29,64538.0,63260050.0,4.25,9.97,9.56,9.65,9.65,4.91,-41.29,3.74
43,44,002463,沪电股份,30.89,2.97,0.89,324354.0,992540077.16,4.2,31.16,29.9,30.1,30.0,1.69,25.93,5.84
44,45,002837,英维克,20.08,2.92,0.57,97727.0,193440101.96,4.82,20.25,19.31,19.6,19.51,1.52,40.47,5.74
45,46,688182,灿勤科技,11.64,2.92,0.33,29750.0,33941752.0,6.45,11.8,11.07,11.38,11.31,2.98,68.14,2.17
46,47,688020,方邦股份,28.77,2.9,0.81,5958.0,16825625.0,4.15,28.86,27.7,28.05,27.96,0.74,-52.85,1.61
47,48,002491,通鼎互联,3.23,2.87,0.09,128464.0,40845912.0,4.46,3.24,3.1,3.13,3.14,1.09,-51.02,1.64
48,49,000909,ST数源,3.31,2.8,0.09,45577.0,14887941.3,4.35,3.34,3.2,3.23,3.22,1.04,10.18,1.19
49,50,300752,隆利科技,13.26,2.79,0.36,57564.0,74751417.0,6.59,13.36,12.51,12.84,12.9,3.74,29.82,2.66
50,51,002929,润建股份,24.8,2.78,0.67,37133.0,90694949.61,5.14,25.1,23.86,24.15,24.13,1.74,14.81,1.13
51,52,300735,光弘科技,17.8,2.77,0.48,217891.0,382200811.18,5.08,17.98,17.1,17.35,17.32,2.88,69.07,2.88
52,53,002848,高斯贝尔,6.86,2.69,0.18,57626.0,38735486.0,4.94,6.88,6.55,6.75,6.68,3.53,-16.78,7.91
53,54,300504,天邑股份,13.42,2.68,0.35,148555.0,192951123.22,8.8,13.66,12.51,13.09,13.07,6.81,54.48,1.63
54,55,300079,数码视讯,4.24,2.66,0.11,354181.0,147186200.0,5.57,4.26,4.03,4.14,4.13,2.76,5160.33,1.44
55,56,688313,仕佳光子,8.5,2.66,0.22,52045.0,43639233.0,4.47,8.58,8.21,8.26,8.28,1.13,163.09,3.42
56,57,002137,实益达,5.04,2.65,0.13,188425.0,93685981.46,4.68,5.08,4.85,4.9,4.91,4.75,59.71,1.89
57,58,300513,恒实科技,7.37,2.65,0.19,58282.0,42221221.56,4.18,7.39,7.09,7.19,7.18,2.07,-22.68,0.98
58,59,600345,长江通信,15.18,2.64,0.39,44154.0,65965199.0,4.39,15.26,14.61,14.9,14.79,2.23,101.24,1.46
59,60,300870,欧陆通,39.45,2.63,1.01,16934.0,66036130.05,5.07,39.85,37.9,38.44,38.44,1.67,23.12,2.1
60,61,600498,烽火通信,14.1,2.62,0.36,113307.0,157442384.0,4.29,14.17,13.58,13.77,13.74,0.99,38.5,1.34
61,62,300166,东方国信,6.33,2.59,0.16,210557.0,131580966.41,5.67,6.42,6.07,6.19,6.17,2.33,239.26,1.2
62,63,600734,实达集团,2.88,2.49,0.07,204031.0,57923257.0,5.34,2.9,2.75,2.79,2.81,0.97,61.11,14.14
63,64,301013,利和兴,10.31,2.49,0.25,98893.0,100215289.0,5.37,10.39,9.85,10.04,10.06,5.23,89.61,2.83
64,65,300578,会畅通讯,13.61,2.48,0.33,44164.0,58918083.0,5.72,13.67,12.91,13.28,13.28,2.28,78.14,2.31
65,66,002364,中恒电气,6.21,2.48,0.15,126207.0,77360934.02,4.62,6.25,5.97,6.06,6.06,2.26,25.73,1.49
66,67,603298,杭叉集团,17.08,2.46,0.41,52477.0,88647955.0,4.68,17.28,16.5,16.7,16.67,0.4,11.11,2.46
67,68,000889,ST中嘉,1.67,2.45,0.04,213877.0,35810601.6,5.52,1.71,1.62,1.63,1.63,2.46,-53.94,12.9
68,69,300913,兆龙互连,26.99,2.43,0.64,32626.0,86523809.4,4.93,27.14,25.84,26.35,26.35,1.54,58.75,6.28
69,70,002268,电科网安,12.25,2.42,0.29,66414.0,79783036.32,4.6,12.35,11.8,12.02,11.96,0.79,-24.05,1.97
