,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002938,鹏鼎控股,27.2,1.3,0.35,0.0,0.71,0.45,2.9,4.48亿,23.15亿,629.71亿,31.73
1,2,000066,中国长城,9.41,-1.16,-0.11,-0.11,0.72,0.66,2.94,2.15亿,31.47亿,296.11亿,--
2,3,001314,亿道信息,41.67,-0.71,-0.3,-0.05,5.65,0.88,2.91,1.22亿,0.52亿,21.57亿,--
3,4,872190,雷神科技,14.19,-2.41,-0.35,0.0,2.88,0.87,4.88,0.21亿,0.53亿,7.46亿,58.25
4,5,300956,英力股份,12.47,-2.96,-0.38,-0.24,4.42,0.71,3.73,0.32亿,0.57亿,7.11亿,113.77
5,6,600745,闻泰科技,32.33,-1.4,-0.46,-0.03,0.87,0.77,2.59,3.50亿,12.43亿,401.80亿,70.05
6,7,603341,龙旗科技,41.82,-1.55,-0.66,-0.1,5.73,0.92,2.87,1.12亿,0.47亿,19.47亿,37.96
7,8,002913,奥士康,24.88,-3.04,-0.78,0.08,1.34,0.96,4.01,0.89亿,2.66亿,66.15亿,17.69
8,9,002156,通富微电,20.03,-3.89,-0.81,-0.1,4.25,1.16,4.27,13.04亿,15.17亿,303.84亿,77.13
9,10,688031,星环科技,43.55,-2.27,-1.01,0.25,2.25,0.82,5.34,0.91亿,0.92亿,40.27亿,--
10,11,300496,中科创达,47.41,-2.65,-1.29,-0.02,2.83,0.77,3.98,4.96亿,3.67亿,173.91亿,60.07
11,12,301236,软通动力,39.65,-3.74,-1.54,0.0,4.73,0.83,4.61,12.84亿,6.80亿,269.75亿,--
12,13,300476,胜宏科技,28.74,-5.3,-1.61,0.07,4.62,0.98,5.73,11.39亿,8.55亿,245.79亿,29.57
13,14,688595,芯海科技,29.18,-5.38,-1.66,-0.24,1.41,0.84,6.68,0.60亿,1.42亿,41.56亿,--
14,15,603296,华勤技术,71.81,-2.54,-1.87,-0.03,2.98,1.09,3.58,1.32亿,0.61亿,44.10亿,21.52
15,16,688525,佰维存储,51.04,-5.01,-2.69,0.08,7.75,0.85,4.6,9.98亿,2.49亿,126.96亿,32.77
16,17,301489,思泉新材,64.08,-4.6,-3.09,0.0,15.76,0.79,4.88,1.47亿,0.14亿,9.24亿,93.63
17,18,301308,江波龙,91.2,-4.13,-3.93,0.0,5.8,0.9,4.17,6.03亿,1.13亿,102.93亿,24.51
