,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603806,福斯特,27.22,4.21,1.1,0.26,1.3,2.04,4.63,6.56亿,18.64亿,507.43亿,24.32
1,2,688559,海目星,29.6,3.42,0.98,0.03,2.48,1.49,3.7,1.49亿,2.04亿,60.37亿,36.49
2,3,603051,鹿山新材,26.73,1.06,0.28,0.0,7.38,0.94,3.86,0.97亿,0.49亿,13.22亿,25.00
3,4,002306,中科云网,3.25,4.84,0.15,-0.31,6.3,2.69,8.06,1.66亿,8.14亿,26.45亿,--
4,5,300776,帝尔激光,45.38,0.24,0.11,0.04,1.69,0.99,2.39,1.28亿,1.67亿,75.84亿,22.94
5,6,688560,明冠新材,12.74,0.32,0.04,0.0,1.38,1.22,2.99,0.35亿,2.01亿,25.65亿,80.86
6,7,688223,晶科能源,7.57,0.27,0.02,0.0,2.33,1.51,3.71,5.39亿,31.09亿,235.32亿,16.11
7,8,300041,回天新材,8.11,0.25,0.02,0.0,2.71,1.18,1.85,1.19亿,5.44亿,44.15亿,14.29
8,9,839167,同享科技,16.88,-0.18,-0.03,0.0,3.73,1.17,5.97,0.42亿,0.65亿,10.99亿,14.08
9,10,300537,广信材料,15.11,-0.33,-0.05,-0.13,5.84,1.6,4.02,1.22亿,1.37亿,20.64亿,50.61
10,11,002056,横店东磁,14.41,-0.35,-0.05,-0.21,0.84,0.83,1.87,1.95亿,16.25亿,234.17亿,16.59
11,12,300305,裕兴股份,6.54,-0.76,-0.05,0.15,1.19,0.95,2.28,0.18亿,2.33亿,15.21亿,--
12,13,300410,正业科技,5.71,-1.04,-0.06,0.0,1.92,1.02,2.77,0.40亿,3.67亿,20.95亿,--
13,14,300842,帝科股份,54.71,-0.26,-0.14,0.02,6.26,1.36,3.28,4.29亿,1.25亿,68.44亿,10.95
14,15,002079,苏州固锝,9.3,-1.79,-0.17,-0.11,1.39,1.15,2.96,1.05亿,8.07亿,75.06亿,252.90
15,16,603212,赛伍技术,12.06,-1.55,-0.19,-0.08,1.72,0.96,3.27,0.91亿,4.37亿,52.76亿,46.20
16,17,301021,英诺激光,16.93,-1.17,-0.2,0.0,3.69,1.25,4.67,0.44亿,0.70亿,11.84亿,--
17,18,002795,永和智控,4.12,-4.63,-0.2,-0.24,5.64,0.8,8.1,1.01亿,4.31亿,17.76亿,--
18,19,300393,中来股份,7.42,-3.26,-0.25,0.0,1.78,0.86,4.17,1.26亿,9.54亿,70.78亿,--
19,20,688680,海优新材,38.32,-0.85,-0.33,-0.05,2.62,1.15,3.67,0.84亿,0.84亿,32.20亿,--
20,21,688599,天合光能,21.28,-1.53,-0.33,-0.33,1.0,1.21,3.98,4.62亿,21.79亿,463.77亿,22.48
21,22,002129,TCL中环,10.43,-3.78,-0.41,-0.1,2.22,0.8,4.71,9.40亿,40.40亿,421.34亿,--
22,23,688429,时创能源,14.45,-3.02,-0.45,-0.07,3.98,1.67,5.1,0.18亿,0.32亿,4.62亿,--
23,24,300450,先导智能,22.3,-1.98,-0.45,-0.18,1.46,0.64,2.15,4.76亿,14.49亿,323.18亿,15.47
24,25,600732,爱旭股份,11.95,-4.71,-0.59,0.0,2.25,0.98,5.26,4.33亿,15.97亿,190.85亿,--
25,26,300757,罗博特科,131.0,-0.53,-0.7,-0.53,6.48,0.67,5.22,8.90亿,1.04亿,136.24亿,612.95
26,27,301266,宇邦新材,36.81,-1.97,-0.74,0.05,9.6,1.1,4.47,1.32亿,0.38亿,13.80亿,27.65
27,28,002459,晶澳科技,14.22,-5.2,-0.78,0.0,2.73,1.55,5.0,12.92亿,33.06亿,470.12亿,--
28,29,600438,通威股份,21.7,-3.51,-0.79,-0.73,1.77,1.78,5.96,17.38亿,45.02亿,976.93亿,--
29,30,601012,隆基绿能,18.2,-4.21,-0.8,-0.06,2.39,1.94,3.1,33.06亿,75.78亿,1379.20亿,--
30,31,688147,微导纳米,31.66,-2.7,-0.88,0.0,2.76,1.14,3.44,0.74亿,0.84亿,26.64亿,1006.6
31,32,300724,捷佳伟创,68.7,-1.86,-1.3,0.0,3.62,0.91,1.97,6.86亿,2.74亿,188.33亿,10.34
32,33,688630,芯碁微装,65.65,-2.67,-1.8,-0.02,0.86,0.51,2.79,0.74亿,1.31亿,86.28亿,54.25
33,34,002865,钧达股份,51.48,-4.65,-2.51,0.0,4.99,1.39,4.85,5.80亿,2.24亿,115.13亿,148.91
34,35,688516,奥特维,90.11,-5.27,-5.01,-0.31,1.46,0.93,5.54,2.77亿,2.07亿,186.81亿,15.2
