,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300496,中科创达,56.49,8.22,4.29,-0.14,13.82,1.82,11.53,28.23亿,3.67亿,207.37亿,71.58
1,2,301236,软通动力,39.78,4.57,1.74,-0.03,7.77,2.0,8.33,21.17亿,6.80亿,270.63亿,--
2,3,300624,万兴科技,80.15,1.2,0.95,0.01,3.42,1.09,1.78,3.37亿,1.22亿,98.14亿,108.00
3,4,301380,挖金客,33.43,2.92,0.95,-0.03,2.86,1.04,3.63,0.29亿,0.30亿,10.08亿,46.78
4,5,301396,宏景科技,19.66,3.91,0.74,0.1,3.49,1.56,4.18,0.35亿,0.51亿,10.02亿,--
5,6,603859,能科科技,34.19,2.21,0.74,0.24,0.96,1.08,4.28,0.54亿,1.67亿,56.95亿,25.55
6,7,301313,凡拓数创,22.71,3.32,0.73,-0.18,3.95,1.0,3.5,0.58亿,0.65亿,14.84亿,--
7,8,688787,海天瑞声,60.63,1.12,0.67,0.0,1.94,0.81,3.05,0.49亿,0.41亿,25.01亿,--
8,9,688058,宝兰德,31.9,2.02,0.63,0.25,0.77,1.26,3.52,0.14亿,0.56亿,17.86亿,--
9,10,605168,三人行,46.2,1.27,0.58,0.0,1.33,0.95,2.54,0.90亿,1.47亿,67.71亿,35.08
10,11,300609,汇纳科技,17.6,3.35,0.57,-0.06,1.69,1.31,4.46,0.35亿,1.20亿,21.10亿,--
11,12,301230,泓博医药,32.87,1.73,0.56,0.12,3.85,0.78,2.23,0.75亿,0.59亿,19.52亿,241.13
12,13,301376,致欧科技,24.72,2.28,0.55,0.04,9.78,0.97,3.97,0.87亿,0.36亿,8.82亿,24.68
13,14,688318,财富趋势,115.6,0.47,0.54,0.0,1.2,1.01,2.09,1.81亿,1.31亿,151.06亿,75.24
14,15,300378,鼎捷软件,17.42,3.08,0.52,0.06,2.08,1.46,3.61,0.96亿,2.68亿,46.65亿,--
15,16,688609,九联科技,10.66,4.82,0.49,-0.84,4.25,1.08,7.18,2.27亿,5.00亿,53.30亿,294.59
16,17,300634,彩讯股份,17.91,2.75,0.48,0.0,2.22,1.13,2.75,1.70亿,4.31亿,77.24亿,23.93
17,18,300339,润和软件,21.82,2.01,0.43,-0.05,3.29,1.42,2.99,5.58亿,7.78亿,169.69亿,169.50
18,19,300479,神思电子,14.83,2.92,0.42,0.14,1.6,1.44,3.26,0.47亿,1.97亿,29.22亿,--
19,20,301316,慧博云通,16.37,2.63,0.42,0.0,1.47,0.97,3.83,0.58亿,2.43亿,39.75亿,109.59
20,21,688590,新致软件,15.68,2.69,0.41,-0.19,1.54,1.07,6.09,0.63亿,2.61亿,40.88亿,67.60
21,22,000034,神州数码,29.15,1.39,0.4,0.0,2.72,1.13,4.07,4.40亿,5.50亿,160.37亿,20.77
22,23,002657,中科金财,12.66,3.26,0.4,0.08,2.09,1.5,3.43,0.88亿,3.35亿,42.43亿,--
23,24,002362,汉王科技,17.7,2.19,0.38,0.0,2.19,1.33,3.46,0.80亿,2.07亿,36.67亿,--
24,25,301231,荣信文化,16.95,2.29,0.38,0.0,3.0,0.91,2.96,0.27亿,0.54亿,9.14亿,--
25,26,002912,中新赛克,19.26,1.96,0.37,0.0,1.37,1.12,2.91,0.43亿,1.62亿,31.24亿,--
26,27,300188,国投智能,12.33,3.09,0.37,-0.32,1.47,1.29,2.93,1.31亿,7.24亿,89.30亿,--
27,28,300379,东方通,10.0,3.63,0.35,0.2,1.86,1.15,4.66,1.04亿,5.67亿,56.67亿,--
28,29,300612,宣亚国际,13.72,2.62,0.35,0.07,1.86,1.17,3.37,0.40亿,1.59亿,21.82亿,--
29,30,002123,梦网科技,8.11,4.24,0.33,0.0,2.69,1.3,4.76,1.49亿,6.87亿,55.71亿,183.63
30,31,300226,上海钢联,19.35,1.68,0.32,0.05,1.51,1.03,2.63,0.90亿,3.10亿,59.89亿,31.67
31,32,300292,吴通控股,3.98,8.15,0.3,0.0,14.69,1.47,10.87,6.43亿,11.16亿,44.41亿,40.66
32,33,300592,华凯易佰,13.3,2.23,0.29,0.08,3.69,0.54,4.15,1.00亿,2.02亿,26.87亿,16.43
33,34,300688,创业黑马,26.11,1.08,0.28,-0.15,2.35,0.78,2.52,0.87亿,1.42亿,37.05亿,--
34,35,002799,环球印务,7.05,3.98,0.27,0.43,2.2,2.39,5.01,0.49亿,3.20亿,22.56亿,24.70
35,36,002878,元隆雅图,13.63,2.02,0.27,-0.15,1.81,0.87,3.14,0.48亿,1.97亿,26.84亿,30.98
36,37,300520,科大国创,18.15,1.51,0.27,0.0,3.54,0.81,2.57,1.49亿,2.33亿,42.30亿,224.49
37,38,600588,用友网络,11.25,2.37,0.26,0.18,0.57,1.26,3.19,2.19亿,34.17亿,384.41亿,--
38,39,002558,巨人网络,10.39,2.47,0.25,-0.29,2.5,1.73,3.25,5.11亿,19.74亿,205.05亿,14.55
39,40,300399,天利科技,9.18,2.8,0.25,0.22,1.61,1.59,4.59,0.29亿,1.98亿,18.14亿,--
40,41,300465,高伟达,7.13,3.63,0.25,0.0,1.5,1.68,4.8,0.47亿,4.47亿,31.85亿,392.22
41,42,002553,南方精工,10.42,2.36,0.24,0.0,3.95,1.92,3.54,0.98亿,2.38亿,24.77亿,--
