,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688503,聚和材料,60.97,11.26,6.17,140588.0,824948573.0,12.34,61.79,55.03,55.03,54.8,7.86,26.28,3.17
1,2,600481,双良节能,7.0,6.06,0.4,2013872.0,1372017235.0,11.36,7.1,6.35,6.59,6.6,10.77,-7.33,2.44
2,3,301131,聚赛龙,38.95,4.45,1.66,46527.0,177745768.15,8.02,39.5,36.51,37.03,37.29,20.16,53.11,2.28
3,4,300842,帝科股份,49.91,3.38,1.63,71998.0,355667022.2,4.72,50.16,47.88,47.88,48.28,5.76,17.98,4.47
4,5,688429,时创能源,23.41,2.99,0.68,47163.0,110167107.0,11.22,24.6,22.05,22.46,22.73,5.76,-13.68,5.19
5,6,601615,明阳智能,14.2,2.75,0.38,557946.0,793763662.0,4.49,14.45,13.83,13.86,13.82,2.46,29.92,1.19
6,7,688472,阿特斯,14.26,2.74,0.38,274518.0,387408257.0,4.61,14.34,13.7,13.82,13.88,1.99,20.18,2.31
7,8,300093,金刚光伏,19.23,2.61,0.49,166527.0,318409610.0,4.38,19.37,18.55,18.58,18.74,7.73,-8.88,-11.98
8,9,300724,捷佳伟创,70.67,2.2,1.52,113109.0,797550771.12,4.15,71.8,68.93,68.93,69.15,3.94,9.12,2.37
9,10,688530,欧莱新材,21.03,1.84,0.38,39796.0,82771827.0,7.36,21.5,19.98,20.5,20.65,12.43,255.64,3.99
10,11,600546,山煤国际,12.32,1.73,0.21,187139.0,229231595.0,3.06,12.43,12.06,12.12,12.11,0.94,8.8,1.47
11,12,002459,晶澳科技,17.4,1.64,0.28,466889.0,810996709.75,3.74,17.66,17.02,17.1,17.12,1.41,-89.17,1.84
12,13,002860,星帅尔,9.45,1.61,0.15,60060.0,56646273.75,2.47,9.49,9.26,9.32,9.3,2.05,14.93,1.7
13,14,600438,通威股份,27.45,1.59,0.43,415866.0,1142705781.0,3.77,27.94,26.92,27.0,27.02,0.92,-23.33,2.49
14,15,002319,乐通股份,11.49,1.32,0.15,38369.0,44093011.0,4.85,11.7,11.15,11.35,11.34,1.92,-77.8,13.34
15,16,601012,隆基绿能,18.5,1.26,0.23,810694.0,1495120558.0,2.52,18.64,18.18,18.3,18.27,1.07,-16.16,2.25
16,17,002129,TCL中环,10.52,1.15,0.12,885784.0,927653498.8,3.37,10.64,10.29,10.35,10.4,2.19,-5.26,1.23
17,18,603396,金辰股份,30.48,1.06,0.32,25049.0,75985711.0,3.15,30.79,29.84,30.01,30.16,1.81,46.41,1.65
18,19,603051,鹿山新材,28.81,1.05,0.3,34770.0,99215008.0,3.05,28.9,28.03,28.44,28.51,5.68,72.8,1.96
19,20,688359,三孚新科,48.44,0.92,0.44,13012.0,63128009.0,6.04,50.2,47.3,48.0,48.0,1.4,-199.27,9.4
20,21,002079,苏州固锝,10.9,0.83,0.09,327021.0,353906340.03,4.07,11.05,10.61,10.76,10.81,4.04,163.79,2.96
21,22,300706,阿石创,25.02,0.72,0.18,55943.0,138670846.0,4.15,25.27,24.24,24.56,24.84,4.94,289.94,5.04
22,23,002350,北京科锐,6.44,0.63,0.04,95664.0,61572443.47,2.19,6.49,6.35,6.4,6.4,1.81,1371.3,2.06
23,24,300118,东方日升,14.57,0.62,0.09,869502.0,1244766544.03,7.73,14.87,13.75,14.12,14.48,9.38,-7.99,1.25
24,25,000821,京山轻机,14.06,0.57,0.08,274269.0,385463868.48,3.36,14.27,13.8,13.9,13.98,4.53,15.17,2.17
25,26,603077,和邦生物,2.04,0.49,0.01,1112194.0,225913471.0,1.97,2.05,2.01,2.03,2.03,1.26,61.05,0.96
26,27,300345,华民股份,6.27,0.48,0.03,82947.0,51635141.8,3.85,6.31,6.07,6.25,6.24,1.87,-14.49,5.15
27,28,300410,正业科技,6.71,0.45,0.03,174628.0,115051358.83,5.24,6.74,6.39,6.65,6.68,4.76,-16.19,7.58
28,29,002506,协鑫集成,2.77,0.36,0.01,1026782.0,283271600.3,3.26,2.8,2.71,2.74,2.76,1.76,148.39,6.57
29,30,300751,迈为股份,123.4,0.34,0.42,23594.0,291257660.07,3.17,125.5,121.6,123.39,122.98,1.22,34.09,4.63
30,31,300956,英力股份,18.48,0.16,0.03,70170.0,129263305.74,4.07,18.75,18.0,18.4,18.45,7.84,403.72,2.4
31,32,002309,*ST中利,,,,,,,,,,2.44,0.0,-3.51,-2.17
32,33,600620,天宸股份,5.58,-0.18,-0.01,60618.0,33741706.0,3.04,5.63,5.46,5.59,5.59,0.88,-802.77,2.55
33,34,300051,琏升科技,8.62,-0.23,-0.02,64796.0,55857063.83,4.4,8.78,8.4,8.59,8.64,1.77,-36.31,12.09
34,35,300757,罗博特科,187.63,-0.28,-0.52,59606.0,1125496058.58,6.31,195.88,184.0,186.01,188.15,4.02,306.51,28.49
35,36,300614,百川畅银,11.2,-1.32,-0.15,52443.0,58917596.0,3.44,11.41,11.02,11.34,11.35,3.27,-18.13,1.34
36,37,600151,航天机电,8.3,-3.38,-0.29,442930.0,365660181.0,6.29,8.53,7.99,8.51,8.59,3.09,-222.47,2.42
37,38,300716,泉为科技,15.95,-5.23,-0.88,184025.0,296129238.54,6.83,16.83,15.68,16.32,16.83,11.5,-27.57,33.06
38,39,300117,*ST嘉寓,1.28,-7.25,-0.1,873877.0,114986536.68,9.42,1.4,1.27,1.39,1.38,12.19,-3.33,-0.54
