,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603296,华勤技术,45.98,5.63,2.45,56415.0,254834148.0,7.12,46.26,43.16,43.34,43.53,2.32,18.09,2.21
1,2,688111,金山办公,178.51,5.25,8.91,42718.0,746224181.0,6.72,180.5,169.1,170.08,169.6,0.92,57.22,7.93
2,3,300308,中际旭创,106.43,4.34,4.43,330988.0,3482064294.4,7.25,108.73,101.34,102.2,102.0,2.97,25.3,7.37
3,4,603019,中科曙光,35.97,4.2,1.45,312971.0,1107585245.0,6.66,36.54,34.24,34.52,34.52,2.15,46.73,2.77
4,5,300442,润泽科技,22.81,3.49,0.77,115361.0,259607456.46,5.81,23.09,21.81,22.05,22.04,2.08,20.3,4.12
5,6,600588,用友网络,8.64,3.47,0.29,213615.0,181386639.0,5.63,8.71,8.24,8.37,8.35,0.63,-18.6,3.17
6,7,605117,德业股份,88.79,3.39,2.91,55986.0,489986866.0,5.24,89.38,84.88,85.95,85.88,0.92,23.16,7.38
7,8,688041,海光信息,78.9,3.27,2.5,123114.0,965438312.0,5.04,79.88,76.03,76.4,76.4,1.39,107.45,9.55
8,9,002841,视源股份,32.96,3.16,1.01,45920.0,148993698.09,4.16,33.05,31.72,31.72,31.95,0.88,23.17,1.86
9,10,300124,汇川技术,43.51,3.01,1.27,152896.0,660367861.52,3.95,43.83,42.16,42.63,42.24,0.67,27.51,4.58
10,11,300454,深信服,46.02,2.93,1.31,26850.0,122202908.44,5.57,46.69,44.2,44.87,44.71,0.97,-16.32,2.39
11,12,002410,广联达,9.47,2.82,0.26,304804.0,284244732.6,6.3,9.64,9.06,9.25,9.21,1.92,40.78,2.66
12,13,300628,亿联网络,34.1,2.71,0.9,47590.0,160640690.98,3.46,34.18,33.03,33.34,33.2,0.66,15.84,5.16
13,14,601988,中国银行,4.8,2.56,0.12,1948049.0,928993174.0,2.56,4.81,4.69,4.7,4.68,0.09,5.96,0.62
14,15,601939,建设银行,7.3,2.53,0.18,1580926.0,1145505437.0,3.23,7.33,7.1,7.12,7.12,1.65,5.55,0.6
15,16,002920,德赛西威,91.51,2.52,2.25,64966.0,592499392.84,4.18,93.04,89.31,89.31,89.26,1.18,30.29,6.07
16,17,300832,新产业,69.1,2.45,1.65,23064.0,158649050.66,3.41,69.5,67.2,67.57,67.45,0.34,30.06,7.1
17,18,000977,浪潮信息,31.77,2.42,0.75,297507.0,933826640.79,4.8,32.18,30.69,31.22,31.02,2.02,39.17,2.54
18,19,603833,欧派家居,41.38,2.27,0.92,24476.0,100109092.0,4.13,41.7,40.03,40.76,40.46,0.4,12.73,1.49
19,20,301269,华大九天,72.38,2.23,1.58,8419.0,60155333.0,3.88,73.0,70.25,70.78,70.8,0.32,518.84,8.12
20,21,600674,川投能源,18.11,2.09,0.37,208763.0,375659756.0,2.65,18.22,17.75,17.75,17.74,0.43,19.17,2.22
21,22,002415,海康威视,25.85,2.05,0.52,280469.0,716034178.0,3.32,25.87,25.03,25.39,25.33,0.31,23.57,3.24
22,23,300957,贝泰妮,41.8,2.03,0.83,19837.0,82000461.85,3.56,42.12,40.66,41.07,40.97,0.47,18.3,2.97
23,24,600570,恒生电子,16.2,2.02,0.32,139498.0,223694458.0,4.6,16.43,15.7,15.92,15.88,0.74,513.3,3.93
24,25,300496,中科创达,34.28,1.96,0.66,68227.0,231252631.48,4.43,34.68,33.19,33.64,33.62,1.86,75.41,1.65
25,26,600028,中国石化,6.5,1.88,0.12,1166644.0,754993995.0,2.51,6.53,6.37,6.38,6.38,0.12,11.08,0.96
26,27,601225,陕西煤业,22.64,1.84,0.41,215312.0,487375559.0,3.06,22.89,22.21,22.22,22.23,0.22,10.4,2.47
27,28,600803,新奥股份,17.91,1.82,0.32,45917.0,81570057.0,3.01,17.96,17.43,17.59,17.59,0.16,10.97,2.49
28,29,600183,生益科技,17.41,1.81,0.31,183669.0,317793715.0,3.22,17.5,16.95,17.1,17.1,0.77,22.68,2.89
29,30,688012,中微公司,129.76,1.81,2.31,33036.0,426021816.0,2.66,130.51,127.12,128.0,127.45,0.53,78.02,4.44
30,31,601288,农业银行,4.6,1.77,0.08,3912875.0,1794528986.0,3.1,4.65,4.51,4.52,4.52,0.12,5.92,0.65
31,32,002475,立讯精密,36.51,1.73,0.62,512348.0,1853396928.93,4.96,36.88,35.1,35.68,35.89,0.71,24.37,4.46
32,33,002236,大华股份,13.6,1.72,0.23,173401.0,233367118.27,2.92,13.67,13.28,13.41,13.37,0.83,12.37,1.29
33,34,300896,爱美客,137.98,1.72,2.33,14531.0,198388324.3,3.24,139.28,134.88,135.68,135.65,0.7,18.61,5.98
34,35,601100,恒立液压,51.31,1.68,0.85,68483.0,349654296.0,2.7,51.49,50.13,50.23,50.46,0.51,26.71,4.7
35,36,600941,中国移动,101.92,1.66,1.66,69955.0,710266326.0,2.14,102.35,100.2,100.27,100.26,0.92,13.63,1.63
36,37,002027,分众传媒,5.59,1.64,0.09,695709.0,386146542.72,2.91,5.62,5.46,5.51,5.5,0.48,16.19,5.12
37,38,601229,上海银行,7.13,1.57,0.11,303433.0,214822548.0,1.99,7.14,7.0,7.02,7.02,0.22,3.91,0.45
38,39,002241,歌尔股份,19.25,1.53,0.29,518430.0,986023097.37,4.59,19.42,18.55,18.9,18.96,1.72,26.85,2.11
39,40,603392,万泰生物,68.7,1.51,1.02,23115.0,156428128.0,3.32,69.0,66.75,67.91,67.68,0.18,167.24,6.94
40,41,300408,三环集团,30.04,1.49,0.44,71277.0,212101053.28,3.14,30.25,29.32,29.66,29.6,0.38,28.07,3.08
41,42,002230,科大讯飞,34.16,1.49,0.5,167483.0,566933119.34,3.48,34.43,33.26,33.68,33.66,0.77,-98.55,4.74
42,43,601698,中国卫通,14.46,1.47,0.21,103292.0,147938732.0,2.6,14.49,14.12,14.28,14.25,0.24,75.14,3.91
43,44,002916,深南电路,93.4,1.46,1.34,39783.0,370851515.54,3.32,94.5,91.44,91.77,92.06,0.78,24.26,3.49
44,45,601066,中信建投,19.52,1.46,0.28,120236.0,233797672.0,4.16,19.9,19.1,19.29,19.24,0.32,26.49,2.07
45,46,600000,浦发银行,8.5,1.43,0.12,396941.0,333986132.0,2.86,8.53,8.29,8.38,8.38,0.14,4.62,0.39
46,47,688256,寒武纪-U,213.68,1.41,2.97,66279.0,1411502924.0,5.29,218.12,206.97,210.71,210.71,1.59,-84.14,16.89
47,48,000063,中兴通讯,23.86,1.4,0.33,399666.0,943345009.37,2.72,23.94,23.3,23.55,23.53,0.99,9.95,1.62
48,49,601360,三六零,6.89,1.32,0.09,360444.0,244573641.0,4.26,6.95,6.66,6.8,6.8,0.5,-72.13,1.6
49,50,000725,京东方Ａ,3.84,1.32,0.05,2620655.0,996180224.79,2.64,3.85,3.75,3.79,3.79,0.71,31.65,1.12
50,51,000157,中联重科,5.9,1.2,0.07,391040.0,228397867.39,2.74,5.92,5.76,5.85,5.83,0.55,11.19,0.92
51,52,601169,北京银行,5.1,1.19,0.06,725074.0,368145376.0,1.98,5.13,5.03,5.04,5.04,0.34,3.7,0.41
52,53,601138,工业富联,18.82,1.18,0.22,1015619.0,1895273408.0,3.39,18.99,18.36,18.6,18.6,0.51,21.39,2.7
53,54,000425,徐工机械,6.07,1.17,0.07,591361.0,359009159.68,2.5,6.15,6.0,6.02,6.0,0.73,9.68,1.2
54,55,600132,重庆啤酒,52.96,1.17,0.61,21552.0,113334498.0,2.1,53.16,52.06,52.06,52.35,0.45,14.22,15.05
55,56,300661,圣邦股份,70.7,1.14,0.8,26157.0,182255965.01,4.84,71.71,68.33,70.4,69.9,0.58,93.38,7.92
56,57,000938,紫光股份,18.84,1.13,0.21,382520.0,711079237.94,4.46,19.09,18.26,18.71,18.63,1.34,26.93,1.56
57,58,688599,天合光能,16.39,1.11,0.18,126501.0,206592626.0,2.71,16.57,16.13,16.3,16.21,0.58,33.94,1.19
58,59,688082,盛美上海,82.91,1.11,0.91,5711.0,47183572.0,1.74,83.28,81.85,82.02,82.0,0.75,40.8,5.31
59,60,600741,华域汽车,15.63,1.1,0.17,212518.0,329388548.0,2.39,15.65,15.28,15.43,15.46,0.67,8.61,0.85
60,61,688126,沪硅产业,14.02,1.08,0.15,50237.0,70011318.0,2.38,14.11,13.78,13.9,13.87,0.18,-49.56,2.92
61,62,601398,工商银行,5.67,1.07,0.06,3683432.0,2088218472.0,2.14,5.72,5.6,5.61,5.61,0.14,5.93,0.58
62,63,601998,中信银行,5.88,1.03,0.06,369612.0,215463003.0,1.72,5.88,5.78,5.82,5.82,0.1,4.43,0.48
63,64,601857,中国石油,7.9,1.02,0.08,1255347.0,989432353.0,1.66,7.95,7.82,7.85,7.82,0.08,8.16,0.97
64,65,601009,南京银行,10.18,0.99,0.1,291239.0,295110558.0,1.79,10.21,10.03,10.07,10.08,0.32,4.54,0.72
65,66,601818,光大银行,3.08,0.98,0.03,1089963.0,333468257.0,1.97,3.09,3.03,3.06,3.05,0.23,3.72,0.39
66,67,002371,北方华创,298.72,0.89,2.64,51469.0,1541680658.85,3.38,305.51,295.51,296.04,296.08,0.97,28.62,5.82
67,68,601689,拓普集团,35.4,0.88,0.31,153904.0,546865087.0,3.39,36.0,34.81,35.0,35.09,0.91,20.49,3.33
68,69,002555,三七互娱,13.79,0.88,0.12,517379.0,703460558.91,3.58,13.88,13.39,13.68,13.67,3.22,12.09,2.42
69,70,002049,紫光国微,46.66,0.86,0.4,49121.0,226941131.49,2.77,46.86,45.58,46.3,46.26,0.58,26.88,3.41
70,71,600938,中国海油,25.82,0.86,0.22,303793.0,780227042.0,1.52,25.89,25.5,25.68,25.6,1.07,7.7,1.71
71,72,601668,中国建筑,4.92,0.82,0.04,1564687.0,764815959.0,1.84,4.93,4.84,4.89,4.88,0.38,3.48,0.47
72,73,601916,浙商银行,2.51,0.8,0.02,979693.0,244210521.0,2.01,2.52,2.47,2.5,2.49,0.45,4.31,0.42
73,74,000100,TCL科技,3.82,0.79,0.03,1247335.0,472216132.57,2.11,3.83,3.75,3.79,3.79,0.69,36.04,1.37
74,75,600845,宝信软件,29.29,0.79,0.23,44827.0,130645404.0,2.72,29.57,28.78,28.78,29.06,0.21,31.74,8.06
75,76,600039,四川路桥,5.35,0.75,0.04,220438.0,116109387.0,3.2,5.36,5.19,5.31,5.31,0.33,7.29,1.06
76,77,601088,中国神华,37.49,0.73,0.27,186155.0,701532451.0,2.85,38.23,37.17,37.2,37.22,0.11,12.62,1.88
77,78,600745,闻泰科技,25.36,0.71,0.18,66796.0,167679167.0,3.14,25.55,24.76,25.18,25.18,0.54,112.23,0.88
78,79,601021,春秋航空,50.0,0.66,0.33,34496.0,170664670.0,2.86,50.25,48.83,49.54,49.67,0.35,17.98,2.98
79,80,002648,卫星化学,15.2,0.66,0.1,110000.0,166220619.03,2.65,15.3,14.9,15.1,15.1,0.33,12.45,1.95
80,81,600919,江苏银行,7.66,0.66,0.05,1081284.0,829002595.0,1.97,7.74,7.59,7.63,7.61,0.59,3.75,0.63
81,82,000895,双汇发展,23.62,0.64,0.15,68283.0,161388572.01,1.36,23.73,23.41,23.44,23.47,0.2,17.82,4.44
82,83,601117,中国化学,6.31,0.64,0.04,329452.0,205676831.0,2.71,6.33,6.16,6.28,6.27,0.54,6.79,0.64
83,84,601166,兴业银行,16.07,0.63,0.1,405672.0,647381624.0,1.69,16.1,15.83,16.0,15.97,0.2,3.88,0.46
84,85,000596,古井贡酒,158.35,0.62,0.97,20187.0,319421724.0,2.67,160.52,156.32,157.41,157.38,0.49,11.71,3.68
85,86,300979,华利集团,65.84,0.61,0.4,12869.0,84367957.0,1.83,66.12,64.92,65.39,65.44,0.11,20.45,5.0
86,87,300223,北京君正,45.28,0.6,0.27,30405.0,136455196.99,3.22,45.65,44.2,45.0,45.01,0.72,55.21,1.84
87,88,600584,长电科技,29.59,0.58,0.17,232613.0,681329034.0,2.86,29.7,28.86,29.47,29.42,1.3,42.75,1.99
88,89,603288,海天味业,35.47,0.57,0.2,84554.0,299290509.0,1.64,35.68,35.1,35.27,35.27,0.15,28.56,7.04
89,90,002601,龙佰集团,15.97,0.57,0.09,121064.0,192658242.43,2.08,16.06,15.73,15.91,15.88,0.51,11.07,1.64
90,91,000001,平安银行,9.9,0.51,0.05,767901.0,756124763.92,1.42,9.92,9.78,9.86,9.85,0.4,3.71,0.47
91,92,000625,长安汽车,11.9,0.51,0.06,799994.0,943960562.2,2.28,11.94,11.67,11.84,11.84,0.97,20.84,1.65
92,93,601899,紫金矿业,14.22,0.49,0.07,1095015.0,1553971993.0,1.98,14.35,14.07,14.27,14.15,0.53,12.53,3.03
93,94,601868,中国能建,2.05,0.49,0.01,1218932.0,248893422.0,1.47,2.06,2.03,2.04,2.04,0.86,15.36,0.83
94,95,601728,中国电信,6.19,0.49,0.03,891184.0,551516392.0,1.79,6.23,6.12,6.14,6.16,0.44,12.98,1.24
95,96,300418,昆仑万维,27.39,0.48,0.13,340336.0,916054862.0,4.51,27.58,26.35,27.3,27.26,2.76,-43.34,2.23
96,97,002179,中航光电,38.04,0.48,0.18,63696.0,241446143.05,2.32,38.38,37.5,37.92,37.86,0.31,24.17,3.77
97,98,002180,纳思达,23.43,0.47,0.11,59974.0,139468201.85,2.74,23.6,22.96,23.31,23.32,0.46,17.04,3.26
98,99,600015,华夏银行,6.55,0.46,0.03,469450.0,306105018.0,1.69,6.56,6.45,6.52,6.52,0.31,4.18,0.36
99,100,688396,华润微,35.26,0.46,0.16,16945.0,59303677.0,3.5,35.61,34.38,35.19,35.1,0.13,83.24,2.14
100,101,605499,东鹏饮料,228.9,0.45,1.02,8191.0,187702048.0,2.32,230.95,225.66,226.79,227.88,0.2,26.45,12.96
101,102,601186,中国铁建,6.96,0.43,0.03,373950.0,258258554.0,1.88,6.97,6.84,6.93,6.93,0.33,3.97,0.37
102,103,603986,兆易创新,67.93,0.43,0.29,102472.0,689828959.0,2.96,68.4,66.4,67.88,67.64,1.54,43.75,2.89
103,104,000983,山西焦煤,7.28,0.41,0.03,241799.0,176189103.87,3.03,7.38,7.16,7.25,7.25,0.52,10.51,1.03
104,105,601800,中国交建,7.3,0.41,0.03,284995.0,206320024.0,1.65,7.31,7.19,7.27,7.27,0.24,5.21,0.43
105,106,601985,中国核电,10.21,0.39,0.04,760166.0,773384049.0,2.16,10.28,10.06,10.17,10.17,0.4,16.39,2.09
106,107,688008,澜起科技,51.5,0.39,0.2,77240.0,397118305.0,2.2,51.93,50.8,51.6,51.3,0.68,49.6,5.78
107,108,600886,国投电力,15.6,0.39,0.06,175129.0,271429056.0,2.77,15.74,15.31,15.53,15.54,0.25,15.53,2.18
108,109,600031,三一重工,15.29,0.33,0.05,435705.0,662384478.0,2.36,15.43,15.07,15.43,15.24,0.51,18.13,1.87
109,110,300033,同花顺,100.34,0.32,0.32,38906.0,387122552.53,3.09,101.29,98.2,100.0,100.02,1.42,74.32,8.29
