,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002180,纳思达,26.36,4.27,1.08,0.08,1.47,1.89,4.59,5.03亿,13.09亿,345.06亿,33.59
1,2,600060,海信视像,28.45,2.82,0.78,0.11,0.67,1.02,3.98,2.45亿,12.89亿,366.74亿,19.89
2,3,000651,格力电器,43.22,1.26,0.54,0.0,0.71,0.72,1.62,17.10亿,55.83亿,2413.09亿,13.02
3,4,603501,韦尔股份,103.6,0.2,0.21,-0.11,0.66,0.91,2.89,8.39亿,12.14亿,1258.15亿,56.45
4,5,688249,晶合集成,15.26,0.66,0.1,-0.07,0.87,1.54,1.98,1.56亿,11.77亿,179.57亿,96.56
5,6,000333,美的集团,71.88,0.04,0.03,-0.03,0.33,0.62,1.38,16.16亿,68.43亿,4918.54亿,13.93
6,7,603160,汇顶科技,61.92,0.03,0.02,-0.16,0.92,0.83,1.96,2.62亿,4.58亿,283.60亿,43.66
7,8,300287,飞利信,2.68,0.38,0.01,0.0,3.94,1.86,8.61,1.37亿,12.92亿,34.63亿,--
8,9,688362,甬矽电子,21.29,0.05,0.01,-0.09,2.27,1.36,5.36,1.36亿,2.75亿,58.64亿,--
9,10,603015,弘讯科技,8.2,-0.12,-0.01,-0.12,1.8,0.74,2.31,0.60亿,4.04亿,33.15亿,49.09
10,11,603893,瑞芯微,58.24,-0.05,-0.03,0.02,0.81,1.04,2.49,1.99亿,4.18亿,243.43亿,89.99
11,12,002448,中原内配,6.65,-1.33,-0.09,0.0,1.86,0.68,1.93,0.60亿,4.87亿,32.38亿,11.01
12,13,300455,航天智装,10.7,-0.83,-0.09,-0.09,2.26,1.02,3.62,1.73亿,7.09亿,75.82亿,195.25
13,14,603986,兆易创新,82.49,-0.12,-0.1,-0.23,3.52,1.11,4.37,19.60亿,6.65亿,548.75亿,67.16
14,15,300386,飞天诚信,7.23,-1.36,-0.1,-0.28,1.27,0.67,4.09,0.23亿,2.46亿,17.78亿,--
15,16,603421,鼎信通讯,5.51,-1.78,-0.1,0.0,1.51,0.6,2.5,0.55亿,6.52亿,35.94亿,--
16,17,000559,万向钱潮,5.25,-2.78,-0.15,0.0,1.18,0.67,3.15,2.05亿,33.04亿,173.44亿,15.57
17,18,002405,四维图新,7.03,-2.23,-0.16,0.0,1.46,0.55,3.06,2.40亿,23.30亿,163.83亿,--
18,19,600171,上海贝岭,12.61,-1.25,-0.16,0.0,1.03,1.0,2.58,0.93亿,7.06亿,89.06亿,60.81
19,20,300681,英搏尔,15.26,-1.36,-0.21,-0.2,2.68,0.83,3.43,0.71亿,1.73亿,26.40亿,113.72
20,21,300184,力源信息,5.13,-4.47,-0.24,-0.2,7.44,1.4,3.54,4.04亿,10.48亿,53.78亿,41.99
21,22,600460,士兰微,19.66,-1.35,-0.27,-0.05,1.13,1.34,4.92,3.19亿,14.16亿,278.40亿,--
22,23,300183,东软载波,11.82,-2.31,-0.28,-0.34,0.91,1.04,3.06,0.40亿,3.71亿,43.84亿,185.80
23,24,603068,博通集成,21.02,-1.55,-0.33,0.05,1.15,0.49,2.86,0.36亿,1.50亿,31.62亿,649.96
24,25,300077,国民技术,9.38,-3.4,-0.33,-0.21,2.53,1.13,3.91,1.36亿,5.66亿,53.12亿,--
25,26,300458,全志科技,19.72,-1.7,-0.34,-0.05,1.83,0.71,2.94,1.87亿,5.16亿,101.76亿,63.45
26,27,001287,中电港,17.84,-2.25,-0.41,0.0,1.12,0.95,2.63,0.88亿,4.37亿,78.03亿,66.13
27,28,300327,中颖电子,20.41,-2.06,-0.43,0.0,5.07,1.2,3.07,3.51亿,3.39亿,69.24亿,56.00
28,29,688380,中微半导,16.8,-2.67,-0.46,-0.18,1.45,0.8,4.34,0.36亿,1.45亿,24.42亿,58.33
29,30,688391,钜泉科技,42.64,-1.3,-0.56,-0.14,3.78,1.69,5.86,0.69亿,0.43亿,18.28亿,46.37
30,31,688385,复旦微电,32.7,-1.68,-0.56,-0.03,1.44,0.69,2.4,1.51亿,3.18亿,104.11亿,41.52
31,32,001298,好上好,24.03,-2.67,-0.66,-0.04,4.33,0.94,3.4,0.76亿,0.73亿,17.43亿,180.15
32,33,300671,富满微,22.8,-2.85,-0.67,0.04,1.2,1.0,4.64,0.60亿,2.17亿,49.48亿,--
33,34,688396,华润微,38.85,-1.72,-0.68,-0.1,0.46,1.52,2.91,2.36亿,13.24亿,514.19亿,387.23
34,35,688018,乐鑫科技,107.9,-0.65,-0.71,-0.06,1.17,0.73,3.48,1.02亿,0.81亿,87.17亿,40.42
35,36,688262,国芯科技,21.5,-3.24,-0.72,0.09,2.27,0.73,5.81,1.29亿,2.64亿,56.84亿,--
36,37,688589,力合微,29.27,-2.73,-0.82,0.0,1.27,1.06,3.09,0.38亿,1.01亿,29.44亿,31.51
37,38,688416,恒烁股份,41.2,-2.44,-1.03,-0.07,3.24,0.97,6.23,0.60亿,0.44亿,18.06亿,--
38,39,688049,炬芯科技,25.38,-4.04,-1.07,0.08,2.55,1.24,5.63,0.60亿,0.91亿,23.07亿,90.70
39,40,688521,芯原股份,29.98,-3.6,-1.12,-0.07,1.23,1.06,4.95,1.82亿,4.91亿,147.07亿,--
40,41,688766,普冉股份,113.0,-1.02,-1.17,-0.08,1.59,0.42,2.64,0.79亿,0.44亿,49.51亿,42.73
41,42,300223,北京君正,63.04,-1.94,-1.25,0.16,1.79,1.0,3.69,4.70亿,4.16亿,262.10亿,86.98
42,43,688439,振华风光,67.7,-1.87,-1.29,0.0,3.03,0.9,4.78,1.97亿,0.95亿,64.43亿,24.21
43,44,688458,美芯晟,40.62,-3.17,-1.33,0.0,4.86,0.78,3.65,0.38亿,0.19亿,7.80亿,--
44,45,300484,蓝海华腾,19.07,-7.56,-1.56,-0.05,37.2,1.6,11.78,12.06亿,1.64亿,31.34亿,132.79
45,46,688536,思瑞浦,90.05,-1.71,-1.57,0.0,1.11,0.99,4.27,1.33亿,1.33亿,119.41亿,--
46,47,688595,芯海科技,29.18,-5.38,-1.66,-0.24,1.41,0.84,6.68,0.60亿,1.42亿,41.56亿,--
47,48,688798,艾为电子,56.95,-2.96,-1.74,0.04,0.83,0.7,4.23,0.64亿,1.35亿,76.67亿,92.21
48,49,300474,景嘉微,70.35,-3.11,-2.26,-0.11,3.31,1.03,3.47,7.73亿,3.30亿,232.24亿,--
49,50,688047,龙芯中科,86.3,-3.46,-3.09,0.0,0.79,0.91,3.68,1.90亿,2.78亿,240.27亿,--
