,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688169,石头科技,425.02,2.91,12.03,0.06,1.27,1.22,4.51,7.08亿,1.31亿,558.81亿,35.03
1,2,688200,华峰测控,112.0,6.36,6.7,0.09,1.23,1.53,9.59,1.80亿,1.35亿,151.61亿,161.71
2,3,000596,古井贡酒,271.24,1.95,5.18,0.0,0.37,1.16,3.75,4.08亿,4.09亿,1108.29亿,17.35
3,4,600809,山西汾酒,262.31,1.65,4.26,0.01,0.5,1.26,3.33,16.09亿,12.20亿,3200.09亿,12.78
4,5,688050,爱博医疗,148.75,2.74,3.97,0.0,1.54,1.29,4.86,2.42亿,1.05亿,156.56亿,38.04
5,6,603486,科沃斯,49.55,8.47,3.87,0.3,3.42,2.08,9.19,9.50亿,5.69亿,282.04亿,23.98
6,7,002920,德赛西威,125.87,2.28,2.81,-0.06,0.91,1.04,3.5,6.39亿,5.52亿,694.19亿,45.39
7,8,600600,青岛啤酒,81.96,3.34,2.65,0.0,1.6,2.17,2.98,9.26亿,7.05亿,577.57亿,17.5
8,9,300760,迈瑞医疗,304.59,0.82,2.48,-0.04,0.4,1.15,2.31,14.82亿,12.12亿,3692.97亿,29.22
9,10,000977,浪潮信息,40.91,6.29,2.42,0.0,10.05,2.45,5.56,60.33亿,14.70亿,601.48亿,49.13
10,11,603613,国联股份,26.02,10.02,2.37,0.0,5.93,2.24,10.02,10.69亿,7.22亿,187.95亿,15.02
11,12,600132,重庆啤酒,70.37,3.41,2.32,0.0,2.11,2.18,4.19,7.23亿,4.84亿,340.57亿,18.84
12,13,002557,洽洽食品,37.5,5.78,2.05,0.03,2.47,3.09,6.57,4.70亿,5.07亿,190.12亿,19.77
13,14,000651,格力电器,42.12,3.97,1.61,0.02,1.76,3.26,5.43,41.10亿,55.83亿,2351.67亿,12.68
14,15,600436,片仔癀,237.24,0.67,1.58,-0.06,0.39,0.89,1.49,5.53亿,6.03亿,1431.31亿,36.72
15,16,300677,英科医疗,27.59,5.79,1.51,0.15,5.81,1.57,8.93,7.42亿,4.69亿,129.38亿,18.76
16,17,002223,鱼跃医疗,38.65,3.98,1.48,0.21,1.32,1.36,5.17,4.76亿,9.39亿,362.80亿,14.69
17,18,600690,海尔智家,30.26,5.07,1.46,0.07,0.94,1.97,5.45,17.97亿,63.09亿,1908.97亿,14.96
18,19,000538,云南白药,57.25,2.23,1.25,-0.31,1.03,1.55,3.32,10.41亿,17.73亿,1014.80亿,15.01
19,20,002422,科伦药业,33.95,3.41,1.12,0.24,1.77,1.1,6.28,7.85亿,13.07亿,443.71亿,13.25
20,21,000423,东阿阿胶,68.72,1.64,1.11,0.0,0.88,1.03,3.62,3.93亿,6.44亿,442.54亿,31.31
21,22,603806,福斯特,27.22,4.21,1.1,0.26,1.3,2.04,4.63,6.56亿,18.64亿,507.43亿,24.32
22,23,600660,福耀玻璃,49.83,2.11,1.03,-0.16,1.5,1.7,4.04,14.81亿,20.03亿,998.09亿,23.43
23,24,688188,柏楚电子,323.83,0.32,1.03,-0.29,0.34,0.9,3.32,1.61亿,1.47亿,475.23亿,61.38
24,25,300482,万孚生物,27.67,3.79,1.01,0.0,2.88,1.04,5.96,2.66亿,3.33亿,92.07亿,14.95
25,26,600519,贵州茅台,1705.0,0.06,1.0,-0.08,0.24,1.19,1.46,52.74亿,12.56亿,21418.20亿,22.25
26,27,600183,生益科技,19.45,5.08,0.94,-0.1,3.2,3.01,5.4,14.53亿,23.58亿,458.55亿,29.24
27,28,603939,益丰药房,43.94,2.16,0.93,-0.23,0.5,0.93,2.91,2.22亿,10.08亿,442.97亿,27.29
28,29,688408,中信博,105.61,0.87,0.91,-0.13,1.82,0.71,3.83,2.62亿,1.36亿,143.33亿,23.29
29,30,002626,金达威,15.55,5.93,0.87,0.0,2.88,2.85,8.86,2.67亿,6.10亿,94.83亿,33.49
