,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300770,新媒股份,41.5,2.57,1.04,0.31,3.83,2.18,4.94,3.67亿,2.31亿,95.89亿,16.20
1,2,300785,值得买,21.9,2.48,0.53,0.05,14.03,1.29,6.55,3.54亿,1.14亿,24.93亿,--
2,3,300945,曼卡龙,12.02,3.89,0.45,0.0,12.34,1.36,6.48,3.51亿,2.38亿,28.63亿,24.43
3,4,000888,峨眉山A,11.77,2.53,0.29,0.0,10.59,1.37,3.92,6.51亿,5.27亿,62.02亿,20.83
4,5,000524,岭南控股,9.4,1.95,0.18,0.0,3.85,1.04,4.34,2.43亿,6.70亿,62.99亿,65.32
5,6,600880,博瑞传播,4.51,3.2,0.14,0.22,2.41,1.99,5.26,1.17亿,10.93亿,49.30亿,122.95
6,7,300182,捷成股份,5.17,2.58,0.13,0.0,5.7,1.46,6.94,6.48亿,22.39亿,115.78亿,29.36
7,8,002615,哈尔斯,7.62,1.2,0.09,0.13,4.64,0.86,4.25,1.08亿,3.04亿,23.16亿,28.22
8,9,000069,华侨城A,2.73,1.87,0.05,-0.37,1.0,1.16,4.11,1.86亿,68.96亿,188.25亿,--
9,10,002602,世纪华通,4.62,1.09,0.05,0.22,1.96,0.93,4.38,6.18亿,68.81亿,317.91亿,13.21
10,11,600208,新湖中宝,2.19,1.86,0.04,0.00,1.15,1.56,3.26,2.12亿,85.08亿,186.32亿,12.53
11,12,002627,三峡旅游,4.96,0.41,0.02,-0.20,1.23,1.07,1.82,0.43亿,6.99亿,34.67亿,96.61
12,13,300468,四方精创,8.76,0.23,0.02,0.34,2.62,1.17,3.78,1.21亿,5.29亿,46.35亿,70.72
13,14,002345,潮宏基,6.02,0.33,0.02,-0.17,1.80,0.89,2.50,0.94亿,8.67亿,52.21亿,10.22
14,15,002306,中科云网,3.28,0.31,0.01,-0.30,2.85,0.82,4.28,0.76亿,8.14亿,26.70亿,--
15,16,300220,ST金运,7.78,0.13,0.01,0.00,1.83,0.60,5.53,0.21亿,1.51亿,11.75亿,94.10
16,17,002699,*ST美盛,--,--,--,--,--,--,--,--,9.10亿,3.73亿,--
17,18,002878,元隆雅图,14.11,0.00,0.00,0.07,3.06,0.72,3.62,0.85亿,1.97亿,27.79亿,32.07
18,19,002425,凯撒文化,2.85,-0.70,-0.02,0.00,2.54,0.55,3.83,0.69亿,9.56亿,27.25亿,113.14
19,20,002517,恺英网络,11.68,-0.17,-0.02,0.00,1.61,0.66,2.48,3.58亿,19.07亿,222.79亿,14.75
20,21,002570,贝因美,3.17,-0.94,-0.03,0.0,1.08,0.57,2.19,0.36亿,10.51亿,33.33亿,38.77
21,22,000948,南天信息,14.13,-0.21,-0.03,-0.14,3.37,0.86,3.53,1.85亿,3.86亿,54.53亿,--
22,23,002537,海联金汇,5.69,-0.7,-0.04,-0.18,1.1,0.77,2.09,0.73亿,11.74亿,66.80亿,30.32
23,24,300459,汤姆猫,3.78,-1.31,-0.05,0.0,2.57,0.9,3.92,2.99亿,30.61亿,115.72亿,53.48
24,25,000607,华媒控股,3.89,-1.52,-0.06,-0.26,1.03,1.12,3.04,0.36亿,8.85亿,34.42亿,--
25,26,603999,读者传媒,5.59,-1.24,-0.07,0.0,0.99,0.77,3.36,0.32亿,5.76亿,32.20亿,92.56
26,27,300043,星辉娱乐,2.51,-2.71,-0.07,-0.79,1.95,0.72,4.26,0.61亿,12.44亿,31.21亿,--
27,28,300079,数码视讯,4.58,-1.72,-0.08,-0.22,1.71,0.73,3.65,1.00亿,12.69亿,58.12亿,237.12
28,29,600715,*ST文投,1.6,-4.76,-0.08,0.0,5.56,1.09,2.98,1.66亿,18.55亿,29.68亿,--
29,30,002862,实丰文化,15.54,-0.58,-0.09,0.0,5.33,0.44,2.81,0.74亿,0.90亿,14.01亿,111.66
30,31,601949,中国出版,7.16,-1.24,-0.09,0.0,0.87,0.81,2.35,1.13亿,18.23亿,130.49亿,--
31,32,601921,浙版传媒,8.64,-1.03,-0.09,-0.12,1.6,0.81,2.75,0.58亿,4.22亿,36.48亿,43.48
32,33,002235,安妮股份,5.06,-1.75,-0.09,-0.2,2.46,0.77,3.11,0.69亿,5.54亿,28.01亿,218.69
33,34,000681,视觉中国,14.07,-0.71,-0.1,-0.07,4.66,1.11,4.73,4.50亿,6.75亿,94.90亿,155.27
34,35,600556,天下秀,4.42,-2.21,-0.1,-0.23,1.14,1.07,3.76,0.92亿,18.08亿,79.90亿,136.64
35,36,000676,智度股份,6.45,-1.83,-0.12,-0.31,2.44,0.77,3.65,2.02亿,12.75亿,82.24亿,37.27
36,37,002808,ST恒久,2.26,-5.04,-0.12,0.0,3.55,0.86,5.46,0.15亿,1.86亿,4.21亿,--
37,38,600986,浙文互联,4.94,-2.56,-0.13,-0.4,3.33,0.85,4.54,2.20亿,13.22亿,65.33亿,72.22
38,39,002292,奥飞娱乐,6.75,-1.89,-0.13,-0.15,3.32,0.52,3.34,2.19亿,9.75亿,65.83亿,49.41
39,40,002291,遥望科技,5.68,-2.24,-0.13,0.0,1.9,0.84,4.13,0.95亿,8.78亿,49.84亿,--
40,41,002858,力盛体育,12.36,-1.12,-0.14,-0.08,4.85,0.94,3.2,0.89亿,1.47亿,18.13亿,43.80
41,42,300058,蓝色光标,6.22,-2.2,-0.14,-0.16,2.1,0.84,3.93,3.13亿,23.85亿,148.34亿,46.99
42,43,603808,歌力思,7.82,-1.88,-0.15,-0.13,0.78,0.68,2.38,0.23亿,3.69亿,28.86亿,24.72
43,44,600633,浙数文化,9.96,-1.58,-0.16,0.0,1.3,0.88,2.57,1.64亿,12.66亿,126.07亿,31.76
44,45,002555,三七互娱,16.93,-0.94,-0.16,-0.06,2.48,0.67,2.75,6.77亿,16.07亿,272.12亿,15.23
45,46,301055,张小泉,14.15,-1.12,-0.16,-0.21,1.38,0.32,2.17,0.11亿,0.58亿,8.27亿,72.02
46,47,603466,风语筑,10.81,-1.55,-0.17,0.0,1.48,0.74,2.73,0.95亿,5.95亿,64.30亿,--
47,48,300113,顺网科技,11.25,-1.66,-0.19,0.0,1.7,0.73,2.88,1.01亿,5.29亿,59.50亿,36.54
48,49,301066,万事利,10.33,-1.99,-0.21,-0.29,2.3,0.78,3.7,0.17亿,0.72亿,7.44亿,37.09
49,50,000719,中原传媒,10.13,-2.03,-0.21,-0.1,2.23,1.0,3.48,1.51亿,6.67亿,67.58亿,78.85
