,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603203,快克智能,21.9,6.21,1.28,0.0,1.92,4.04,7.28,1.04亿,2.49亿,54.56亿,22.94
1,2,603228,景旺电子,23.5,3.89,0.88,0.0,3.9,4.57,4.73,7.68亿,8.42亿,197.84亿,15.56
2,3,300223,北京君正,63.89,1.38,0.87,0.0,2.23,1.1,2.38,5.91亿,4.16亿,265.63亿,88.15
3,4,688550,瑞联新材,36.12,1.57,0.56,-0.08,0.99,1.25,2.78,0.48亿,1.35亿,48.69亿,35.45
4,5,300054,鼎龙股份,23.69,2.11,0.49,0.04,1.78,1.36,3.66,3.09亿,7.36亿,174.27亿,68.66
5,6,603929,亚翔集成,27.44,1.52,0.41,-0.04,5.69,1.16,6.33,3.39亿,2.13亿,58.55亿,12.53
6,7,873001,纬达光电,8.2,4.33,0.34,0.0,8.47,1.92,8.27,0.27亿,0.38亿,3.15亿,43.12
7,8,600707,彩虹股份,8.1,3.85,0.3,0.0,1.68,2.01,5.9,4.89亿,35.88亿,290.60亿,26.17
8,9,300429,强力新材,10.73,2.39,0.25,0.19,9.95,1.67,7.25,3.99亿,3.75亿,40.25亿,109.17
9,10,002008,大族激光,21.09,1.15,0.24,-0.05,4.13,1.17,3.12,8.54亿,9.79亿,206.53亿,5.61
10,11,300200,高盟新材,7.34,2.94,0.21,0.0,6.78,1.3,11.22,2.14亿,4.24亿,31.11亿,15.02
11,12,300721,怡达股份,11.29,0.89,0.1,0.53,7.83,1.51,8.67,1.21亿,1.37亿,15.49亿,94.47
12,13,600839,四川长虹,5.58,1.82,0.1,0.0,6.27,1.59,3.83,16.06亿,46.15亿,257.51亿,36.66
13,14,000045,深纺织A,9.34,0.86,0.08,0.0,1.2,1.29,2.59,0.51亿,4.57亿,42.69亿,56.92
14,15,300632,光莆股份,10.04,0.8,0.08,-0.1,1.46,1.09,3.31,0.32亿,2.21亿,22.21亿,32.84
15,16,002585,双星新材,6.44,1.1,0.07,0.0,1.58,1.24,2.67,0.90亿,8.93亿,57.50亿,--
16,17,603052,可川科技,35.73,0.2,0.07,0.03,5.35,1.23,3.5,0.56亿,0.29亿,10.45亿,40.89
17,18,002845,同兴达,14.13,0.35,0.05,0.0,3.09,1.05,2.34,0.98亿,2.25亿,31.78亿,154.89
18,19,300306,远方信息,10.02,0.5,0.05,0.1,2.23,0.76,2.01,0.35亿,1.58亿,15.79亿,51.29
19,20,300940,南极光,16.35,0.31,0.05,0.0,1.46,0.85,2.21,0.35亿,1.47亿,24.11亿,--
20,21,603078,江化微,12.69,0.32,0.04,-0.08,1.41,1.11,1.9,0.59亿,3.31亿,42.03亿,48.18
21,22,000990,诚志股份,7.74,0.39,0.03,0.0,1.94,1.07,1.56,1.81亿,12.15亿,94.06亿,15.26
22,23,688028,沃尔德,18.04,0.17,0.03,0.0,2.14,1.49,4.11,0.55亿,1.45亿,26.09亿,29.17
23,24,000012,南玻A,5.61,0.36,0.02,0.0,0.87,0.75,1.79,0.96亿,19.59亿,109.92亿,13.24
