,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603717,天域生态,6.36,10.04,0.58,0.0,2.11,1.81,8.48,0.38亿,2.90亿,18.45亿,51.10
1,2,002140,东华科技,8.35,4.9,0.39,0.12,4.1,4.52,8.17,1.86亿,5.40亿,45.12亿,12.14
2,3,002674,兴业科技,12.78,2.98,0.37,-0.16,1.23,1.52,5.32,0.45亿,2.89亿,36.92亿,26.93
3,4,300067,安诺其,5.44,6.46,0.33,0.18,24.09,1.13,13.89,10.16亿,7.72亿,41.98亿,302.93
4,5,600053,九鼎投资,15.56,2.17,0.33,-0.06,3.25,1.79,6.17,2.22亿,4.34亿,67.46亿,323.11
5,6,601827,三峰环境,8.16,4.21,0.33,0.0,1.1,2.49,4.6,1.50亿,16.78亿,136.95亿,8.78
6,7,603843,正平股份,3.34,9.87,0.3,0.0,3.38,0.84,9.21,0.77亿,7.00亿,23.37亿,--
7,8,002298,中电兴发,5.66,5.21,0.28,0.18,15.5,2.15,6.51,5.57亿,6.40亿,36.20亿,32.74
8,9,605069,正和生态,6.74,4.01,0.26,0.0,10.04,1.92,7.25,0.57亿,0.84亿,5.67亿,10.27
9,10,300422,博世科,5.2,4.42,0.22,0.19,4.06,1.36,7.63,0.82亿,3.89亿,20.20亿,9.84
10,11,002541,鸿路钢构,19.05,1.06,0.2,0.0,1.77,0.82,4.14,1.66亿,4.96亿,94.52亿,16.17
11,12,300434,金石亚药,9.03,2.27,0.2,0.0,1.58,1.51,2.83,0.47亿,3.35亿,30.23亿,10.10
12,13,300517,海波重科,8.34,2.46,0.2,0.0,6.29,1.62,8.85,0.65亿,1.24亿,10.34亿,31.32
13,14,603291,联合水务,14.41,1.41,0.2,0.07,3.82,0.81,2.96,0.72亿,1.30亿,18.72亿,45.33
14,15,603007,ST花王,5.94,3.12,0.18,0.0,1.71,1.52,3.99,0.41亿,4.07亿,24.17亿,--
15,16,300210,森远股份,10.93,1.58,0.17,0.0,12.61,1.42,7.06,6.61亿,4.84亿,52.86亿,--
16,17,000544,中原环保,7.86,2.08,0.16,0.0,2.94,2.42,2.6,2.23亿,9.75亿,76.61亿,4.58
17,18,300867,圣元环保,12.2,1.33,0.16,0.08,1.71,1.22,2.91,0.40亿,1.92亿,23.38亿,18.61
18,19,002146,荣盛发展,1.67,9.87,0.15,0.0,5.97,3.2,1.97,3.88亿,39.00亿,65.13亿,35.41
19,20,002723,小崧股份,8.3,1.84,0.15,0.0,3.19,1.89,6.99,0.83亿,3.17亿,26.31亿,335.15
20,21,300056,中创环保,9.91,1.54,0.15,0.2,3.27,0.75,3.69,1.25亿,3.85亿,38.17亿,54.75
21,22,601199,江南水务,5.28,2.92,0.15,0.0,2.33,1.84,4.68,1.15亿,9.35亿,49.38亿,14.68
22,23,300815,玉禾田,13.76,1.03,0.14,-0.07,1.43,1.2,3.23,0.76亿,3.88亿,53.36亿,9.29
23,24,002200,ST交投,5.87,2.27,0.13,0.34,1.25,0.72,3.14,0.13亿,1.84亿,10.81亿,76.65
24,25,300862,蓝盾光电,32.41,0.37,0.12,0.03,0.89,0.52,2.14,0.32亿,1.08亿,35.07亿,117.64
25,26,603955,大千生态,11.08,1.09,0.12,0.0,3.25,1.42,5.75,0.48亿,1.36亿,15.04亿,42.31
26,27,000605,渤海股份,4.95,1.85,0.09,0.0,2.31,1.71,3.29,0.39亿,3.38亿,16.71亿,24.51
27,28,000598,兴蓉环境,7.13,1.14,0.08,-0.28,0.94,0.96,2.41,1.99亿,29.69亿,211.66亿,11.65
28,29,000875,吉电股份,4.74,1.72,0.08,0.0,1.95,1.97,1.93,2.57亿,27.90亿,132.24亿,5.34
29,30,002822,ST中装,1.69,4.97,0.08,0.0,0.56,0.11,0.0,0.06亿,6.57亿,11.10亿,--
30,31,300692,中环环保,5.26,1.54,0.08,0.0,0.92,1.14,2.51,0.18亿,3.75亿,19.70亿,17.41
31,32,002034,旺能环境,14.42,0.42,0.06,0.0,0.58,0.94,1.6,0.36亿,4.27亿,61.53亿,8.54
32,33,600853,龙建股份,3.95,1.54,0.06,0.25,2.95,1.81,3.08,1.17亿,10.09亿,39.85亿,153.31
33,34,300098,高新兴,3.57,1.42,0.05,0.0,4.16,2.08,6.53,2.30亿,15.42亿,55.04亿,198.73
34,35,002887,绿茵生态,6.86,0.59,0.04,0.59,3.01,1.76,3.52,0.34亿,1.65亿,11.35亿,14.34
35,36,300190,维尔利,3.21,1.26,0.04,-0.31,1.25,0.86,3.47,0.31亿,7.76亿,24.91亿,16.97
36,37,300334,津膜科技,5.59,0.72,0.04,0.36,1.95,1.24,6.31,0.33亿,3.02亿,16.88亿,291.43
37,38,600512,腾达建设,2.18,1.87,0.04,0.0,1.7,1.78,3.27,0.58亿,15.82亿,34.50亿,7.53
38,39,603817,海峡环保,5.47,0.74,0.04,0.0,1.16,1.14,1.84,0.34亿,5.34亿,29.23亿,13.77
