,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603379,三美股份,31.7,-1.43,-0.46,64446,206252918.0,4.35,32.7,31.3,32.17,32.16,1.06,25.22,3.14
1,2,002068,黑猫股份,6.04,-2.27,-0.14,327890,202503804.9,6.63,6.38,5.97,6.23,6.18,4.46,-40.76,1.5
2,3,600160,巨化股份,20.25,-3.16,-0.66,364086,744955825.0,5.93,21.14,19.9,21.0,20.91,1.35,32.77,3.28
3,4,600673,东阳光,7.9,-3.19,-0.26,165390,131955261.0,4.17,8.16,7.82,8.08,8.16,0.55,52.58,2.63
4,5,300056,中创环保,13.3,-3.34,-0.46,763189,1004683838.31,10.25,13.95,12.54,13.35,13.76,19.81,846.25,16.81
5,6,600378,昊华科技,29.01,-4.92,-1.5,28166,83253347.0,7.54,30.97,28.67,30.51,30.51,0.31,43.42,2.03
6,7,002407,多氟多,11.59,-5.46,-0.67,267623,314620421.01,7.01,12.26,11.4,12.26,12.26,2.48,98.09,1.55
7,8,603659,璞泰来,13.6,-5.49,-0.79,330016,455019096.0,7.09,14.39,13.37,14.39,14.39,1.54,16.94,1.58
8,9,300041,回天新材,8.43,-5.49,-0.49,166575,143231567.8,7.51,8.99,8.32,8.99,8.92,3.06,17.24,1.7
9,10,300236,上海新阳,35.59,-5.77,-2.18,86809,314739543.41,8.31,38.14,35.0,37.4,37.77,3.12,94.67,2.92
10,11,300332,天壕能源,5.71,-5.78,-0.35,155290,90219336.0,6.93,6.06,5.64,6.01,6.06,1.9,23.99,1.18
11,12,300281,金明精机,5.38,-5.78,-0.33,229577,125412319.7,6.65,5.66,5.28,5.66,5.71,5.78,174.14,1.77
12,13,605020,永和股份,17.48,-6.07,-1.13,47051,84447668.0,7.04,18.6,17.29,18.42,18.61,1.24,29.5,2.61
13,14,300343,联创股份,5.56,-7.49,-0.45,527775,297201613.34,9.65,5.99,5.41,5.96,6.01,4.95,-233.58,3.1
14,15,603978,深圳新星,14.34,-9.98,-1.59,395497,590661318.0,16.38,16.95,14.34,14.99,15.93,20.88,-23.68,1.61
