,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,601222,林洋能源,6.93,2.97,0.20,0.00,2.70,2.59,4.46,3.81亿,20.60亿,142.77亿,16.38
1,2,301030,仕净科技,53.77,0.34,0.18,-0.09,3.35,0.89,4.76,2.05亿,1.15亿,61.57亿,24.31
2,3,688223,晶科能源,8.02,1.01,0.08,0.00,1.62,0.74,2.52,3.99亿,31.09亿,249.31亿,17.06
3,4,688678,福立旺,16.73,0.42,0.07,0.06,1.39,0.94,2.76,0.40亿,1.74亿,29.15亿,26.87
4,5,002306,中科云网,3.28,0.31,0.01,-0.30,2.85,0.82,4.28,0.76亿,8.14亿,26.70亿,--
5,6,000040,东旭蓝天,--,--,--,--,--,--,--,--,10.60亿,25.55亿,57.33
6,7,603077,和邦生物,2.12,-0.94,-0.02,0.00,0.59,0.71,1.87,1.11亿,88.31亿,187.22亿,157.10
7,8,603398,沐邦高科,19.30,-0.15,-0.03,-0.87,2.63,1.88,4.66,1.72亿,3.43亿,66.13亿,--
8,9,002506,协鑫集成,2.39,-1.24,-0.03,-0.42,0.73,0.92,2.48,1.02亿,58.50亿,139.81亿,143.30
9,10,002685,华东重机,2.90,-1.36,-0.04,0.00,1.04,0.61,2.72,0.31亿,10.08亿,29.22亿,35.00
10,11,002056,横店东磁,14.68,-0.41,-0.06,-0.07,0.67,0.84,2.44,1.60亿,16.25亿,238.56亿,16.90
11,12,002574,明牌珠宝,5.33,-1.11,-0.06,-0.19,1.57,0.91,3.71,0.45亿,5.28亿,28.14亿,34.27
12,13,002610,ST爱康,1.36,-4.89,-0.07,0.0,0.08,0.2,0.0,0.05亿,44.76亿,60.87亿,--
13,14,300111,向日葵,2.45,-3.16,-0.08,-0.41,1.25,0.98,3.95,0.35亿,11.20亿,27.44亿,1430.86
14,15,002862,实丰文化,15.54,-0.58,-0.09,0.0,5.33,0.44,2.81,0.74亿,0.90亿,14.01亿,111.66
15,16,600537,亿晶光电,3.61,-2.69,-0.1,-0.28,3.27,0.97,3.5,1.40亿,11.84亿,42.73亿,--
16,17,300393,中来股份,7.6,-1.3,-0.1,0.0,1.54,0.93,3.77,1.11亿,9.54亿,72.49亿,--
17,18,002795,永和智控,4.49,-2.6,-0.12,-0.22,5.78,0.65,4.34,1.12亿,4.31亿,19.35亿,--
18,19,002860,星帅尔,10.1,-1.27,-0.13,-0.1,2.05,0.63,2.05,0.43亿,2.06亿,20.84亿,14.65
19,20,603028,赛福天,7.33,-1.87,-0.14,0.0,1.6,0.95,5.49,0.34亿,2.87亿,21.04亿,--
20,21,600641,万业企业,13.02,-1.06,-0.14,-0.08,0.8,0.93,3.04,0.97亿,9.31亿,121.17亿,639.30
21,22,000821,京山轻机,14.14,-0.98,-0.14,0.07,4.12,0.88,2.87,3.47亿,6.00亿,84.80亿,16.92
22,23,300433,蓝思科技,14.35,-1.03,-0.15,0.0,0.32,0.52,2.62,2.27亿,49.61亿,711.89亿,57.82
23,24,002634,棒杰股份,4.86,-3.19,-0.16,0.0,0.82,0.88,4.98,0.18亿,4.47亿,21.70亿,--
24,25,603331,百达精工,10.82,-1.46,-0.16,0.0,1.33,0.73,2.55,0.29亿,2.02亿,21.82亿,18.48
25,26,835985,海泰新能,5.82,-2.84,-0.17,0.0,2.13,0.65,3.67,0.17亿,1.34亿,7.83亿,24.94
26,27,300117,*ST嘉寓,1.1,-13.39,-0.17,0.0,9.06,1.65,18.11,0.73亿,7.17亿,7.88亿,--
27,28,300566,激智科技,14.58,-1.22,-0.18,0.0,1.84,0.8,1.9,0.61亿,2.28亿,33.27亿,19.55
28,29,603212,赛伍技术,12.48,-1.42,-0.18,-0.08,1.59,0.88,3.08,0.87亿,4.37亿,54.60亿,47.81
29,30,002079,苏州固锝,9.09,-2.15,-0.2,0.0,1.51,1.17,3.12,1.11亿,8.07亿,73.36亿,247.19
30,31,601137,博威合金,17.98,-1.1,-0.2,0.06,1.83,0.43,2.2,2.57亿,7.79亿,140.15亿,13.38
31,32,600438,通威股份,22.59,-0.88,-0.2,0.0,0.57,0.53,2.11,5.83亿,45.02亿,1017.00亿,--
32,33,300118,东方日升,12.88,-1.53,-0.2,0.0,2.1,0.56,3.29,2.50亿,9.22亿,118.74亿,--
33,34,002008,大族激光,21.11,-1.08,-0.23,-0.05,1.89,0.62,1.83,3.92亿,9.79亿,206.73亿,5.62
34,35,002514,宝馨科技,5.86,-3.93,-0.24,-0.51,6.28,1.75,3.44,2.06亿,5.54亿,32.47亿,--
35,36,688599,天合光能,21.52,-1.19,-0.26,-0.05,0.52,0.68,2.62,2.44亿,21.79亿,469.00亿,22.73
