,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603918,金桥信息,9.87,10.03,0.9,307505,294827778.0,11.37,9.87,8.85,9.08,8.97,8.4,-33.71,3.44
1,2,603189,网达软件,13.76,9.99,1.25,314271,420752451.0,11.75,13.76,12.29,12.6,12.51,11.66,308.78,2.46
2,3,300663,科蓝软件,10.83,5.87,0.6,454582,477228854.36,9.58,10.94,9.96,10.18,10.23,10.96,-738.09,4.92
3,4,300846,首都在线,9.44,3.51,0.32,94965,88184123.71,5.59,9.5,8.99,9.14,9.12,2.66,-25.62,4.18
4,5,002467,二六三,3.34,3.41,0.11,255448,83623853.46,4.95,3.35,3.19,3.23,3.23,1.87,45.19,2.48
5,6,300229,拓尔思,11.46,3.24,0.36,129912,146672077.0,5.59,11.58,10.96,11.2,11.1,1.63,76.19,2.69
6,7,002858,力盛体育,9.92,3.23,0.31,54669,53817606.0,3.75,9.97,9.61,9.61,9.61,3.73,59.41,2.81
7,8,300542,新晨科技,11.62,3.01,0.34,85893,98449999.0,4.26,11.68,11.2,11.3,11.28,3.49,-121.19,5.46
8,9,002987,京北方,10.63,2.71,0.28,138440,144004731.58,5.31,10.67,10.12,10.46,10.35,2.31,27.38,2.53
9,10,300624,万兴科技,39.77,2.69,1.04,55624,217154313.72,5.32,40.15,38.09,38.92,38.73,3.25,156.98,5.72
10,11,300081,恒信东方,4.61,2.67,0.12,187273,84154900.0,6.24,4.63,4.35,4.5,4.49,3.1,-17.76,1.88
11,12,301248,杰创智能,12.37,2.66,0.32,20446,24913314.5,4.73,12.48,11.91,12.18,12.05,2.0,-28.73,1.25
12,13,688590,新致软件,10.11,2.64,0.26,49716,49257334.0,5.69,10.25,9.69,9.86,9.85,1.91,62.02,1.95
13,14,300166,东方国信,6.33,2.59,0.16,210557,131580966.41,5.67,6.42,6.07,6.19,6.17,2.33,239.26,1.2
14,15,002474,榕基软件,4.43,2.55,0.11,113098,49365335.0,4.17,4.44,4.26,4.31,4.32,2.13,-56.46,1.88
15,16,300578,会畅通讯,13.61,2.48,0.33,44164,58918083.0,5.72,13.67,12.91,13.28,13.28,2.28,78.14,2.31
