,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300510,金冠股份,3.85,19.94,0.64,566647.0,206372602.51,21.18,3.85,3.17,3.23,3.21,6.87,-92.47,1.2
1,2,600981,汇鸿集团,1.87,10.0,0.17,407589.0,75466319.0,10.0,1.87,1.7,1.7,1.7,1.82,-6.35,0.94
2,3,603032,德新科技,14.01,9.97,1.27,231372.0,320183101.0,9.42,14.01,12.81,12.88,12.74,10.05,210.59,2.61
3,4,002123,梦网科技,6.37,6.52,0.39,485344.0,299976444.12,11.04,6.5,5.84,5.98,5.98,7.07,276.03,3.12
4,5,000008,神州高铁,2.1,6.06,0.12,1028906.0,219470592.02,7.07,2.18,2.04,2.04,1.98,3.83,-16.34,1.69
5,6,002792,通宇通讯,10.86,6.05,0.62,216347.0,231624378.06,11.72,11.25,10.05,10.3,10.24,6.9,118.63,2.06
6,7,002801,微光股份,20.54,5.99,1.16,49305.0,99581480.49,8.36,20.82,19.2,19.54,19.38,4.26,15.23,2.99
7,8,003002,壶化股份,12.2,5.35,0.62,101325.0,121461024.39,7.77,12.35,11.45,11.53,11.58,5.54,19.51,1.89
8,9,002309,*ST中利,1.95,4.84,0.09,123428.0,24065289.0,1.08,1.95,1.93,1.95,1.86,1.42,-3.2,-2.1
9,10,002800,天顺股份,9.04,4.63,0.4,75150.0,68432307.52,10.3,9.5,8.61,8.61,8.64,5.31,86.99,2.66
10,11,002207,准油股份,4.41,4.5,0.19,207569.0,90693121.0,7.11,4.51,4.21,4.21,4.22,7.96,-41.47,16.73
11,12,001319,铭科精技,18.41,4.31,0.76,103710.0,188569794.37,7.88,18.59,17.2,17.5,17.65,17.01,28.8,2.13
12,13,603019,中科曙光,35.97,4.2,1.45,312971.0,1107585245.0,6.66,36.54,34.24,34.52,34.52,2.15,46.73,2.77
13,14,300818,耐普矿机,21.6,4.2,0.87,25014.0,53945061.27,9.41,22.62,20.67,20.67,20.73,2.66,19.62,2.38
14,15,600764,中国海防,21.28,3.96,0.81,65773.0,137471986.0,6.16,21.48,20.22,20.42,20.47,0.93,100.32,1.86
15,16,000528,柳    工,9.78,3.6,0.34,308618.0,299303655.1,4.77,9.86,9.41,9.44,9.44,2.14,9.84,1.12
16,17,300846,首都在线,9.44,3.51,0.32,94965.0,88184123.71,5.59,9.5,8.99,9.14,9.12,2.66,-25.62,4.18
17,18,603220,中贝通信,18.16,3.42,0.6,135966.0,242613716.0,5.98,18.34,17.29,17.6,17.56,3.13,37.55,4.15
18,19,002467,二六三,3.34,3.41,0.11,255448.0,83623853.46,4.95,3.35,3.19,3.23,3.23,1.87,45.19,2.48
19,20,300845,捷安高科,10.74,3.27,0.34,38329.0,40400801.6,5.58,10.8,10.22,10.4,10.4,3.74,77.89,1.99
20,21,300213,佳讯飞鸿,6.05,3.24,0.19,138942.0,82571929.0,5.29,6.09,5.78,5.88,5.86,2.52,67.59,1.62
21,22,000856,冀东装备,6.07,3.06,0.18,57910.0,34821261.18,3.23,6.08,5.89,5.96,5.89,2.55,38.87,3.26
22,23,300542,新晨科技,11.62,3.01,0.34,85893.0,98449999.0,4.26,11.68,11.2,11.3,11.28,3.49,-121.19,5.46
23,24,600119,长江投资,6.41,2.72,0.17,211030.0,137193679.0,7.69,6.8,6.32,6.45,6.24,5.78,-77.71,12.25
24,25,002990,盛视科技,17.95,2.63,0.46,26666.0,46703340.52,5.89,18.12,17.09,17.49,17.49,1.99,26.44,2.01
25,26,000680,山推股份,6.64,2.63,0.17,152652.0,100788461.84,2.78,6.68,6.5,6.53,6.47,1.17,11.9,1.72
26,27,600498,烽火通信,14.1,2.62,0.36,113307.0,157442384.0,4.29,14.17,13.58,13.77,13.74,0.99,38.5,1.34
27,28,601020,华钰矿业,10.68,2.59,0.27,302767.0,320540136.0,5.0,10.84,10.32,10.47,10.41,3.69,40.09,2.69
28,29,002972,科安达,9.59,2.57,0.24,24041.0,22813350.8,2.99,9.62,9.34,9.38,9.35,1.81,21.0,1.93
29,30,301139,元道通信,19.22,2.51,0.47,19233.0,36130853.0,4.85,19.29,18.38,18.7,18.75,2.68,38.77,1.21
30,31,603298,杭叉集团,17.08,2.46,0.41,52477.0,88647955.0,4.68,17.28,16.5,16.7,16.67,0.4,11.11,2.46
31,32,300212,易华录,14.65,2.45,0.35,112497.0,162164177.76,5.94,14.86,14.01,14.26,14.3,1.61,-14.31,3.27
32,33,000032,深桑达Ａ,12.84,2.39,0.3,110907.0,140309690.3,5.26,13.0,12.34,12.66,12.54,1.72,-192.81,2.31
33,34,300603,立昂技术,7.28,2.39,0.17,69228.0,49585757.0,4.5,7.3,6.98,7.09,7.11,1.94,-101.59,2.38
34,35,301158,德石股份,11.57,2.39,0.27,13004.0,14896357.0,3.01,11.59,11.25,11.36,11.3,1.62,24.89,1.37
35,36,002993,奥海科技,24.22,2.37,0.56,28403.0,67728676.06,3.72,24.35,23.47,23.7,23.66,1.19,14.33,1.38
36,37,300351,永贵电器,14.28,2.37,0.33,106878.0,150551200.94,4.16,14.33,13.75,14.04,13.95,4.11,37.87,2.34
37,38,600590,泰豪科技,3.49,2.35,0.08,70583.0,24251672.0,4.11,3.5,3.36,3.41,3.41,0.84,-25.09,0.87
38,39,300365,恒华科技,4.81,2.34,0.11,144713.0,68326744.46,4.68,4.82,4.6,4.71,4.7,2.99,228.51,1.45
39,40,301079,邵阳液压,14.42,2.27,0.32,51784.0,74016677.6,3.9,14.55,14.0,14.16,14.1,9.06,76.14,3.23
40,41,600545,卓郎智能,1.36,2.26,0.03,147123.0,19724303.0,3.01,1.36,1.32,1.34,1.33,0.82,-16.65,0.77
41,42,300188,国投智能,10.54,2.23,0.23,88880.0,91943704.25,4.95,10.62,10.11,10.37,10.31,1.14,-35.5,2.38
42,43,600202,哈空调,3.7,2.21,0.08,57458.0,21109718.0,2.76,3.72,3.62,3.65,3.62,1.5,79.67,1.69
43,44,603280,南方路机,19.03,2.2,0.41,10761.0,20285688.0,4.3,19.23,18.43,18.6,18.62,3.85,15.07,1.6
44,45,600198,大唐电信,5.13,2.19,0.11,47959.0,24243704.0,3.39,5.15,4.98,5.03,5.02,0.54,-54.09,26.92
45,46,603101,汇嘉时代,4.67,2.19,0.1,49857.0,22959372.0,4.38,4.67,4.47,4.58,4.57,1.06,26.64,1.47
46,47,301503,智迪科技,27.08,2.15,0.57,6036.0,16160563.0,3.55,27.18,26.24,26.71,26.51,1.86,25.24,2.18
47,48,301335,天元宠物,17.81,2.12,0.37,5099.0,8968872.1,3.21,17.82,17.26,17.34,17.44,1.02,35.99,1.18
48,49,603648,畅联股份,7.72,2.12,0.16,57107.0,43974964.0,3.84,7.88,7.59,7.66,7.56,1.58,17.48,1.45
49,50,600885,宏发股份,26.29,2.1,0.54,47550.0,124098490.0,3.34,26.48,25.62,25.99,25.75,0.46,16.23,3.27
50,51,001314,亿道信息,36.92,2.07,0.75,45798.0,166140546.0,4.67,36.96,35.27,36.17,36.17,8.85,448.56,2.57
51,52,601798,蓝科高新,4.97,2.05,0.1,153383.0,76646837.0,6.57,5.19,4.87,5.02,4.87,4.33,-90.94,1.34
52,53,300738,奥飞数据,8.97,2.05,0.18,155078.0,136733317.92,4.44,9.04,8.65,8.8,8.79,1.61,57.15,2.76
53,54,000925,众合科技,5.59,2.01,0.11,79932.0,43947337.17,3.83,5.6,5.39,5.5,5.48,1.46,-21.64,1.16
54,55,002803,吉宏股份,10.19,2.0,0.2,47764.0,48197666.2,3.4,10.26,9.92,10.02,9.99,1.67,27.1,1.81
55,56,688387,信科移动-U,5.1,2.0,0.1,102635.0,51748201.0,3.4,5.13,4.96,5.03,5.0,0.75,-141.96,2.69
56,57,603131,上海沪工,13.29,2.0,0.26,61614.0,80890043.0,3.3,13.33,12.9,13.02,13.03,1.94,53.86,3.43
57,58,002281,光迅科技,27.18,1.99,0.53,173918.0,467541280.69,5.14,27.49,26.12,26.56,26.65,2.3,51.72,2.54
58,59,603706,东方环宇,13.85,1.91,0.26,12081.0,16547042.0,3.83,13.94,13.42,13.55,13.59,0.64,11.41,1.64
59,60,300001,特锐德,17.66,1.9,0.33,100921.0,176137827.68,3.17,17.75,17.2,17.35,17.33,0.98,48.27,2.81
60,61,600028,中国石化,6.5,1.88,0.12,1166644.0,754993995.0,2.51,6.53,6.37,6.38,6.38,0.12,11.08,0.96
61,62,688155,先惠技术,32.5,1.85,0.59,8075.0,26008908.0,1.91,32.5,31.89,31.98,31.91,0.75,15.68,2.14
62,63,300827,上能电气,34.37,1.84,0.62,115791.0,395649147.4,4.15,34.98,33.58,33.84,33.75,4.48,38.3,6.51
63,64,002774,快意电梯,5.56,1.83,0.1,26089.0,14377244.0,2.38,5.58,5.45,5.49,5.46,0.93,15.65,1.57
64,65,300597,吉大通信,7.35,1.8,0.13,127889.0,92218811.21,5.68,7.39,6.98,7.14,7.22,4.71,138.17,1.94
65,66,600720,中交设计,7.94,1.79,0.14,71088.0,55652156.0,3.33,7.97,7.71,7.87,7.8,0.92,13.05,1.33
66,67,688285,高铁电气,6.29,1.78,0.11,6174.0,3869234.0,2.27,6.34,6.2,6.2,6.18,0.66,55.74,1.46
67,68,300640,德艺文创,4.07,1.75,0.07,33940.0,13717040.0,2.5,4.08,3.98,3.98,4.0,1.53,305.27,1.59
68,69,000565,渝三峡Ａ,4.14,1.72,0.07,36929.0,15124038.06,2.95,4.15,4.03,4.07,4.07,0.85,44.72,1.43
69,70,300808,久量股份,15.98,1.72,0.27,6754.0,10673380.0,2.61,15.98,15.57,15.82,15.71,0.64,-395.17,2.5
70,71,300471,厚普股份,8.39,1.7,0.14,44251.0,36879794.0,3.64,8.48,8.18,8.32,8.25,1.21,-84.69,2.82
71,72,000521,长虹美菱,8.52,1.67,0.14,199163.0,168342578.77,2.63,8.55,8.33,8.41,8.38,2.28,10.57,1.48
72,73,300960,通业科技,18.89,1.67,0.31,26845.0,50287734.0,3.66,19.12,18.44,18.6,18.58,2.89,68.21,3.34
73,74,300986,志特新材,7.34,1.66,0.12,36246.0,26351905.49,3.88,7.42,7.14,7.23,7.22,1.47,119.41,1.37
74,75,300195,长荣股份,4.29,1.66,0.07,71354.0,30251521.11,2.84,4.3,4.18,4.25,4.22,2.27,-102.11,0.69
75,76,601399,国机重装,2.47,1.65,0.04,237866.0,58293013.0,3.29,2.49,2.41,2.44,2.43,0.33,41.82,1.26
76,77,002278,神开股份,4.33,1.64,0.07,78457.0,33800252.74,2.82,4.35,4.23,4.26,4.26,2.35,74.39,1.44
77,78,688418,震有科技,14.85,1.64,0.24,30668.0,45093032.0,5.07,15.05,14.31,14.63,14.61,1.58,186.0,3.44
78,79,300665,飞鹿股份,5.16,1.57,0.08,56708.0,29084060.0,3.35,5.22,5.05,5.07,5.08,3.76,-10.25,2.02
79,80,002480,新筑股份,3.87,1.57,0.06,115828.0,44501138.85,4.2,3.93,3.77,3.82,3.81,1.51,-8.15,2.4
80,81,300407,凯发电气,7.83,1.56,0.12,35386.0,27431180.72,2.72,7.85,7.64,7.76,7.71,1.45,28.37,1.42
81,82,002544,普天科技,16.33,1.55,0.25,49919.0,80485357.38,4.85,16.53,15.75,16.1,16.08,0.74,141.32,2.96
82,83,603291,联合水务,9.45,1.5,0.14,10489.0,9813153.0,2.36,9.47,9.25,9.38,9.31,0.81,24.08,2.32
83,84,300789,唐源电气,12.35,1.48,0.18,11921.0,14497446.44,3.12,12.39,12.01,12.15,12.17,1.21,19.12,1.76
84,85,300017,网宿科技,6.88,1.47,0.1,386122.0,261813531.8,4.28,6.94,6.65,6.77,6.78,1.69,28.25,1.79
85,86,601698,中国卫通,14.46,1.47,0.21,103292.0,147938732.0,2.6,14.49,14.12,14.28,14.25,0.24,75.14,3.91
86,87,002645,华宏科技,6.22,1.47,0.09,49676.0,30509463.78,2.94,6.24,6.06,6.14,6.13,0.98,813.18,1.01
87,88,002937,兴瑞科技,17.09,1.42,0.24,24538.0,41334557.63,4.09,17.2,16.51,16.88,16.85,0.83,17.24,3.55
88,89,600105,永鼎股份,3.59,1.41,0.05,240137.0,84919125.0,3.95,3.61,3.47,3.56,3.54,1.72,79.88,1.8
89,90,002524,光正眼科,3.59,1.41,0.05,502332.0,180350808.76,6.78,3.72,3.48,3.72,3.54,9.88,730.53,6.34
90,91,001225,和泰机电,27.98,1.38,0.38,1767.0,4884480.0,2.28,27.98,27.35,27.61,27.6,0.84,30.59,1.29
91,92,002811,郑中设计,6.64,1.37,0.09,21338.0,14024450.6,2.75,6.66,6.48,6.62,6.55,0.86,14.0,1.81
92,93,688569,铁科轨道,18.45,1.37,0.25,3379.0,6182978.0,2.53,18.54,18.08,18.25,18.2,0.16,16.83,1.41
93,94,601369,陕鼓动力,7.42,1.37,0.1,43619.0,32030625.0,2.19,7.43,7.27,7.32,7.32,0.26,13.96,1.49
94,95,002094,青岛金王,2.23,1.36,0.03,167438.0,37308898.0,4.09,2.28,2.19,2.21,2.2,2.43,18.98,1.04
95,96,002111,威海广泰,9.08,1.34,0.12,40315.0,36337861.63,2.79,9.12,8.87,9.04,8.96,0.85,22.46,1.58
96,97,002635,安洁科技,12.98,1.33,0.17,56065.0,71520362.9,3.59,13.02,12.56,12.75,12.81,1.42,24.49,1.5
97,98,601599,浙文影业,3.07,1.32,0.04,110035.0,33424986.0,2.31,3.08,3.01,3.04,3.03,0.95,14.75,2.35
98,99,300517,海波重科,8.45,1.32,0.11,20284.0,16884490.0,3.6,8.45,8.15,8.34,8.34,1.64,53.73,1.63
99,100,605286,同力日升,21.88,1.3,0.28,7733.0,16787074.0,2.5,21.98,21.44,21.7,21.6,0.46,14.97,1.97
100,101,300499,高澜股份,10.17,1.29,0.13,45297.0,45535539.83,3.09,10.23,9.92,10.04,10.04,1.67,-906.05,2.22
101,102,600894,广日股份,10.3,1.28,0.13,72059.0,73634619.0,2.56,10.34,10.08,10.18,10.17,0.84,19.21,0.99
102,103,300594,朗进科技,13.7,1.26,0.17,14526.0,19898484.0,2.96,13.88,13.48,13.68,13.53,1.61,-28.85,1.39
