,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300979,华利集团,67.17,4.19,2.7,0.15,0.26,0.87,5.43,2.07亿,11.67亿,783.87亿,24.89
1,2,301004,嘉益股份,77.75,3.32,2.5,-0.09,5.48,1.17,7.18,1.12亿,0.26亿,20.54亿,18.81
2,3,688089,嘉必优,19.65,11.78,2.07,0.0,13.72,4.84,18.15,4.38亿,1.68亿,33.07亿,34.01
3,4,300482,万孚生物,27.67,3.79,1.01,0.0,2.88,1.04,5.96,2.66亿,3.33亿,92.07亿,14.95
4,5,300199,翰宇药业,12.88,5.32,0.65,0.0,9.7,1.25,7.44,8.11亿,6.66亿,85.79亿,--
5,6,603439,贵州三力,15.66,4.12,0.62,0.0,2.9,2.08,6.05,1.83亿,4.08亿,63.95亿,28.63
6,7,002737,葵花药业,26.52,2.31,0.6,-0.04,2.18,0.91,4.94,3.39亿,5.84亿,154.88亿,15.17
7,8,300783,三只松鼠,24.64,2.24,0.54,-0.16,2.96,0.96,4.27,2.05亿,2.80亿,68.89亿,8.01
8,9,300723,一品红,22.74,2.25,0.5,0.0,1.26,1.01,3.37,1.19亿,4.18亿,94.98亿,25.69
9,10,003006,百亚股份,21.6,2.27,0.48,0.09,0.84,0.42,5.07,0.77亿,4.28亿,92.54亿,22.60
10,11,002862,实丰文化,13.95,3.1,0.42,0.0,11.33,2.85,6.5,1.42亿,0.90亿,12.58亿,100.24
11,12,301130,西点药业,25.24,1.65,0.41,0.0,1.75,1.11,3.58,0.26亿,0.58亿,14.65亿,36.31
12,13,688273,麦澜德,23.35,1.74,0.4,-0.04,3.56,1.15,3.22,0.30亿,0.36亿,8.37亿,16.19
13,14,002612,朗姿股份,17.45,2.23,0.38,0.0,3.53,1.42,2.69,1.56亿,2.54亿,44.24亿,23.49
14,15,001206,依依股份,14.46,2.63,0.37,0.0,5.68,1.12,4.12,0.73亿,0.90亿,12.97亿,15.81
15,16,001211,双枪科技,17.66,1.96,0.34,0.63,7.11,1.65,4.68,0.47亿,0.38亿,6.65亿,29.64
16,17,600976,健民集团,56.69,0.6,0.34,-0.02,1.07,0.59,3.04,0.93亿,1.53亿,86.68亿,21.84
17,18,600630,龙头股份,9.24,3.7,0.33,0.0,16.99,3.45,6.96,6.67亿,4.25亿,39.26亿,52.41
18,19,600887,伊利股份,28.61,1.13,0.32,-0.11,1.86,3.1,3.15,33.53亿,63.05亿,1803.89亿,7.69
19,20,002950,奥美医疗,8.23,3.65,0.29,0.0,1.79,2.85,4.03,0.66亿,4.52亿,37.20亿,13.88
20,21,002563,森马服饰,6.52,4.49,0.28,0.31,1.17,2.06,4.17,1.68亿,22.08亿,143.99亿,12.68
21,22,600398,海澜之家,9.11,3.17,0.28,-0.11,0.99,1.95,4.08,4.38亿,48.03亿,437.53亿,12.34
22,23,002292,奥飞娱乐,7.09,3.81,0.26,0.0,10.02,2.38,6.3,6.85亿,9.75亿,69.15亿,51.9
23,24,000705,浙江震元,8.1,3.19,0.25,-0.12,13.23,4.6,6.88,3.04亿,2.82亿,22.84亿,35.16
24,25,301009,可靠股份,8.63,2.86,0.24,0.0,4.17,1.74,4.41,0.35亿,0.98亿,8.42亿,32.0
25,26,600679,上海凤凰,9.58,2.57,0.24,0.0,3.21,2.2,8.35,0.94亿,3.13亿,29.96亿,43.43
26,27,001328,登康口腔,23.59,0.98,0.23,0.04,4.94,1.46,2.27,0.50亿,0.43亿,10.15亿,27.21
27,28,603511,爱慕股份,13.95,1.53,0.21,-0.14,3.38,1.3,2.04,0.26亿,0.54亿,7.59亿,13.27
28,29,603610,麒盛科技,12.01,1.78,0.21,-0.08,3.17,1.11,3.31,1.37亿,3.58亿,43.05亿,23.95
29,30,300430,诚益通,18.92,1.07,0.2,0.05,5.61,1.15,6.46,2.71亿,2.59亿,48.94亿,41.98
30,31,301283,聚胶股份,31.49,0.61,0.19,-0.06,2.35,0.62,2.62,0.34亿,0.45亿,14.31亿,20.15
31,32,600479,千金药业,11.55,1.67,0.19,0.09,2.02,1.21,2.82,0.98亿,4.19亿,48.34亿,26.81
32,33,301110,青木股份,42.16,0.41,0.17,0.0,3.93,0.91,2.81,0.60亿,0.37亿,15.43亿,29.07
33,34,603518,锦泓集团,10.42,1.66,0.17,-0.1,5.76,1.1,3.61,2.07亿,3.44亿,35.80亿,7.79
34,35,300132,青松股份,4.04,4.12,0.16,0.5,2.65,1.95,7.99,0.54亿,5.08亿,20.53亿,--
35,36,002269,美邦服饰,1.66,9.93,0.15,0.0,6.48,6.45,7.29,2.65亿,25.12亿,41.71亿,15.31
36,37,300254,仟源医药,9.0,1.7,0.15,0.0,4.55,0.92,5.08,0.92亿,2.25亿,20.25亿,29.73
37,38,603193,润本股份,18.63,0.81,0.15,0.11,4.2,0.39,2.44,0.47亿,0.61亿,11.31亿,53.12
38,39,001234,泰慕士,18.17,0.78,0.14,-0.11,9.5,1.19,4.33,0.50亿,0.29亿,5.28亿,16.45
39,40,002878,元隆雅图,14.39,0.98,0.14,0.07,6.83,1.37,8.0,1.95亿,1.97亿,28.34亿,32.70
40,41,688117,圣诺生物,29.02,0.48,0.14,0.35,0.82,0.44,2.22,0.16亿,0.66亿,19.22亿,49.33
41,42,300206,理邦仪器,10.0,1.32,0.13,0.0,3.06,1.17,2.33,1.04亿,3.40亿,34.04亿,37.76
42,43,605199,葫芦娃,11.69,1.12,0.13,0.09,0.77,1.05,1.99,0.36亿,4.00亿,46.77亿,40.28
43,44,001368,通达创智,20.81,0.53,0.11,0.0,4.35,0.81,2.61,0.29亿,0.32亿,6.60亿,18.76
44,45,600429,三元股份,4.44,2.54,0.11,0.0,0.79,1.96,4.62,0.52亿,14.98亿,66.49亿,22.97
45,46,002404,嘉欣丝绸,5.88,1.73,0.1,0.0,1.73,1.64,2.25,0.47亿,4.61亿,27.10亿,17.51
46,47,300314,戴维医疗,11.16,0.9,0.1,0.0,2.45,1.3,3.44,0.51亿,1.89亿,21.13亿,21.09
47,48,603139,康惠制药,13.94,0.65,0.09,-0.07,1.45,0.95,4.19,0.20亿,1.00亿,13.92亿,320.43
48,49,001209,洪兴股份,15.07,0.53,0.08,0.33,6.95,0.99,2.94,0.42亿,0.40亿,6.07亿,7.66
49,50,300753,爱朋医疗,12.14,0.66,0.08,0.08,5.22,0.83,2.57,0.51亿,0.81亿,9.83亿,281.92
50,51,600351,亚宝药业,6.56,1.24,0.08,0.0,2.95,1.18,2.01,1.39亿,7.20亿,47.23亿,10.52
51,52,002570,贝因美,3.05,2.01,0.06,0.0,2.47,2.04,3.01,0.79亿,10.51亿,32.07亿,37.31
52,53,002656,ST摩登,1.3,4.84,0.06,0.0,0.1,0.15,0.0,0.01亿,6.09亿,7.92亿,--
53,54,000656,*ST金科,1.13,4.63,0.05,0.0,0.43,0.27,0.0,0.26亿,53.10亿,60.00亿,--
54,55,002004,华邦健康,4.64,1.09,0.05,0.0,0.97,1.24,2.18,0.84亿,18.82亿,87.34亿,14.76
55,56,300658,延江股份,4.97,1.02,0.05,0.0,2.44,1.06,2.85,0.27亿,2.25亿,11.20亿,44.93
56,57,600327,大东方,3.98,1.27,0.05,0.25,1.82,1.19,1.53,0.64亿,8.85亿,35.21亿,32.41
57,58,832786,骑士乳业,5.37,0.94,0.05,0.0,2.65,1.72,2.82,0.14亿,0.96亿,5.13亿,16.15
58,59,300279,和晶科技,4.79,0.84,0.04,0.0,1.86,0.83,2.32,0.40亿,4.49亿,21.53亿,70.67
59,60,600774,汉商集团,7.25,0.56,0.04,0.0,1.08,0.87,2.91,0.23亿,2.95亿,21.38亿,42.20
60,61,605388,均瑶健康,8.77,0.46,0.04,0.0,0.78,0.79,1.72,0.29亿,4.30亿,37.71亿,36.05
