,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600662,外服控股,4.38,10.05,0.4,349064,149928604.0,8.79,4.38,4.03,4.03,3.98,3.31,13.74,2.32
1,2,603083,剑桥科技,28.73,9.99,2.61,384412,1077003888.0,11.68,28.73,25.68,25.93,26.12,14.5,48.13,3.53
2,3,603032,德新科技,14.01,9.97,1.27,231372,320183101.0,9.42,14.01,12.81,12.88,12.74,10.05,210.59,2.61
3,4,688032,禾迈股份,132.0,6.23,7.74,14986,192484917.0,8.67,133.27,122.5,124.27,124.26,2.42,43.54,2.65
4,5,603296,华勤技术,45.98,5.63,2.45,56415,254834148.0,7.12,46.26,43.16,43.34,43.53,2.32,18.09,2.21
5,6,688083,中望软件,63.68,4.81,2.92,6579,41073052.0,7.37,64.49,60.01,61.3,60.76,0.54,646.28,2.97
6,7,688408,中信博,64.1,4.09,2.52,22563,142710841.0,5.34,64.51,61.22,61.51,61.58,1.11,28.05,4.26
7,8,603444,吉比特,204.38,4.03,7.92,14265,285674838.0,6.28,205.96,193.62,195.0,196.46,1.98,14.22,2.98
8,9,600563,法拉电子,85.21,3.76,3.09,17697,148731109.0,4.99,85.7,81.6,81.84,82.12,0.79,19.89,4.05
9,10,600850,电科数字,17.5,3.61,0.61,82311,142047084.0,4.8,17.63,16.82,16.95,16.89,1.35,45.23,2.77
10,11,603707,健友股份,12.92,3.53,0.44,82173,104719809.0,5.21,13.02,12.37,12.48,12.48,0.51,25.77,3.47
11,12,603439,贵州三力,12.94,3.52,0.44,117996,150311040.0,4.72,13.04,12.45,12.5,12.5,2.88,22.65,3.48
12,13,601825,沪农商行,6.76,3.21,0.21,220805,147669285.0,3.51,6.77,6.54,6.56,6.55,0.24,4.68,0.55
13,14,603927,中科软,15.8,2.93,0.45,69394,107892830.0,4.63,15.9,15.19,15.5,15.35,0.84,34.74,4.2
14,15,600956,新天绿能,6.73,2.91,0.19,86967,57781989.0,3.52,6.75,6.52,6.61,6.54,0.4,9.9,1.32
15,16,600729,重庆百货,18.67,2.7,0.49,54616,101022511.0,3.85,18.79,18.09,18.12,18.18,2.92,5.78,1.2
16,17,605111,新洁能,28.53,2.63,0.73,104809,294183315.0,4.78,28.75,27.42,27.8,27.8,2.52,27.22,3.15
17,18,600498,烽火通信,14.1,2.62,0.36,113307,157442384.0,4.29,14.17,13.58,13.77,13.74,0.99,38.5,1.34
18,19,603129,春风动力,138.65,2.57,3.48,10616,147370554.0,5.33,141.5,134.3,134.5,135.17,0.7,14.81,3.86
19,20,601019,山东出版,12.82,2.56,0.32,74477,94162153.0,3.76,12.86,12.39,12.39,12.5,0.36,17.73,1.86
20,21,600131,国网信通,16.96,2.48,0.41,42572,71061093.0,3.44,16.98,16.41,16.61,16.55,0.36,43.85,3.23
21,22,603298,杭叉集团,17.08,2.46,0.41,52477,88647955.0,4.68,17.28,16.5,16.7,16.67,0.4,11.11,2.46
22,23,688348,昱能科技,43.9,2.4,1.03,25001,108208342.0,5.64,44.57,42.15,42.9,42.87,3.1,39.06,1.9
23,24,603738,泰晶科技,12.81,2.4,0.3,74877,94491382.0,4.96,12.97,12.35,12.5,12.51,1.92,43.45,2.86
24,25,603786,科博达,48.65,2.36,1.12,24094,116541501.0,3.68,48.98,47.23,47.5,47.53,0.6,26.44,4.09
25,26,603529,爱玛科技,32.02,2.33,0.73,52997,167443864.0,3.64,32.2,31.06,31.29,31.29,0.63,14.51,3.49
26,27,603198,迎驾贡酒,50.13,2.31,1.13,57959,291415144.0,3.96,50.94,49.0,49.15,49.0,0.72,14.54,4.62
27,28,600536,中国软件,31.13,2.3,0.7,138406,424183537.0,4.63,31.3,29.89,30.48,30.43,1.64,-48.53,11.88
28,29,603833,欧派家居,41.38,2.27,0.92,24476,100109092.0,4.13,41.7,40.03,40.76,40.46,0.4,12.73,1.49
29,30,688035,德邦科技,24.77,2.27,0.55,10164,24716401.0,4.58,25.0,23.89,24.3,24.22,1.16,52.26,1.57
30,31,601858,中国科传,17.14,2.27,0.38,46233,78028793.0,4.3,17.3,16.58,16.81,16.76,0.58,48.46,2.57
31,32,688016,心脉医疗,81.86,2.22,1.78,11802,95584444.0,3.07,82.26,79.8,80.0,80.08,0.96,12.5,2.51
32,33,600885,宏发股份,26.29,2.1,0.54,47550,124098490.0,3.34,26.48,25.62,25.99,25.75,0.46,16.23,3.27
33,34,600674,川投能源,18.11,2.09,0.37,208763,375659756.0,2.65,18.22,17.75,17.75,17.74,0.43,19.17,2.22
34,35,688568,中科星图,27.03,2.0,0.53,25028,66708993.0,4.3,27.24,26.1,26.58,26.5,0.46,115.47,4.17
35,36,601137,博威合金,13.84,1.99,0.27,131371,179719835.0,3.46,13.92,13.45,13.55,13.57,1.68,8.49,1.51
36,37,688711,宏微科技,12.98,1.96,0.25,18011,22947665.0,4.16,13.06,12.53,12.78,12.73,0.85,549.54,2.53
37,38,603728,鸣志电器,36.05,1.95,0.69,73551,261093803.0,4.52,36.42,34.82,35.42,35.36,1.76,189.16,5.28
38,39,688017,绿的谐波,63.88,1.95,1.22,19731,124390338.0,4.58,64.68,61.81,62.75,62.66,1.17,147.2,5.38
39,40,603236,移远通信,43.38,1.93,0.82,30997,132880654.0,3.95,43.77,42.09,42.96,42.56,1.17,27.41,3.08
40,41,688123,聚辰股份,45.59,1.92,0.86,19991,90131425.0,3.47,45.85,44.3,44.96,44.73,1.27,25.1,3.51
41,42,603690,至纯科技,17.8,1.89,0.33,43716,76541776.0,4.52,17.91,17.12,17.49,17.47,1.13,46.62,1.38
42,43,688800,瑞可达,20.76,1.86,0.38,10446,21269008.0,4.32,20.93,20.05,20.42,20.38,0.66,25.31,1.65
43,44,600803,新奥股份,17.91,1.82,0.32,45917,81570057.0,3.01,17.96,17.43,17.59,17.59,0.16,10.97,2.49
44,45,600183,生益科技,17.41,1.81,0.31,183669,317793715.0,3.22,17.5,16.95,17.1,17.1,0.77,22.68,2.89
45,46,600776,东方通信,8.45,1.81,0.15,66449,55392897.0,4.1,8.52,8.18,8.33,8.3,0.7,60.08,3.09
46,47,600720,中交设计,7.94,1.79,0.14,71088,55652156.0,3.33,7.97,7.71,7.87,7.8,0.92,13.05,1.33
47,48,605009,豪悦护理,32.62,1.75,0.56,8221,26498686.0,3.31,32.75,31.69,32.17,32.06,0.53,13.05,1.54
48,49,688278,特宝生物,55.39,1.75,0.95,10479,57413922.0,2.85,55.49,53.94,54.29,54.44,0.26,37.02,11.19
49,50,688630,芯碁微装,51.75,1.73,0.88,8027,41251270.0,3.15,52.13,50.53,50.8,50.87,0.61,33.77,3.4
50,51,600556,天下秀,3.55,1.72,0.06,177821,62168745.0,4.01,3.58,3.44,3.5,3.49,0.98,71.2,1.67
51,52,688484,南芯科技,26.95,1.7,0.45,26697,71117564.0,3.13,27.09,26.26,26.6,26.5,0.92,27.82,3.0
52,53,688188,柏楚电子,169.23,1.64,2.73,6478,108101758.0,4.64,171.01,163.28,164.5,166.5,0.32,35.39,6.73
53,54,688029,南微医学,60.39,1.63,0.97,15812,93503707.0,4.54,60.77,58.07,59.06,59.42,0.84,18.27,3.07
54,55,603613,国联股份,19.31,1.63,0.31,73439,139621209.0,4.89,19.44,18.51,19.07,19.0,1.02,9.76,1.92
55,56,603108,润达医疗,14.46,1.62,0.23,427596,617392992.0,7.17,14.99,13.97,14.2,14.23,7.14,47.42,2.03
56,57,601001,晋控煤业,13.88,1.61,0.22,112407,156066004.0,3.15,14.04,13.61,13.61,13.66,0.67,8.09,1.34
57,58,688037,芯源微,58.42,1.6,0.92,32537,188681303.0,3.79,59.0,56.82,57.92,57.5,1.62,77.06,4.73
58,59,603218,日月股份,10.93,1.58,0.17,112844,121506733.0,3.53,10.96,10.58,10.79,10.76,1.1,13.36,1.1
