,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301345,涛涛车业,72.1,0.91,0.65,0.06,3.38,0.86,2.95,0.71亿,0.29亿,21.15亿,38.74
1,2,603129,春风动力,139.85,0.34,0.47,-0.11,0.93,1.35,4.54,1.99亿,1.50亿,210.41亿,18.95
2,3,301260,格力博,15.22,2.29,0.34,-0.65,11.02,3.58,9.01,3.44亿,2.12亿,32.31亿,14.33
3,4,600679,上海凤凰,9.58,2.57,0.24,0.0,3.21,2.2,8.35,0.94亿,3.13亿,29.96亿,43.43
4,5,603529,爱玛科技,35.28,0.54,0.19,0.17,2.1,0.74,2.91,1.65亿,2.24亿,78.86亿,15.73
5,6,603776,永安行,11.12,1.27,0.14,0.0,1.79,1.38,3.83,0.46亿,2.29亿,25.52亿,--
6,7,600099,林海股份,7.86,0.26,0.02,0.38,1.61,0.96,2.68,0.28亿,2.19亿,17.22亿,214.84
7,8,603766,隆鑫通用,6.49,0.15,0.01,-0.15,1.01,0.8,1.7,1.34亿,20.54亿,133.28亿,12.94
8,9,300256,星星科技,2.12,-0.47,-0.01,-0.47,1.45,0.99,3.76,0.50亿,16.43亿,34.84亿,--
9,10,601777,力帆科技,3.21,-0.31,-0.01,0.0,0.37,1.12,2.17,0.54亿,45.21亿,145.13亿,237.21
10,11,000913,钱江摩托,17.24,-0.17,-0.03,-0.12,3.88,1.06,4.29,3.10亿,4.57亿,78.84亿,16.26
11,12,002105,信隆健康,4.69,-1.05,-0.05,0.0,1.09,0.77,2.95,0.19亿,3.64亿,17.09亿,175.68
12,13,300116,*ST保力,0.52,-20.0,-0.13,0.0,4.39,0.61,9.23,0.95亿,41.04亿,21.34亿,--
13,14,873152,天宏锂电,7.55,-1.95,-0.15,0.0,5.2,1.02,2.86,0.15亿,0.39亿,2.94亿,98.95
14,15,688819,天能股份,28.76,-0.76,-0.22,-0.1,0.31,0.92,1.17,0.86亿,9.72亿,279.58亿,13.91
15,16,689009,九号公司,37.21,-0.64,-0.24,0.11,1.66,0.53,3.87,3.21亿,5.15亿,191.81亿,49.01
16,17,603787,新日股份,10.7,-2.28,-0.25,-0.09,2.01,0.85,4.66,0.50亿,2.30亿,24.63亿,24.50
17,18,000017,深中华A,7.12,-3.52,-0.26,-0.28,9.78,1.01,5.69,2.14亿,3.03亿,21.57亿,381.47
18,19,300590,移为通信,11.71,-2.9,-0.35,-0.09,7.31,0.96,5.97,3.11亿,3.53亿,41.36亿,37.90
19,20,300994,久祺股份,11.66,-3.0,-0.36,0.09,7.67,0.64,4.33,0.70亿,0.78亿,9.08亿,31.61
20,21,301418,协昌科技,35.2,-1.51,-0.54,0.0,3.48,0.75,2.41,0.23亿,0.18亿,6.45亿,33.61
21,22,600818,中路股份,24.4,-2.2,-0.55,-0.12,8.37,1.24,7.13,4.85亿,2.38亿,58.06亿,--
22,23,834058,华洋赛车,15.52,-4.08,-0.66,0.0,5.17,1.17,3.52,0.11亿,0.14亿,2.18亿,49.40
23,24,001696,宗申动力,11.73,-9.98,-1.3,0.0,6.63,0.25,5.91,7.07亿,8.91亿,104.55亿,27.93
