,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,003029,吉大正元,27.58,4.87,1.28,0.0,14.07,1.2,13.69,6.60亿,1.71亿,47.13亿,--
1,2,301317,鑫磊股份,18.5,4.4,0.78,0.0,2.81,2.33,6.38,0.23亿,0.45亿,8.29亿,57.53
2,3,603727,博迈科,15.4,4.41,0.65,0.0,3.3,1.65,7.46,1.42亿,2.82亿,43.38亿,32.09
3,4,301156,美农生物,16.13,4.07,0.63,-0.06,8.52,3.68,14.84,0.74亿,0.53亿,8.58亿,47.12
4,5,300823,建科机械,18.32,2.86,0.51,0.06,19.44,1.16,7.58,1.96亿,0.56亿,10.24亿,39.33
5,6,002725,跃岭股份,9.57,4.93,0.45,0.0,13.32,5.28,8.33,2.73亿,2.10亿,20.10亿,277.62
6,7,301459,丰茂股份,40.76,0.99,0.4,0.0,4.42,0.75,2.87,0.34亿,0.19亿,7.73亿,22.41
7,8,301439,泓淋电力,14.04,2.86,0.39,-0.07,6.39,4.2,15.09,1.68亿,1.83亿,25.73亿,31.14
8,9,603871,嘉友国际,25.5,1.11,0.28,-0.12,0.74,0.66,1.94,1.31亿,6.99亿,178.20亿,14.51
9,10,300992,泰福泵业,17.42,1.4,0.24,0.06,3.07,1.2,3.32,0.23亿,0.44亿,7.58亿,38.99
10,11,600679,上海凤凰,9.58,2.57,0.24,0.0,3.21,2.2,8.35,0.94亿,3.13亿,29.96亿,43.43
11,12,002269,美邦服饰,1.66,9.93,0.15,0.0,6.48,6.45,7.29,2.65亿,25.12亿,41.71亿,15.31
12,13,600697,欧亚集团,11.05,1.38,0.15,-0.36,4.5,1.63,3.94,0.77亿,1.55亿,17.17亿,32.69
13,14,000528,柳工,10.54,1.35,0.14,0.19,5.33,1.14,5.67,8.00亿,14.26亿,150.29亿,10.39
14,15,603569,长久物流,9.3,1.53,0.14,0.0,1.7,1.67,2.62,0.95亿,6.03亿,56.12亿,94.11
15,16,688117,圣诺生物,29.02,0.48,0.14,0.35,0.82,0.44,2.22,0.16亿,0.66亿,19.22亿,49.33
16,17,301058,中粮科工,10.4,1.27,0.13,0.1,8.12,0.78,4.19,1.71亿,2.03亿,21.16亿,38.77
17,18,000906,浙商中拓,7.69,1.45,0.11,0.0,1.35,0.92,2.24,0.72亿,6.90亿,53.10亿,5.5
18,19,001319,铭科精技,18.93,0.58,0.11,0.0,5.35,1.11,3.77,0.62亿,0.61亿,11.54亿,32.79
19,20,001368,通达创智,20.81,0.53,0.11,0.0,4.35,0.81,2.61,0.29亿,0.32亿,6.60亿,18.76
20,21,002278,神开股份,4.5,2.51,0.11,0.22,7.59,0.72,5.01,1.16亿,3.39亿,15.27亿,--
21,22,600113,浙江东日,7.85,1.42,0.11,0.26,2.59,1.27,3.62,0.83亿,4.11亿,32.30亿,42.12
22,23,600582,天地科技,7.4,1.51,0.11,0.14,0.9,1.07,3.29,2.79亿,41.39亿,306.26亿,11.06
23,24,300135,宝利国际,3.16,3.27,0.1,-0.32,21.45,3.05,10.13,6.29亿,9.22亿,29.12亿,164.97
24,25,300387,富邦股份,6.51,1.56,0.1,-0.15,3.33,1.05,2.96,0.62亿,2.89亿,18.81亿,17.95
25,26,002583,海能达,4.25,1.92,0.08,0.0,7.54,1.59,4.8,4.09亿,12.82亿,54.48亿,17.21
26,27,002800,ST天顺,14.97,0.54,0.08,-0.13,0.75,0.77,2.96,0.11亿,1.01亿,15.15亿,106.29
27,28,300534,陇神戎发,8.23,0.98,0.08,0.0,2.44,1.19,2.21,0.60亿,3.01亿,24.76亿,28.19
28,29,000151,中成股份,10.58,0.67,0.07,-0.09,3.3,1.03,3.42,0.92亿,2.67亿,28.20亿,--
29,30,603836,海程邦达,12.72,0.55,0.07,-0.31,5.63,0.76,3.48,0.62亿,0.86亿,10.90亿,20.98
30,31,603071,物产环能,14.48,0.42,0.06,0.07,0.87,0.85,1.18,0.30亿,2.38亿,34.42亿,8.44
31,32,002494,华斯股份,3.95,1.28,0.05,0.25,4.26,0.63,3.59,0.48亿,2.87亿,11.33亿,28.95
32,33,002774,快意电梯,7.16,0.7,0.05,-0.28,2.4,1.14,1.97,0.48亿,2.82亿,20.18亿,20.68
33,34,600811,东方集团,1.48,3.5,0.05,-1.33,2.17,1.93,5.59,1.18亿,36.59亿,54.15亿,7.85
34,35,601038,一拖股份,18.04,0.28,0.05,-0.11,1.02,0.65,2.89,1.35亿,7.32亿,132.00亿,8.46
35,36,300918,南山智尚,9.67,0.41,0.04,0.1,0.8,0.95,2.49,0.28亿,3.60亿,34.81亿,23.53
36,37,601298,青岛港,8.1,0.5,0.04,-0.25,0.28,0.84,2.23,1.21亿,53.92亿,436.76亿,9.98
37,38,600251,冠农股份,8.57,0.35,0.03,-0.12,1.14,0.84,1.64,0.76亿,7.77亿,66.59亿,6.88
38,39,601956,东贝集团,5.19,0.58,0.03,0.0,2.85,0.86,2.52,0.91亿,6.16亿,31.95亿,16.8
39,40,830839,万通液压,11.46,0.26,0.03,0.0,0.53,1.06,2.71,0.04亿,0.64亿,7.38亿,16.24
40,41,002593,日上集团,3.36,0.6,0.02,0.0,2.42,1.55,2.1,0.46亿,5.70亿,19.17亿,35.30
41,42,600405,动力源,4.25,0.47,0.02,0.24,1.71,0.86,3.78,0.40亿,5.53亿,23.51亿,--
42,43,600960,渤海汽车,3.42,0.59,0.02,0.29,1.25,1.22,3.23,0.40亿,9.51亿,32.51亿,--
43,44,002083,孚日股份,4.76,0.21,0.01,0.0,1.3,0.72,1.26,0.51亿,8.22亿,39.14亿,10.82
44,45,300396,迪瑞医疗,26.01,0.04,0.01,0.0,1.44,0.67,2.88,0.97亿,2.59亿,67.48亿,14.66
45,46,600232,金鹰股份,4.75,0.21,0.01,-0.21,1.57,1.08,2.74,0.27亿,3.65亿,17.32亿,50.19
46,47,601008,连云港,3.91,0.26,0.01,0.26,0.8,1.19,1.28,0.39亿,12.41亿,48.51亿,27.66
47,48,601717,郑煤机,17.45,0.06,0.01,0.0,1.61,1.18,3.78,4.35亿,15.31亿,267.18亿,7.47
48,49,600415,小商品城,8.75,0.0,0.0,-0.11,0.54,0.8,2.06,2.56亿,54.70亿,478.58亿,16.83
49,50,601880,辽港股份,1.44,0.0,0.0,0.0,0.25,1.02,1.39,0.69亿,188.28亿,271.13亿,23.22
50,51,603012,创力集团,5.46,0.0,0.0,0.0,1.16,0.83,1.28,0.41亿,6.42亿,35.07亿,14.66
51,52,002017,东信和平,9.4,-0.11,-0.01,0.0,1.36,1.0,1.81,0.74亿,5.79亿,54.43亿,31.21
52,53,002681,奋达科技,4.39,-0.23,-0.01,0.0,1.57,0.83,2.5,1.02亿,14.80亿,64.99亿,90.17
53,54,002863,今飞凯达,4.55,-0.22,-0.01,0.0,2.7,1.54,3.07,0.61亿,4.99亿,22.70亿,26.77
54,55,300350,华鹏飞,5.84,-0.17,-0.01,0.0,16.28,1.06,7.69,4.56亿,4.72亿,27.54亿,19.68
55,56,301056,森赫股份,8.48,-0.12,-0.01,-0.12,7.55,0.92,4.36,0.43亿,0.67亿,5.66亿,19.84
