,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300374,中铁装配,22.49,17.2,3.3,550087.0,1178081182.15,20.84,23.03,19.03,19.03,19.19,27.04,-62.01,6.58
1,2,873122,中纺标,62.2,14.59,7.92,43395.0,259342476.07,25.74,65.97,52.0,54.0,54.28,12.73,229.63,16.66
2,3,000831,中国稀土,33.36,9.99,3.03,393168.0,1284516289.08,7.95,33.36,30.95,30.99,30.33,3.7,-130.8,7.74
3,4,000758,中色股份,5.53,9.94,0.5,1398006.0,745373045.14,10.74,5.53,4.99,5.0,5.03,7.1,24.55,1.96
4,5,600705,中航产融,4.54,9.93,0.41,7566543.0,3367788651.0,7.75,4.54,4.22,4.54,4.13,8.59,50.13,1.07
5,6,601800,中国交建,11.19,8.85,0.91,2001333.0,2204235728.0,10.21,11.31,10.26,10.26,10.28,1.7,8.39,0.65
6,7,002057,中钢天源,8.2,7.89,0.6,458919.0,366095948.98,9.87,8.3,7.55,7.6,7.6,6.12,29.66,1.99
7,8,301508,中机认检,39.92,7.46,2.77,120200.0,473735640.77,12.22,42.0,37.46,37.46,37.15,26.58,70.64,4.75
8,9,300114,中航电测,83.28,7.33,5.69,402207.0,3304170250.48,12.81,86.3,76.36,76.58,77.59,6.81,357.45,19.74
9,10,601919,中远海控,15.61,7.06,1.03,2249416.0,3448245009.0,8.02,15.83,14.66,14.68,14.58,1.76,4.9,1.12
10,11,601179,中国西电,8.82,6.91,0.57,1678798.0,1418574556.0,10.3,8.89,8.04,8.25,8.25,3.28,43.1,2.07
11,12,600536,中国软件,48.46,6.51,2.96,842808.0,4106018674.0,11.1,50.05,45.0,45.0,45.5,10.0,-91.54,18.97
12,13,600428,中远海特,7.78,6.43,0.47,677609.0,517100084.0,8.34,7.89,7.28,7.3,7.31,3.16,10.42,1.38
13,14,300425,中建环能,6.4,6.14,0.37,625834.0,392032031.61,10.45,6.55,5.92,6.02,6.03,9.23,139.76,1.89
14,15,301058,中粮科工,12.65,6.12,0.73,395776.0,492157606.64,15.6,13.4,11.54,11.79,11.92,7.73,42.1,3.2
15,16,601600,中国铝业,8.03,5.24,0.4,2708866.0,2142323671.0,5.64,8.09,7.66,7.66,7.63,2.06,11.46,2.07
16,17,601186,中国铁建,9.34,4.59,0.41,1318294.0,1224319852.0,7.28,9.55,8.9,8.93,8.93,1.15,6.06,0.49
17,18,301516,中远通,19.11,4.43,0.81,126980.0,239898381.92,11.31,19.95,17.88,18.12,18.3,19.44,-157.2,3.84
18,19,601611,中国核建,8.91,4.33,0.37,430193.0,376139015.0,5.39,8.94,8.48,8.48,8.54,1.43,13.83,1.34
19,20,601068,中铝国际,5.12,4.28,0.21,403603.0,204563280.0,7.94,5.22,4.83,4.95,4.91,1.58,45.64,6.23
20,21,300962,中金辐照,16.55,4.02,0.64,62182.0,100165449.0,7.1,16.59,15.46,15.85,15.91,2.36,34.17,4.67
21,22,300847,中船汉光,19.29,3.82,0.71,179598.0,340774298.48,11.63,20.0,17.84,18.6,18.58,6.07,45.03,4.13
22,23,601390,中国中铁,6.62,3.28,0.21,1674852.0,1102324699.0,5.15,6.72,6.39,6.41,6.41,0.82,5.97,0.55
23,24,601668,中国建筑,6.2,2.99,0.18,3459365.0,2145268219.0,5.15,6.33,6.02,6.02,6.02,0.84,4.87,0.58
24,25,601117,中国化学,8.33,2.97,0.24,728707.0,599206318.0,3.96,8.35,8.03,8.05,8.09,1.2,9.95,0.84
25,26,601669,中国电建,5.65,2.73,0.15,1917887.0,1078953065.0,5.09,5.75,5.47,5.5,5.5,1.47,8.29,0.71
26,27,601857,中国石油,8.32,2.72,0.22,2079253.0,1718955000.0,3.33,8.38,8.11,8.13,8.1,0.13,8.62,1.02
27,28,601618,中国中冶,3.43,2.69,0.09,2013556.0,685409821.0,5.09,3.49,3.32,3.34,3.34,1.13,7.8,0.7
28,29,601868,中国能建,2.4,2.56,0.06,6555839.0,1570255054.0,5.13,2.46,2.34,2.35,2.34,2.02,20.82,0.97
29,30,601766,中国中车,8.52,2.4,0.2,1271925.0,1078686457.0,3.85,8.61,8.29,8.33,8.32,0.52,25.31,1.5
30,31,601898,中煤能源,13.24,2.4,0.31,242439.0,318317274.0,3.09,13.3,12.9,12.94,12.93,0.26,9.01,1.17
31,32,600938,中国海油,27.04,2.39,0.63,442218.0,1192432907.0,2.65,27.22,26.52,26.69,26.41,1.56,8.26,1.79
32,33,600970,中材国际,10.57,2.32,0.24,190778.0,198264078.0,4.36,10.63,10.18,10.32,10.33,0.85,10.17,1.38
