,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603163,圣晖集成,29.15,2.25,0.64,-0.03,7.28,2.23,4.35,0.75亿,0.35亿,10.20亿,40.93
1,2,603501,韦尔股份,103.6,0.2,0.21,-0.11,0.66,0.91,2.89,8.39亿,12.14亿,1258.15亿,56.45
2,3,000551,创元科技,9.88,1.23,0.12,0.0,2.27,0.97,2.36,0.90亿,4.01亿,39.66亿,15.97
3,4,600160,巨化股份,25.28,0.32,0.08,0.04,0.86,0.62,2.94,5.79亿,27.00亿,682.50亿,54.98
4,5,603160,汇顶科技,61.92,0.03,0.02,-0.16,0.92,0.83,1.96,2.62亿,4.58亿,283.60亿,43.66
5,6,603633,徕木股份,8.15,0.25,0.02,-0.25,1.62,0.61,1.48,0.56亿,4.27亿,34.79亿,34.52
6,7,000969,安泰科技,9.06,0.11,0.01,0.0,1.65,0.93,2.43,1.53亿,10.26亿,92.93亿,30.26
7,8,600120,浙江东方,3.78,-1.31,-0.05,0.0,0.64,0.67,1.83,0.83亿,34.15亿,129.10亿,74.72
8,9,688126,沪硅产业,13.52,-0.73,-0.1,0.07,0.31,1.01,3.16,1.16亿,27.20亿,367.78亿,--
9,10,688469,芯联集成,4.62,-2.94,-0.14,-0.22,1.25,4.24,6.3,2.57亿,43.96亿,203.09亿,--
10,11,601133,柏诚股份,10.88,-1.36,-0.15,0.09,1.98,0.83,2.72,0.32亿,1.48亿,16.05亿,25.53
11,12,300398,飞凯材料,12.0,-1.24,-0.15,-0.08,2.43,1.22,3.54,1.52亿,5.25亿,63.02亿,26.5
12,13,688008,澜起科技,50.87,-0.37,-0.19,0.12,1.25,0.77,1.7,7.23亿,11.41亿,580.66亿,64.98
13,14,600206,有研新材,9.85,-1.99,-0.2,-0.1,1.68,0.6,2.98,1.40亿,8.47亿,83.39亿,4578.0
14,15,600141,兴发集团,24.13,-0.86,-0.21,0.0,1.53,0.53,3.16,4.09亿,11.03亿,266.21亿,17.44
15,16,688432,有研硅,9.93,-2.07,-0.21,0.0,0.41,0.67,2.66,0.19亿,4.57亿,45.33亿,54.93
16,17,688549,中巨芯,6.47,-3.14,-0.21,0.16,2.81,1.09,3.89,0.52亿,2.82亿,18.23亿,315.11
17,18,688138,清溢光电,20.95,-1.04,-0.22,0.0,0.87,0.51,2.55,0.49亿,2.67亿,55.89亿,28.18
18,19,300054,鼎龙股份,23.19,-0.98,-0.23,0.0,0.81,0.61,2.01,1.39亿,7.36亿,170.59亿,67.21
19,20,603690,至纯科技,25.76,-0.96,-0.25,0.0,1.67,0.92,1.73,1.66亿,3.86亿,99.32亿,39.2
20,21,300655,晶瑞电材,7.39,-3.65,-0.28,0.0,1.6,1.17,5.08,1.13亿,9.50亿,70.20亿,--
21,22,002129,TCL中环,10.78,-2.62,-0.29,0.0,2.44,1.07,2.98,10.66亿,40.40亿,435.48亿,--
22,23,000032,深桑达A,16.59,-1.78,-0.3,-0.06,2.12,0.53,3.02,2.27亿,6.45亿,106.97亿,276.73
23,24,605358,立昂微,22.53,-1.36,-0.31,0.0,0.73,0.79,2.28,1.10亿,6.71亿,151.26亿,--
24,25,300416,苏试试验,13.99,-2.31,-0.33,0.0,2.57,0.76,3.49,1.83亿,5.05亿,70.67亿,42.17
25,26,300458,全志科技,19.72,-1.7,-0.34,-0.05,1.83,0.71,2.94,1.87亿,5.16亿,101.76亿,63.45
26,27,688106,金宏气体,18.99,-1.86,-0.36,-0.21,0.85,0.81,2.89,0.79亿,4.88亿,92.59亿,30.27
27,28,300390,天华新能,21.51,-1.74,-0.38,0.0,1.46,0.72,1.96,2.14亿,6.79亿,146.09亿,8.97
28,29,002407,多氟多,14.33,-2.91,-0.43,0.0,2.51,1.03,3.05,3.92亿,10.84亿,155.28亿,108.06
29,30,600584,长电科技,26.23,-1.65,-0.44,0.0,1.46,0.98,3.04,6.88亿,17.89亿,469.36亿,86.77
30,31,600378,昊华科技,32.42,-1.4,-0.46,-0.09,0.33,0.78,3.83,0.97亿,9.04亿,293.06亿,53.93
31,32,603078,江化微,12.35,-3.74,-0.48,0.0,2.12,1.55,4.52,0.87亿,3.31亿,40.90亿,46.89
32,33,603324,盛剑环境,25.95,-2.0,-0.53,0.19,1.46,0.71,3.78,0.47亿,1.24亿,32.28亿,42.54
33,34,688508,芯朋微,34.48,-1.54,-0.54,-0.2,1.58,0.93,3.43,0.72亿,1.31亿,45.28亿,47.55
34,35,688146,中船特气,29.45,-1.9,-0.57,0.07,2.12,0.74,3.23,0.61亿,0.98亿,28.74亿,43.15
35,36,300346,南大光电,24.81,-2.4,-0.61,-0.12,1.51,0.95,2.91,1.94亿,5.14亿,127.44亿,41.05
36,37,002967,广电计量,15.0,-3.97,-0.62,0.0,3.49,0.78,5.19,2.68亿,5.06亿,75.97亿,1801.6
37,38,300623,捷捷微电,16.17,-3.69,-0.62,-0.06,1.66,0.8,2.98,1.81亿,6.70亿,108.42亿,32.37
38,39,603650,彤程新材,28.6,-2.26,-0.66,-0.14,0.77,0.49,2.97,1.32亿,5.94亿,169.90亿,29.7
39,40,688233,神工股份,20.29,-3.15,-0.66,0.25,1.33,0.73,5.01,0.47亿,1.70亿,34.55亿,591.06
40,41,603358,华达科技,29.09,-2.25,-0.67,0.35,0.95,0.77,3.02,1.22亿,4.39亿,127.72亿,19.94
41,42,688981,中芯国际,42.99,-1.67,-0.73,0.02,1.31,1.28,2.84,11.12亿,19.74亿,848.46亿,167.97
42,43,300236,上海新阳,32.48,-2.4,-0.8,0.0,0.9,1.11,4.15,0.82亿,2.78亿,90.43亿,78.51
43,44,688376,美埃科技,32.3,-2.5,-0.83,-0.03,1.44,1.07,3.68,0.23亿,0.50亿,16.03亿,30.66
44,45,300554,三超新材,22.26,-3.6,-0.83,0.05,8.79,0.96,5.24,1.52亿,0.77亿,17.04亿,170.15
45,46,301297,富乐德,20.51,-3.89,-0.83,0.05,3.91,1.08,4.78,1.12亿,1.38亿,28.38亿,71.41
46,47,300373,扬杰科技,38.38,-2.22,-0.87,-0.05,2.02,1.41,3.54,4.25亿,5.42亿,208.00亿,28.86
47,48,300666,江丰电子,47.17,-2.12,-1.02,-0.11,2.02,0.86,2.59,2.01亿,2.09亿,98.76亿,52.48
48,49,688416,恒烁股份,41.2,-2.44,-1.03,-0.07,3.24,0.97,6.23,0.60亿,0.44亿,18.06亿,--
49,50,300842,帝科股份,54.01,-2.12,-1.17,-0.09,3.72,0.7,2.63,2.51亿,1.25亿,67.57亿,10.81
50,51,002409,雅克科技,59.33,-1.97,-1.19,0.02,2.95,0.98,3.7,5.53亿,3.19亿,188.98亿,28.71
51,52,300260,新莱应材,22.91,-6.38,-1.56,-0.17,4.09,1.63,7.03,2.73亿,2.88亿,65.90亿,34.10
52,53,688268,华特气体,51.92,-3.1,-1.66,-0.12,0.96,0.93,3.55,0.60亿,1.20亿,62.42亿,34.68
53,54,688286,敏芯股份,36.3,-4.45,-1.69,-0.25,1.18,0.83,6.24,0.23亿,0.54亿,19.45亿,--
54,55,688037,芯源微,94.21,-1.78,-1.71,-0.12,2.81,0.7,4.26,3.64亿,1.38亿,129.90亿,202.84
55,56,603929,亚翔集成,26.11,-6.18,-1.72,0.04,3.74,0.98,6.36,2.11亿,2.13亿,55.71亿,11.92
56,57,688596,正帆科技,36.08,-4.65,-1.76,-0.17,1.25,0.8,5.21,1.29亿,2.84亿,102.33亿,102.72
57,58,688123,聚辰股份,53.69,-3.24,-1.8,0.17,2.07,0.87,4.22,1.77亿,1.59亿,85.21亿,41.69
58,59,688652,京仪装备,40.84,-4.33,-1.85,-0.12,2.3,1.1,4.9,0.36亿,0.38亿,15.47亿,61.17
59,60,301369,联动科技,41.23,-5.76,-2.52,0.02,7.55,1.81,5.49,0.77亿,0.24亿,10.00亿,--
60,61,688361,中科飞测,51.19,-4.9,-2.64,0.12,4.62,1.39,7.13,1.57亿,0.64亿,32.99亿,119.60
61,62,688082,盛美上海,77.85,-3.29,-2.65,-0.06,2.79,1.15,4.1,1.66亿,0.76亿,59.06亿,105.76
62,63,300567,精测电子,58.4,-5.2,-3.2,-0.1,2.05,1.53,6.74,2.51亿,2.07亿,120.73亿,--
63,64,688019,安集科技,164.18,-2.38,-4.0,0.25,0.91,0.59,3.48,1.49亿,0.99亿,162.65亿,38.70
64,65,688012,中微公司,133.04,-3.69,-5.09,0.02,1.27,1.5,6.41,10.54亿,6.20亿,824.95亿,82.78
65,66,001309,德明利,91.45,-5.54,-5.36,-0.03,7.57,1.04,5.79,6.10亿,0.87亿,79.74亿,17.21
66,67,002371,北方华创,297.95,-5.12,-16.08,-0.01,2.79,3.39,9.07,44.03亿,5.30亿,1580.46亿,35.11
