,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688652,京仪装备,56.41,15.74,7.67,84179,456943277.0,16.04,56.86,49.04,49.5,48.74,20.88,54.76,4.62
1,2,603690,至纯科技,26.14,10.02,2.38,388535,995780274.0,8.12,26.14,24.21,24.35,23.76,10.08,39.26,2.02
2,3,300623,捷捷微电,44.69,8.95,3.67,1114904,4829149599.38,15.87,47.4,40.89,41.01,41.02,16.63,78.22,6.66
3,4,688596,正帆科技,37.14,7.22,2.5,102627,369527387.0,10.59,37.79,34.12,34.64,34.64,3.56,24.19,3.21
4,5,600120,浙江东方,5.05,6.77,0.32,1951133,984160954.0,11.84,5.2,4.64,4.7,4.73,5.71,30.93,1.11
5,6,688072,拓荆科技,161.0,6.24,9.46,64723,1021109920.0,8.86,163.62,150.19,151.5,151.54,4.21,123.88,9.41
6,7,688012,中微公司,192.43,6.23,11.28,187550,3525337986.0,11.92,199.0,177.4,181.0,181.15,3.01,98.36,6.37
7,8,600198,大唐电信,16.2,5.95,0.91,2023577,3267039040.0,14.19,16.82,14.65,14.8,15.29,22.98,-174.91,96.02
8,9,430139,华岭股份,37.15,5.87,2.06,372383,1352972004.76,19.09,40.5,33.8,33.82,35.09,14.29,-494.53,9.11
9,10,000969,安泰科技,10.85,5.54,0.57,686508,736122555.61,6.91,10.94,10.23,10.26,10.28,6.69,25.15,2.08
10,11,300398,飞凯材料,15.71,4.87,0.73,334916,515790053.36,6.94,15.84,14.8,14.9,14.98,6.37,30.27,2.17
11,12,300458,全志科技,39.89,4.86,1.85,651274,2554641317.61,7.7,40.59,37.66,38.42,38.04,12.58,125.51,8.37
12,13,300346,南大光电,41.78,4.71,1.88,646052,2632025286.87,8.57,42.22,38.8,39.73,39.9,12.58,64.08,7.16
13,14,688206,概伦电子,20.13,4.41,0.85,68324,136095021.0,7.11,20.38,19.01,19.26,19.28,3.86,-114.57,4.38
14,15,600584,长电科技,39.92,4.34,1.66,1175976,4619560691.0,8.34,40.8,37.61,38.15,38.26,6.57,49.77,2.66
15,16,688233,神工股份,25.98,4.34,1.08,80569,207462226.0,6.63,26.3,24.65,24.91,24.9,4.73,120.73,2.49
16,17,688549,中巨芯-U,9.45,4.19,0.38,622356,584133294.0,9.15,9.74,8.91,9.1,9.07,10.77,352.12,4.58
17,18,002129,TCL中环,12.67,4.02,0.49,2632734,3316935008.11,7.22,13.0,12.12,12.48,12.18,6.52,-6.34,1.48
18,19,300655,晶瑞电材,10.21,3.97,0.39,755121,761693213.99,6.11,10.3,9.7,9.76,9.82,7.46,12200.15,4.19
19,20,836208,青矩技术,33.79,3.68,1.2,102379,348026068.01,18.41,36.7,30.7,31.9,32.59,18.49,24.36,3.54
20,21,688037,芯源微,87.39,3.65,3.08,103084,890750802.0,7.88,89.0,82.36,84.6,84.31,5.13,122.31,6.95
21,22,300666,江丰电子,67.63,3.63,2.37,119522,797793289.98,4.72,68.0,64.92,65.26,65.26,5.42,46.92,4.07
22,23,603078,江化微,15.7,3.36,0.51,185248,287087070.0,5.92,15.87,14.97,15.14,15.19,4.8,52.64,3.65
23,24,688107,安路科技,28.51,3.26,0.9,49293,139089414.0,6.45,28.9,27.12,27.61,27.61,2.56,-54.27,8.87
24,25,600206,有研新材,11.5,3.23,0.36,323624,368237203.0,4.13,11.55,11.09,11.18,11.14,3.82,63.72,2.51
25,26,300416,苏试试验,13.13,3.22,0.41,208123,270729486.45,5.19,13.25,12.59,12.7,12.72,4.12,34.21,2.57
26,27,603324,盛剑科技,25.05,3.04,0.74,40555,100168757.0,3.33,25.06,24.25,24.27,24.31,2.72,30.7,2.27
27,28,688361,中科飞测,70.55,2.84,1.95,61385,425446537.0,6.76,71.49,66.85,67.5,68.6,2.51,-326.33,9.51
28,29,688432,有研硅,12.43,2.81,0.34,95059,116839399.0,5.46,12.54,11.88,12.04,12.09,1.9,59.74,3.61
29,30,300236,上海新阳,39.57,2.22,0.86,142847,558524569.41,5.79,39.94,37.7,38.7,38.71,5.13,71.67,2.78
30,31,300390,天华新能,23.55,2.21,0.51,215015,505072671.41,4.43,23.94,22.92,22.92,23.04,3.2,15.89,1.64
31,32,688019,安集科技,154.1,2.19,3.3,50439,768121521.0,7.41,156.28,145.11,150.88,150.8,3.9,38.04,7.84
32,33,600378,昊华科技,32.26,1.93,0.61,44532,143239397.0,4.68,32.67,31.19,31.72,31.65,0.49,31.51,2.87
33,34,002409,雅克科技,63.79,1.9,1.19,175055,1101410654.54,4.97,64.41,61.3,62.3,62.6,5.5,30.41,4.18
34,35,300567,精测电子,61.34,1.86,1.12,103098,632033433.0,4.52,62.21,59.49,60.21,60.22,5.1,152.98,5.11
35,36,688508,芯朋微,46.02,1.77,0.8,55503,253000387.0,4.93,46.43,44.2,44.8,45.22,4.23,58.68,2.46
36,37,300842,帝科股份,46.84,1.74,0.8,125959,592745564.78,3.89,47.83,46.04,46.95,46.04,10.07,16.88,4.2
37,38,605358,立昂微,26.59,1.72,0.45,178370,470557524.0,4.78,26.91,25.66,26.14,26.14,2.66,-246.38,2.38
38,39,300373,扬杰科技,47.68,1.45,0.68,198892,944072069.96,5.15,48.53,46.11,46.89,47.0,3.67,29.04,3.08
39,40,688106,金宏气体,19.05,1.44,0.27,63364,120299259.0,4.1,19.35,18.58,18.8,18.78,1.31,32.72,3.12
40,41,688981,中芯国际,86.93,1.29,1.11,1166113,10121960492.0,6.11,88.94,83.7,85.48,85.82,5.86,210.54,4.8
41,42,688126,沪硅产业,22.48,1.17,0.26,402253,898149560.0,4.37,22.79,21.82,22.21,22.22,1.48,-86.34,4.77
42,43,300054,鼎龙股份,27.06,0.93,0.25,235566,633577512.41,3.73,27.4,26.4,26.83,26.81,3.24,50.6,5.85
43,44,002967,广电计量,17.43,0.87,0.15,167839,291374038.85,2.49,17.58,17.15,17.26,17.28,3.1,40.39,2.75
44,45,688268,华特气体,52.98,0.82,0.43,26333,137891572.0,5.61,53.68,50.73,52.2,52.55,2.19,36.05,3.67
45,46,002371,北方华创,392.37,0.56,2.19,98705,3853452510.2,4.55,399.6,381.86,388.38,390.18,1.85,35.16,7.2
46,47,688123,聚辰股份,60.56,0.38,0.23,49707,299886135.0,4.13,61.38,58.89,59.68,60.33,3.16,33.83,4.52
47,48,603633,徕木股份,7.16,0.28,0.02,126195,90219330.0,2.52,7.23,7.05,7.11,7.14,2.96,32.7,1.56
