,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000050,深天马Ａ,7.24,10.03,0.66,537170,363627160.0,13.07,7.24,6.38,6.64,6.58,2.19,-18.18,0.65
1,2,002625,光启技术,19.04,7.63,1.35,556876,1033613060.83,8.65,19.25,17.72,17.72,17.69,3.13,56.76,4.5
2,3,002261,拓维信息,12.19,7.02,0.8,1272508,1495598902.35,12.64,12.5,11.06,11.44,11.39,11.29,2295.32,5.95
3,4,300763,锦浪科技,61.35,6.86,3.94,142011,854353227.68,9.49,62.8,57.35,57.62,57.41,4.42,34.79,3.04
4,5,301165,锐捷网络,32.55,6.34,1.94,39677,126756378.97,8.04,32.88,30.42,30.88,30.61,5.82,60.13,4.48
5,6,688032,禾迈股份,132.0,6.23,7.74,14986,192484917.0,8.67,133.27,122.5,124.27,124.26,2.42,43.54,2.65
6,7,002153,石基信息,5.85,5.6,0.31,267757,152150202.9,8.3,5.91,5.45,5.54,5.54,1.67,322.89,2.18
7,8,600839,四川长虹,5.13,4.27,0.21,2971495,1500997788.0,6.91,5.17,4.83,4.93,4.92,6.44,42.22,1.65
8,9,002568,百润股份,16.86,4.14,0.67,83244,138889121.44,5.19,16.95,16.11,16.11,16.19,1.16,21.98,4.22
9,10,603444,吉比特,204.38,4.03,7.92,14265,285674838.0,6.28,205.96,193.62,195.0,196.46,1.98,14.22,2.98
10,11,600764,中国海防,21.28,3.96,0.81,65773,137471986.0,6.16,21.48,20.22,20.42,20.47,0.93,100.32,1.86
11,12,300088,长信科技,5.02,3.93,0.19,1636485,800765243.46,6.63,5.03,4.71,4.89,4.83,6.7,33.38,1.5
12,13,301236,软通动力,33.5,3.88,1.25,370446,1218376774.89,6.33,33.73,31.69,32.43,32.25,5.45,-103.43,3.11
13,14,600895,张江高科,17.69,3.81,0.65,433738,769518756.0,10.86,18.66,16.81,16.98,17.04,2.8,51.44,2.2
14,15,300682,朗新集团,9.04,3.79,0.33,218674,193576707.91,7.35,9.19,8.55,8.7,8.71,2.08,131.9,1.32
15,16,600563,法拉电子,85.21,3.76,3.09,17697,148731109.0,4.99,85.7,81.6,81.84,82.12,0.79,19.89,4.05
16,17,603707,健友股份,12.92,3.53,0.44,82173,104719809.0,5.21,13.02,12.37,12.48,12.48,0.51,25.77,3.47
17,18,688052,纳芯微,87.78,3.33,2.83,11581,98201055.0,5.87,87.78,82.79,84.9,84.95,1.24,-23.58,2.06
18,19,002203,海亮股份,8.09,3.32,0.26,79925,63420854.0,5.24,8.15,7.74,7.84,7.83,0.41,13.07,1.18
19,20,603379,三美股份,27.3,3.17,0.84,84069,228793428.0,5.9,27.71,26.15,26.21,26.46,1.38,21.72,2.7
20,21,688525,佰维存储,43.78,3.04,1.29,102689,441953904.0,5.11,44.07,41.9,42.48,42.49,3.36,33.31,7.73
21,22,000997,新 大 陆,12.59,3.03,0.37,221604,270704617.06,6.63,12.66,11.85,12.25,12.22,2.16,12.26,1.94
22,23,000559,万向钱潮,4.83,2.99,0.14,235089,111609295.4,3.84,4.84,4.66,4.68,4.69,0.71,16.31,1.8
23,24,603927,中科软,15.8,2.93,0.45,69394,107892830.0,4.63,15.9,15.19,15.5,15.35,0.84,34.74,4.2
24,25,600956,新天绿能,6.73,2.91,0.19,86967,57781989.0,3.52,6.75,6.52,6.61,6.54,0.4,9.9,1.32
25,26,002558,巨人网络,9.51,2.81,0.26,367067,342614128.94,5.84,9.6,9.06,9.32,9.25,1.86,13.08,1.53
26,27,002368,太极股份,14.51,2.69,0.38,115012,163407344.52,5.66,14.65,13.85,14.12,14.13,1.85,-28.46,1.81
27,28,600498,烽火通信,14.1,2.62,0.36,113307,157442384.0,4.29,14.17,13.58,13.77,13.74,0.99,38.5,1.34
28,29,601019,山东出版,12.82,2.56,0.32,74477,94162153.0,3.76,12.86,12.39,12.39,12.5,0.36,17.73,1.86
29,30,600131,国网信通,16.96,2.48,0.41,42572,71061093.0,3.44,16.98,16.41,16.61,16.55,0.36,43.85,3.23
30,31,603298,杭叉集团,17.08,2.46,0.41,52477,88647955.0,4.68,17.28,16.5,16.7,16.67,0.4,11.11,2.46
31,32,300212,易华录,14.65,2.45,0.35,112497,162164177.76,5.94,14.86,14.01,14.26,14.3,1.61,-14.31,3.27
32,33,002268,电科网安,12.25,2.42,0.29,66414,79783036.32,4.6,12.35,11.8,12.02,11.96,0.79,-24.05,1.97
33,34,002152,广电运通,9.37,2.4,0.22,149151,137298024.22,4.81,9.45,9.01,9.16,9.15,0.6,23.35,1.91
34,35,688348,昱能科技,43.9,2.4,1.03,25001,108208342.0,5.64,44.57,42.15,42.9,42.87,3.1,39.06,1.9
35,36,688819,天能股份,26.93,2.4,0.63,29308,78054143.0,3.35,27.06,26.18,26.18,26.3,0.3,10.96,1.67
36,37,000032,深桑达Ａ,12.84,2.39,0.3,110907,140309690.3,5.26,13.0,12.34,12.66,12.54,1.72,-192.81,2.31
37,38,603786,科博达,48.65,2.36,1.12,24094,116541501.0,3.68,48.98,47.23,47.5,47.53,0.6,26.44,4.09
38,39,603529,爱玛科技,32.02,2.33,0.73,52997,167443864.0,3.64,32.2,31.06,31.29,31.29,0.63,14.51,3.49
39,40,600536,中国软件,31.13,2.3,0.7,138406,424183537.0,4.63,31.3,29.89,30.48,30.43,1.64,-48.53,11.88
40,41,601858,中国科传,17.14,2.27,0.38,46233,78028793.0,4.3,17.3,16.58,16.81,16.76,0.58,48.46,2.57
41,42,002409,雅克科技,51.1,2.24,1.12,61247,309790678.0,3.7,51.48,49.63,50.19,49.98,1.92,23.41,3.43
42,43,002439,启明星辰,12.85,2.23,0.28,158435,199934092.08,4.46,12.94,12.38,12.6,12.57,2.19,-42.95,1.36
43,44,600060,海信视像,15.83,2.19,0.34,125171,197911535.0,3.36,16.04,15.52,15.6,15.49,0.97,12.39,1.14
44,45,300383,光环新网,7.92,2.19,0.17,148289,115367613.82,4.9,7.99,7.61,7.75,7.75,0.83,26.6,1.13
