,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002602,世纪华通,4.68,6.36,0.28,-0.21,3.66,1.75,6.59,11.66亿,68.81亿,322.03亿,13.38
1,2,300031,宝通科技,14.36,1.27,0.18,0.07,7.04,1.68,3.53,3.50亿,3.46亿,49.65亿,17.25
2,3,002558,巨人网络,11.79,0.68,0.08,0.09,2.45,1.13,3.93,5.71亿,19.74亿,232.68亿,16.51
3,4,300846,首都在线,11.27,0.71,0.08,-0.09,4.21,0.97,3.31,1.69亿,3.56亿,40.17亿,--
4,5,002425,凯撒文化,3.25,1.56,0.05,0.31,2.79,1.60,3.75,0.87亿,9.56亿,31.07亿,129.01
5,6,300857,协创数据,62.80,0.03,0.02,0.00,3.92,1.02,3.22,6.00亿,2.44亿,153.11亿,23.59
6,7,600804,ST鹏博士,--,--,--,--,--,--,--,--,13.93亿,33.42亿,--
7,8,002699,*ST美盛,--,--,--,--,--,--,--,--,9.10亿,3.73亿,--
8,9,002168,惠程科技,3.35,-0.59,-0.02,0.30,1.09,1.01,3.56,0.29亿,7.82亿,26.21亿,--
9,10,300134,大富科技,8.19,-0.36,-0.03,0.12,1.27,1.02,3.29,0.74亿,7.12亿,58.35亿,--
10,11,300459,汤姆猫,4.04,-1.22,-0.05,-0.25,2.55,0.94,3.67,3.15亿,30.61亿,123.67亿,57.16
11,12,300324,旋极信息,2.7,-1.82,-0.05,0.0,2.08,0.87,4.0,0.97亿,17.09亿,46.13亿,--
12,13,300264,佳创视讯,4.91,-1.21,-0.06,0.0,3.61,1.03,4.83,0.66亿,3.69亿,18.12亿,--
13,14,300472,新元科技,5.67,-1.22,-0.07,-0.53,2.82,0.91,4.18,0.40亿,2.51亿,14.25亿,--
14,15,300148,天舟文化,2.85,-2.73,-0.08,0.0,3.41,1.31,4.78,0.78亿,8.02亿,22.85亿,--
15,16,688158,优刻得,12.06,-0.82,-0.1,0.0,1.91,0.94,2.96,0.93亿,4.02亿,48.51亿,--
16,17,300113,顺网科技,11.65,-0.85,-0.1,0.0,2.93,0.99,3.58,1.80亿,5.29亿,61.62亿,37.84
17,18,002174,游族网络,9.69,-1.12,-0.11,0.1,2.09,0.96,4.18,1.85亿,9.14亿,88.61亿,129.10
18,19,000727,冠捷科技,2.38,-4.8,-0.12,-0.42,1.91,1.88,4.4,2.08亿,45.30亿,107.80亿,501.19
19,20,300052,中青宝,13.54,-1.1,-0.15,0.0,1.95,0.97,3.65,0.69亿,2.62亿,35.45亿,--
20,21,300043,星辉娱乐,2.61,-5.43,-0.15,0.0,4.32,1.97,6.52,1.42亿,12.44亿,32.46亿,--
21,22,002624,完美世界,10.0,-1.86,-0.19,-0.1,2.19,1.22,2.94,4.02亿,18.27亿,182.74亿,--
22,23,600640,国脉文化,12.85,-1.76,-0.23,0.08,2.45,1.65,4.28,2.54亿,7.96亿,102.25亿,481.33
23,24,002555,三七互娱,16.7,-1.48,-0.25,-0.36,3.28,0.83,2.77,8.88亿,16.07亿,268.43亿,15.03
24,25,300494,盛天网络,12.83,-2.95,-0.39,-0.08,6.78,0.9,4.31,3.49亿,3.97亿,51.00亿,110.30
25,26,300770,新媒股份,37.75,-2.05,-0.79,-0.05,1.19,0.8,2.31,1.05亿,2.31亿,87.22亿,14.74
