,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002223,鱼跃医疗,38.65,3.98,1.48,0.21,1.32,1.36,5.17,4.76亿,9.39亿,362.80亿,14.69
1,2,300520,科大国创,21.98,4.92,1.03,-0.05,21.58,2.27,13.32,11.07亿,2.33亿,51.23亿,271.86
2,3,603939,益丰药房,43.94,2.16,0.93,-0.23,0.5,0.93,2.91,2.22亿,10.08亿,442.97亿,27.29
3,4,300199,翰宇药业,12.88,5.32,0.65,0.0,9.7,1.25,7.44,8.11亿,6.66亿,85.79亿,--
4,5,603439,贵州三力,15.66,4.12,0.62,0.0,2.9,2.08,6.05,1.83亿,4.08亿,63.95亿,28.63
5,6,300730,科创信息,10.07,5.33,0.51,0.2,11.82,3.47,15.27,2.38亿,1.97亿,19.79亿,--
6,7,000028,国药一致,35.13,0.92,0.32,0.0,0.89,0.66,3.45,1.51亿,4.78亿,167.94亿,12.57
7,8,000705,浙江震元,8.1,3.19,0.25,-0.12,13.23,4.6,6.88,3.04亿,2.82亿,22.84亿,35.16
8,9,002727,一心堂,21.08,1.05,0.22,-0.05,1.86,0.95,2.97,1.60亿,4.08亿,85.94亿,12.98
9,10,000989,ST九芝,7.85,1.95,0.15,-0.51,10.97,10.73,6.75,5.83亿,6.94亿,54.48亿,11.62
10,11,002788,鹭燕医药,8.85,1.61,0.14,0.11,1.67,1.15,2.98,0.56亿,3.80亿,33.67亿,10.26
11,12,000919,金陵药业,6.96,1.9,0.13,0.0,1.89,1.9,2.93,0.66亿,5.04亿,35.07亿,25.14
12,13,002793,罗欣药业,4.63,2.89,0.13,0.0,1.46,1.3,4.89,0.73亿,10.86亿,50.28亿,--
13,14,600998,九州通,8.21,1.61,0.13,-0.24,0.73,1.28,3.09,2.34亿,39.09亿,320.92亿,14.92
14,15,000950,重药控股,5.45,2.25,0.12,0.0,1.53,1.58,4.32,1.44亿,17.28亿,94.19亿,22.87
15,16,301126,达嘉维康,9.54,1.27,0.12,0.0,2.91,0.8,2.34,0.30亿,1.10亿,10.47亿,25.34
16,17,300290,荣科科技,8.77,1.15,0.1,-0.11,11.78,0.99,5.77,6.70亿,6.40亿,56.10亿,--
17,18,000566,海南海药,3.67,2.51,0.09,0.0,0.99,1.61,3.35,0.42亿,11.66亿,42.79亿,--
18,19,600713,南京医药,4.86,1.89,0.09,-0.21,1.64,2.04,1.89,0.83亿,10.47亿,50.88亿,10.01
19,20,600771,广誉远,25.69,0.35,0.09,0.0,2.56,2.39,3.79,3.25亿,4.89亿,125.75亿,76.11
20,21,002558,巨人网络,11.79,0.68,0.08,0.09,2.45,1.13,3.93,5.71亿,19.74亿,232.68亿,16.51
21,22,300003,乐普医疗,14.75,0.55,0.08,0.0,0.99,0.73,1.84,2.36亿,16.16亿,238.37亿,14.39
22,23,300016,北陆药业,4.94,1.23,0.06,-0.2,1.79,1.21,3.07,0.43亿,4.91亿,24.26亿,52.71
23,24,300026,红日药业,3.86,1.58,0.06,0.26,1.53,1.48,2.63,1.62亿,27.53亿,106.26亿,49.88
24,25,002004,华邦健康,4.64,1.09,0.05,0.0,0.97,1.24,2.18,0.84亿,18.82亿,87.34亿,14.76
25,26,000066,中国长城,9.78,0.41,0.04,-0.1,1.39,1.24,2.26,4.27亿,31.47亿,307.76亿,--
26,27,002390,信邦制药,3.96,1.02,0.04,0.0,1.24,1.4,2.04,0.90亿,18.28亿,72.39亿,32.71
27,28,300047,天源迪科,7.64,0.39,0.03,0.0,3.21,0.98,1.97,1.32亿,5.39亿,41.17亿,133.98
28,29,300869,康泰医学,16.14,0.19,0.03,0.12,1.23,1.03,2.36,0.50亿,2.52亿,40.60亿,372.54
29,30,600568,ST中珠,1.46,2.1,0.03,0.0,0.44,0.52,2.8,0.11亿,16.69亿,24.37亿,--
30,31,000725,京东方A,4.36,0.46,0.02,-0.23,1.18,1.26,1.61,18.99亿,368.56亿,1606.95亿,41.72
31,32,002362,汉王科技,19.52,0.1,0.02,0.0,3.69,1.04,3.85,1.49亿,2.07亿,40.44亿,--
32,33,300006,莱美药业,2.9,0.69,0.02,0.0,1.1,0.78,3.12,0.34亿,10.56亿,30.62亿,--
33,34,300288,朗玛信息,13.36,0.15,0.02,0.0,3.31,0.94,3.22,1.13亿,2.56亿,34.21亿,178.59
34,35,600572,康恩贝,4.94,0.41,0.02,0.2,1.31,1.06,1.83,1.66亿,25.63亿,126.63亿,14.69
35,36,000516,国际医学,5.75,0.17,0.01,-0.17,0.89,0.57,2.09,1.13亿,22.13亿,127.26亿,--
36,37,000650,仁和药业,6.53,0.15,0.01,0.0,3.46,1.25,2.3,3.03亿,13.31亿,86.94亿,12.89
37,38,002038,双鹭药业,8.62,0.12,0.01,-0.12,1.52,0.72,1.74,1.11亿,8.51亿,73.40亿,31.57
38,39,300030,阳普医疗,4.65,0.22,0.01,0.0,3.46,1.02,4.53,0.43亿,2.71亿,12.59亿,--
39,40,300061,旗天科技,4.21,0.24,0.01,0.0,1.85,0.82,3.57,0.48亿,6.17亿,25.98亿,--
40,41,300562,乐心医疗,9.46,0.11,0.01,0.11,4.72,0.91,2.43,0.71亿,1.60亿,15.13亿,37.54
41,42,600227,赤天化,1.81,0.56,0.01,0.00,1.59,1.03,3.33,0.36亿,12.78亿,23.14亿,--
42,43,000150,*ST宜康,--,--,--,--,--,--,--,--,8.06亿,4.11亿,--
43,44,000908,景峰医药,--,--,--,--,--,--,--,--,7.89亿,13.33亿,106.04
44,45,002172,澳洋健康,3.05,0.00,0.00,0.33,1.80,1.13,2.62,0.42亿,7.65亿,23.34亿,18.99
45,46,002173,创新医疗,8.47,0.00,0.00,0.12,4.16,0.82,2.72,1.50亿,4.24亿,35.92亿,--
46,47,002424,贵州百灵,--,--,--,--,--,--,--,--,12.27亿,79.25亿,44.09
47,48,002433,*ST太安,--,--,--,--,--,--,--,--,7.44亿,3.80亿,--
48,49,002589,瑞康医药,2.68,0.00,0.00,0.00,2.13,1.50,2.98,0.77亿,13.64亿,36.56亿,66.46
49,50,300020,银江技术,--,--,--,--,--,--,--,--,7.67亿,51.29亿,126.93
50,51,600767,退市运盛,--,--,--,--,--,--,--,--,3.41亿,1.43亿,--
51,52,002681,奋达科技,4.39,-0.23,-0.01,0.00,1.57,0.83,2.50,1.02亿,14.80亿,64.99亿,90.17
52,53,300550,和仁科技,10.83,-0.09,-0.01,0.00,0.87,0.81,4.06,0.25亿,2.62亿,28.40亿,--
53,54,603368,柳药集团,22.79,-0.04,-0.01,-0.04,2.16,1.09,1.32,1.77亿,3.60亿,82.10亿,7.57
54,55,300078,思创医惠,2.94,-0.68,-0.02,0.34,1.76,0.84,5.41,0.46亿,8.83亿,25.96亿,--
55,56,300143,盈康生命,8.27,-0.36,-0.03,0.12,0.74,0.85,2.53,0.39亿,6.42亿,53.11亿,50.62
56,57,300273,和佳退,0.38,-7.32,-0.03,-2.56,8.44,1.53,9.76,0.22亿,6.49亿,2.46亿,--
57,58,600055,万东医疗,15.00,-0.20,-0.03,-0.07,0.93,0.84,2.46,0.76亿,5.41亿,81.12亿,79.28
58,59,603716,塞力医疗,7.24,-0.41,-0.03,0.00,4.45,1.20,2.89,0.65亿,2.01亿,14.58亿,115.43
59,60,600196,复星医药,23.67,-0.17,-0.04,0.00,0.45,0.95,1.26,2.27亿,21.18亿,501.45亿,25.94
60,61,600518,ST康美,1.99,-1.97,-0.04,0.0,0.83,1.29,2.96,2.26亿,136.13亿,270.90亿,923.17
61,62,600587,新华医疗,22.28,-0.18,-0.04,0.14,1.55,1.22,2.64,1.55亿,4.45亿,99.18亿,12.32
62,63,002065,东华软件,5.47,-0.91,-0.05,0.0,0.78,0.78,2.54,1.24亿,29.08亿,159.06亿,61.95
63,64,300300,海峡创新,2.56,-2.29,-0.06,-0.39,2.53,0.75,4.96,0.43亿,6.67亿,17.07亿,--
64,65,300341,麦克奥迪,9.56,-0.62,-0.06,-0.1,1.06,1.12,2.6,0.52亿,5.15亿,49.24亿,38.89
65,66,002262,恩华药业,25.01,-0.28,-0.07,0.0,1.0,0.88,2.95,2.22亿,8.82亿,220.53亿,23.75
66,67,300018,中元股份,5.02,-1.38,-0.07,0.0,1.83,0.71,2.95,0.34亿,3.72亿,18.66亿,67.26
67,68,300451,创业慧康,4.27,-1.61,-0.07,0.0,2.01,0.85,3.92,1.15亿,13.42亿,57.29亿,133.80
68,69,301267,华厦眼科,26.12,-0.27,-0.07,0.0,1.15,0.68,1.79,0.98亿,3.29亿,85.89亿,35.18
69,70,300096,ST易联众,3.48,-2.25,-0.08,0.0,4.26,0.93,5.34,0.54亿,3.59亿,12.50亿,--
70,71,300168,万达信息,5.81,-1.36,-0.08,-0.17,0.95,0.92,4.25,0.75亿,13.62亿,79.11亿,--
71,72,300310,宜通世纪,4.85,-1.62,-0.08,-0.21,36.11,3.89,12.58,12.94亿,6.92亿,33.55亿,296.58
72,73,603990,麦迪科技,10.24,-0.78,-0.08,0.1,2.73,1.34,5.33,0.79亿,2.78亿,28.51亿,79.27
73,74,688579,山大地纬,9.3,-0.85,-0.08,0.22,0.95,0.89,2.67,0.35亿,4.00亿,37.20亿,63.07
74,75,002421,达实智能,2.81,-3.1,-0.09,0.0,1.81,1.69,3.1,1.02亿,19.97亿,56.12亿,388.39
75,76,600867,通化东宝,10.09,-0.88,-0.09,0.0,2.09,0.68,1.28,4.19亿,19.82亿,199.96亿,23.29
76,77,603660,苏州科达,6.8,-1.59,-0.11,-0.29,5.27,0.97,4.63,1.78亿,4.94亿,33.61亿,--
