,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,688169,石头科技,463.3,3.88,17.3,0.0,1.04,0.85,5.82,6.28亿,1.31亿,609.13亿,38.19
1,2,603486,科沃斯,57.42,10.0,5.22,0.0,3.24,1.29,11.92,10.10亿,5.69亿,326.83亿,27.79
2,3,300661,圣邦股份,76.66,4.0,2.95,-0.45,1.08,1.58,4.91,3.72亿,4.51亿,345.61亿,165.73
3,4,300866,安克创新,92.49,1.96,1.78,0.1,1.42,0.98,4.63,2.92亿,2.26亿,209.16亿,30.25
4,5,301260,格力博,17.31,11.1,1.73,-0.06,8.24,1.51,13.29,2.93亿,2.12亿,36.74亿,16.3
5,6,688318,财富趋势,126.6,1.31,1.64,0.08,2.84,0.8,3.67,4.68亿,1.31亿,165.43亿,82.4
6,7,300520,科大国创,22.91,6.66,1.43,-0.09,23.82,1.4,10.57,12.76亿,2.33亿,53.40亿,283.36
7,8,003019,宸展光电,29.25,4.99,1.39,0.03,6.23,1.1,7.54,3.00亿,1.64亿,47.86亿,18.33
8,9,301508,中机认检,42.9,2.93,1.22,0.0,19.11,1.24,6.02,3.43亿,0.43亿,18.43亿,89.59
9,10,002444,巨星科技,27.65,4.34,1.15,0.33,2.12,1.46,4.6,6.69亿,11.51亿,318.26亿,20.11
10,11,300844,山水比德,26.44,4.51,1.14,0.0,23.05,1.64,5.3,1.00亿,0.17亿,4.43亿,73.34
11,12,300836,佰奥智能,31.23,3.69,1.11,0.13,12.82,1.23,11.52,1.73亿,0.43亿,13.35亿,30.67
12,13,688228,开普云,48.28,2.31,1.09,0.31,2.47,1.09,4.34,0.80亿,0.68亿,32.60亿,2857.69
13,14,300770,新媒股份,41.5,2.57,1.04,0.31,3.83,2.18,4.94,3.67亿,2.31亿,95.89亿,16.2
14,15,300882,万胜智能,23.54,3.79,0.86,0.04,3.82,2.07,5.29,1.69亿,1.90亿,44.78亿,27.55
15,16,002668,TCL智家,11.35,7.99,0.84,-0.09,6.53,1.25,11.42,7.84亿,10.84亿,123.05亿,13.65
16,17,002987,京北方,17.4,5.07,0.84,0.0,5.24,1.96,6.28,3.83亿,4.28亿,74.50亿,39.55
17,18,301179,泽宇智能,23.74,3.58,0.82,0.08,7.47,1.94,5.54,1.07亿,0.61亿,14.48亿,62.28
18,19,002380,科远智慧,19.0,4.34,0.79,-0.16,8.33,1.44,6.81,2.21亿,1.42亿,26.93亿,26.63
19,20,300033,同花顺,122.33,0.62,0.75,0.0,2.79,1.0,3.25,9.40亿,2.73亿,334.56亿,158.29
20,21,300911,亿田智能,30.7,2.33,0.7,-0.07,3.2,0.98,3.43,0.97亿,1.00亿,30.59亿,180.98
21,22,603860,中公高科,28.53,2.4,0.67,-0.07,11.35,1.38,6.17,2.13亿,0.67亿,19.02亿,--
22,23,300947,德必集团,13.05,5.16,0.64,0.31,14.56,1.07,12.41,1.77亿,0.95亿,12.44亿,56.74
23,24,002339,积成电子,6.92,10.02,0.63,0.0,18.81,2.23,13.99,5.83亿,4.79亿,33.13亿,--
24,25,301315,威士顿,50.62,1.22,0.61,0.08,9.14,1.03,3.88,1.01亿,0.22亿,11.14亿,146.32
25,26,000521,长虹美菱,11.3,5.41,0.58,-0.18,4.12,1.23,10.26,4.02亿,8.75亿,98.91亿,18.71
26,27,301302,华如科技,20.32,2.94,0.58,-0.05,11.83,1.8,12.36,2.10亿,0.87亿,17.59亿,--
27,28,000682,东方电子,11.45,5.14,0.56,0.0,2.66,1.21,6.98,4.02亿,13.41亿,153.50亿,37.85
28,29,300807,天迈科技,25.35,2.18,0.54,-0.32,10.05,0.81,8.67,1.22亿,0.49亿,12.44亿,--
