,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603077,和邦生物,1.97,0.0,0.0,0.0,0.62,1.07,1.52,1.08亿,88.31亿,173.98亿,145.99
1,2,002163,海南发展,6.68,-0.15,-0.01,0.0,0.55,0.72,1.2,0.30亿,8.04亿,53.68亿,--
2,3,002613,北玻股份,3.99,-0.5,-0.02,0.0,1.55,1.0,1.25,0.38亿,6.09亿,24.30亿,21.20
3,4,300057,万顺新材,4.88,-0.41,-0.02,0.0,2.89,0.47,3.06,1.03亿,7.37亿,35.99亿,--
4,5,600819,耀皮玻璃,4.9,-0.81,-0.04,0.0,1.16,0.91,2.23,0.42亿,7.47亿,36.62亿,94.48
5,6,000012,南玻A,5.63,-1.05,-0.06,0.0,0.59,0.84,1.76,0.66亿,19.59亿,110.31亿,13.28
6,7,600293,三峡新材,2.84,-2.07,-0.06,0.0,1.45,0.59,2.41,0.48亿,11.60亿,32.95亿,30.31
7,8,600540,新赛股份,3.99,-1.72,-0.07,-0.25,2.43,1.88,6.9,0.58亿,5.81亿,23.20亿,132.54
8,9,600207,安彩高科,4.46,-2.83,-0.13,0.0,3.65,0.66,4.79,1.72亿,10.51亿,46.85亿,--
9,10,601636,旗滨集团,7.56,-2.07,-0.16,0.0,0.98,0.98,3.24,2.01亿,26.84亿,202.87亿,11.48
10,11,002623,亚玛顿,19.1,-1.14,-0.22,0.05,0.89,0.7,2.9,0.34亿,1.99亿,37.94亿,78.6
11,12,600586,金晶科技,6.43,-3.74,-0.25,0.0,1.96,1.24,4.04,1.83亿,14.29亿,91.87亿,13.47
