,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603727,博迈科,15.4,4.41,0.65,0.0,3.3,1.65,7.46,1.42亿,2.82亿,43.38亿,32.09
1,2,301156,美农生物,16.13,4.07,0.63,-0.06,8.52,3.68,14.84,0.74亿,0.53亿,8.58亿,47.12
2,3,603393,新天然气,34.3,1.54,0.52,0.03,0.94,0.82,2.78,1.21亿,3.76亿,129.01亿,10.95
3,4,601919,中远海控,11.77,3.88,0.44,-0.25,1.77,2.12,5.38,26.54亿,127.58亿,1501.59亿,6.95
4,5,301459,丰茂股份,40.76,0.99,0.4,0.0,4.42,0.75,2.87,0.34亿,0.19亿,7.73亿,22.41
5,6,603036,如通股份,12.13,2.62,0.31,0.0,1.68,1.65,3.38,0.42亿,2.06亿,24.99亿,30.96
6,7,605090,九丰能源,26.28,1.16,0.3,0.0,1.95,0.94,3.12,1.38亿,2.69亿,70.58亿,8.66
7,8,601872,招商轮船,8.53,3.02,0.25,0.0,0.61,1.12,5.43,4.27亿,81.44亿,694.67亿,12.63
8,9,600803,新奥股份,18.06,1.23,0.22,-0.11,0.46,1.01,3.03,2.36亿,28.36亿,512.21亿,12.95
9,10,300191,潜能恒信,14.1,1.37,0.19,-0.07,3.0,0.96,5.82,0.94亿,2.20亿,31.03亿,--
10,11,002532,天山铝业,7.56,1.75,0.13,-0.13,2.55,1.1,5.52,8.05亿,41.30亿,312.23亿,12.21
11,12,002278,神开股份,4.5,2.51,0.11,0.22,7.59,0.72,5.01,1.16亿,3.39亿,15.27亿,--
12,13,300135,宝利国际,3.16,3.27,0.1,-0.32,21.45,3.05,10.13,6.29亿,9.22亿,29.12亿,164.97
13,14,600598,北大荒,13.08,0.69,0.09,0.0,1.1,1.4,1.77,2.58亿,17.78亿,232.52亿,10.48
14,15,002207,准油股份,5.42,1.5,0.08,0.0,7.87,1.17,3.18,1.11亿,2.61亿,14.14亿,--
15,16,000933,神火股份,21.71,0.37,0.08,-0.14,1.5,0.61,2.91,7.36亿,22.38亿,485.97亿,11.20
16,17,600026,中远海能,15.93,0.51,0.08,0.06,1.0,1.22,3.98,5.56亿,34.75亿,553.53亿,15.38
17,18,002583,海能达,4.25,1.92,0.08,0.0,7.54,1.59,4.8,4.09亿,12.82亿,54.48亿,17.21
