,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300925,法本信息,12.25,19.98,2.04,827334.0,961225414.61,19.1,12.25,10.3,10.37,10.21,25.97,35.5,2.54
1,2,300250,初灵信息,13.34,15.3,1.77,427977.0,551592692.98,19.27,13.88,11.65,11.78,11.57,27.15,-72.05,5.0
2,3,603918,金桥信息,9.87,10.03,0.9,307505.0,294827778.0,11.37,9.87,8.85,9.08,8.97,8.4,-33.71,3.44
3,4,000158,常山北明,7.8,10.01,0.71,1996773.0,1468889058.97,15.51,7.8,6.7,7.09,7.09,12.58,-25.59,2.22
4,5,603083,剑桥科技,28.73,9.99,2.61,384412.0,1077003888.0,11.68,28.73,25.68,25.93,26.12,14.5,48.13,3.53
5,6,603189,网达软件,13.76,9.99,1.25,314271.0,420752451.0,11.75,13.76,12.29,12.6,12.51,11.66,308.78,2.46
6,7,837092,汉鑫科技,17.31,9.14,1.45,21876.0,37356391.58,11.85,17.66,15.78,16.29,15.86,6.85,110.6,2.79
7,8,002777,久远银海,13.16,7.08,0.87,253048.0,324762990.76,10.9,13.46,12.12,12.43,12.29,6.26,239.15,3.29
8,9,002261,拓维信息,12.19,7.02,0.8,1272508.0,1495598902.35,12.64,12.5,11.06,11.44,11.39,11.29,2295.32,5.95
9,10,688225,亚信安全,11.21,6.86,0.72,28694.0,32201497.0,13.16,11.85,10.47,10.48,10.49,1.5,-11.67,2.3
10,11,603138,海量数据,12.21,6.17,0.71,130319.0,155896207.0,8.61,12.3,11.31,11.49,11.5,4.6,-74.53,4.31
11,12,300369,绿盟科技,5.41,5.87,0.3,515416.0,270065087.85,10.18,5.5,4.98,5.16,5.11,6.46,-8.49,1.73
12,13,300663,科蓝软件,10.83,5.87,0.6,454582.0,477228854.36,9.58,10.94,9.96,10.18,10.23,10.96,-738.09,4.92
13,14,002771,真视通,17.96,5.83,0.99,403732.0,718100821.4,11.55,18.67,16.71,16.97,16.97,23.13,-135.67,5.75
14,15,300588,熙菱信息,8.51,5.58,0.45,141752.0,117554674.95,6.33,8.54,8.03,8.05,8.06,10.6,-38.57,4.52
15,16,300830,金现代,5.93,5.33,0.3,259087.0,152221428.54,8.35,6.09,5.62,5.62,5.63,8.23,-50.06,2.19
16,17,688111,金山办公,178.51,5.25,8.91,42718.0,746224181.0,6.72,180.5,169.1,170.08,169.6,0.92,57.22,7.93
17,18,300634,彩讯股份,14.26,5.24,0.71,223372.0,311915641.0,7.31,14.34,13.35,13.56,13.55,5.18,27.05,2.45
18,19,300678,中科信息,21.72,5.23,1.08,97759.0,208466696.8,8.09,22.09,20.42,20.8,20.64,3.42,645.24,7.54
19,20,002213,大为股份,9.53,5.07,0.46,58255.0,54494917.3,6.39,9.63,9.05,9.11,9.07,2.47,-110.33,3.77
20,21,688083,中望软件,63.68,4.81,2.92,6579.0,41073052.0,7.37,64.49,60.01,61.3,60.76,0.54,646.28,2.97
21,22,002819,东方中科,23.53,4.39,0.99,97060.0,223209212.0,5.99,23.53,22.18,22.61,22.54,4.13,-67.59,1.7
22,23,301380,挖金客,32.4,4.31,1.34,14469.0,46092324.0,6.28,32.59,30.64,31.34,31.06,4.8,43.12,3.31
23,24,600839,四川长虹,5.13,4.27,0.21,2971495.0,1500997788.0,6.91,5.17,4.83,4.93,4.92,6.44,42.22,1.65
24,25,603019,中科曙光,35.97,4.2,1.45,312971.0,1107585245.0,6.66,36.54,34.24,34.52,34.52,2.15,46.73,2.77
25,26,688244,永信至诚,21.96,4.17,0.88,3513.0,7556944.0,5.65,22.2,21.01,21.13,21.08,0.73,-60.79,2.25
26,27,300895,铜牛信息,25.06,3.98,0.96,21624.0,53299453.43,5.06,25.1,23.88,24.34,24.1,1.56,-44.02,3.8
27,28,301236,软通动力,33.5,3.88,1.25,370446.0,1218376774.89,6.33,33.73,31.69,32.43,32.25,5.45,-103.43,3.11
28,29,000034,神州数码,25.24,3.87,0.94,316153.0,784368851.31,6.05,25.39,23.92,24.31,24.3,5.74,16.59,1.88
29,30,000004,国华网安,12.17,3.84,0.45,194498.0,235351291.92,6.4,12.4,11.65,11.73,11.72,15.4,-42.39,9.12
30,31,300659,中孚信息,12.4,3.77,0.45,38337.0,46580627.0,5.86,12.4,11.7,11.96,11.95,2.47,-12.39,2.4
31,32,835207,众诚科技,6.66,3.74,0.24,14171.0,9302470.96,5.45,6.72,6.37,6.46,6.42,2.54,-15.34,2.01
32,33,600850,电科数字,17.5,3.61,0.61,82311.0,142047084.0,4.8,17.63,16.82,16.95,16.89,1.35,45.23,2.77
33,34,300520,科大国创,14.35,3.61,0.5,68146.0,96222431.66,5.78,14.48,13.68,13.88,13.85,2.46,-106.11,2.24
