,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002622,皓宸医疗,1.72,10.26,0.16,137880,23715428.8,0.0,1.72,1.72,1.72,1.56,1.64,1305.18,3.32
1,2,600467,好当家,1.64,10.07,0.15,727460,116203569.0,10.07,1.64,1.49,1.49,1.49,4.98,44.4,0.71
2,3,000566,海南海药,4.08,9.97,0.37,162253,66199224.0,0.0,4.08,4.08,4.08,3.71,1.39,-13.21,2.84
3,4,000931,中 关 村,4.21,9.92,0.38,99766,41967344.95,2.35,4.21,4.12,4.18,3.83,1.34,43.57,2.02
4,5,605016,百龙创园,17.67,5.3,0.89,21376,37138334.0,6.2,17.69,16.65,16.78,16.78,0.66,23.87,3.64
5,6,301320,豪江智能,13.53,3.84,0.5,44878,60048401.24,5.07,13.67,13.01,13.15,13.03,6.63,48.64,2.37
6,7,000633,合金投资,4.56,3.17,0.14,274667,125551525.0,13.57,4.84,4.24,4.42,4.42,7.13,276.55,9.67
7,8,600272,开开实业,10.27,2.7,0.27,242494,248870026.0,7.8,10.68,9.9,10.25,10.0,15.16,40.24,4.06
8,9,000955,欣龙控股,3.13,2.29,0.07,263285,83802453.9,8.5,3.33,3.07,3.08,3.06,4.89,-68.1,2.58
9,10,002172,澳洋健康,2.6,1.96,0.05,771365,205256957.35,8.24,2.77,2.56,2.62,2.55,10.08,26.67,15.17
10,11,603000,人民网,17.99,1.81,0.32,120605,214151132.0,4.3,18.13,17.37,17.7,17.67,1.09,622.28,5.6
11,12,600718,东软集团,8.49,1.8,0.15,115477,96972055.0,3.24,8.53,8.26,8.34,8.34,0.96,51.99,1.11
12,13,002166,莱茵生物,6.85,1.63,0.11,79463,53738627.24,2.67,6.86,6.68,6.74,6.74,1.55,39.16,1.69
13,14,300168,万达信息,5.21,1.56,0.08,183107,93889565.0,3.9,5.24,5.04,5.13,5.13,1.27,-10.27,3.83
14,15,300300,ST峡创,1.46,1.39,0.02,233515,33477005.32,3.47,1.46,1.41,1.44,1.44,3.5,-17.22,6.12
15,16,600774,汉商集团,6.57,1.23,0.08,39315,25488388.0,3.24,6.59,6.38,6.46,6.49,1.33,113.88,1.15
16,17,300246,宝莱特,6.36,1.11,0.07,90545,57388349.46,4.13,6.45,6.19,6.23,6.29,4.29,-334.53,1.36
17,18,002223,鱼跃医疗,31.45,1.06,0.33,70852,221728033.55,1.86,31.54,30.96,31.15,31.12,0.75,14.07,2.6
18,19,002105,信隆健康,4.04,1.0,0.04,29500,11811911.0,2.25,4.05,3.96,4.04,4.0,0.81,113.92,1.65
