,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301082,久盛电气,15.42,11.34,1.57,0.26,22.16,1.24,20.94,2.24亿,0.68亿,10.48亿,97.45
1,2,600501,航天晨光,17.13,10.02,1.56,0.0,16.2,2.91,11.43,11.35亿,4.25亿,72.73亿,--
2,3,001332,锡装股份,27.17,2.14,0.57,-0.18,4.93,1.14,5.56,0.36亿,0.27亿,7.34亿,18.73
3,4,000537,中绿电,10.69,4.8,0.49,0.0,2.08,1.52,7.94,4.11亿,18.63亿,199.10亿,33.06
4,5,002380,科远智慧,18.81,1.29,0.24,0.11,2.6,0.76,2.75,0.69亿,1.42亿,26.66亿,26.37
5,6,300112,万讯自控,7.7,2.39,0.18,0.26,1.56,1.18,2.26,0.28亿,2.38亿,18.30亿,--
6,7,002921,联诚精密,11.23,1.35,0.15,-0.27,1.61,1.07,2.08,0.20亿,1.11亿,12.42亿,--
7,8,002272,川润股份,5.37,2.09,0.11,-0.19,8.99,0.58,9.13,1.64亿,3.35亿,18.00亿,--
8,9,300402,宝色股份,15.87,0.44,0.07,-0.06,2.7,0.59,2.79,1.05亿,2.44亿,38.66亿,52.58
9,10,600444,国机通用,12.91,0.23,0.03,0.0,0.9,0.69,1.4,0.17亿,1.46亿,18.90亿,47.47
10,11,002469,三维化学,6.02,0.50,0.03,0.17,1.25,0.77,1.00,0.46亿,6.15亿,37.04亿,16.96
11,12,300091,金通灵,1.63,1.88,0.03,0.00,1.19,1.22,3.12,0.26亿,13.36亿,21.77亿,--
12,13,300217,东方电热,4.17,0.48,0.02,0.00,0.64,0.89,1.45,0.33亿,12.27亿,51.16亿,17.97
13,14,002564,*ST天沃,4.20,0.24,0.01,-0.24,1.80,0.80,1.67,0.65亿,8.58亿,36.05亿,60.72
14,15,000413,东旭光电,--,--,--,--,--,--,--,--,50.29亿,71.92亿,--
15,16,002140,东华科技,8.57,-0.12,-0.01,0.00,0.55,0.84,1.05,0.25亿,5.40亿,46.31亿,12.46
16,17,002478,常宝股份,5.59,-0.36,-0.02,-0.18,0.99,0.82,0.89,0.39亿,7.12亿,39.81亿,7.59
17,18,002630,华西能源,2.55,-1.16,-0.03,-0.39,2.40,0.74,3.49,0.66亿,10.60亿,27.03亿,16.17
18,19,002088,鲁阳节能,14.17,-0.28,-0.04,-0.07,0.30,0.77,1.13,0.22亿,5.04亿,71.46亿,21.99
19,20,002665,ST航高,0.91,-5.21,-0.05,0.00,0.22,0.14,0.00,0.05亿,24.64亿,22.43亿,--
20,21,603878,武进不锈,8.61,-0.81,-0.07,-0.46,0.67,0.96,2.42,0.33亿,5.61亿,48.31亿,17.75
21,22,603169,兰石重装,5.11,-1.54,-0.08,0.0,0.74,0.84,2.12,0.50亿,13.06亿,66.75亿,50.39
22,23,601798,蓝科高新,5.59,-1.58,-0.09,0.0,1.79,1.3,1.41,0.36亿,3.55亿,19.82亿,--
23,24,600379,宝光股份,9.2,-0.97,-0.09,-0.22,1.07,0.68,2.37,0.33亿,3.30亿,30.38亿,47.05
24,25,600481,双良节能,6.03,-1.95,-0.12,0.17,0.98,0.69,2.11,1.11亿,18.71亿,112.80亿,--
25,26,600207,安彩高科,4.46,-2.83,-0.13,0.0,3.65,0.66,4.79,1.72亿,10.51亿,46.85亿,--
26,27,603126,中材节能,6.09,-3.03,-0.19,0.0,2.82,1.74,2.23,1.05亿,6.11亿,37.18亿,34.79
27,28,831304,迪尔化工,6.65,-2.78,-0.19,0.0,3.02,0.93,3.22,0.13亿,0.64亿,4.28亿,11.88
28,29,600875,东方电气,18.38,-1.08,-0.2,-0.05,0.78,0.5,2.53,2.92亿,20.23亿,371.88亿,15.82
29,30,603507,振江股份,31.85,-0.78,-0.25,0.03,2.0,0.83,3.12,0.92亿,1.42亿,45.24亿,17.86
30,31,600876,凯盛新能,11.52,-2.21,-0.26,0.0,0.89,0.71,3.06,0.40亿,3.82亿,44.06亿,--
31,32,688663,新风光,25.64,-1.42,-0.37,-0.12,1.58,1.05,2.77,0.57亿,1.40亿,35.88亿,22.73
32,33,301046,能辉科技,22.44,-1.71,-0.39,0.0,7.72,0.63,3.42,1.01亿,0.59亿,13.24亿,84.34
33,34,002534,西子洁能,11.31,-3.99,-0.47,0.0,1.5,1.32,3.9,1.25亿,7.31亿,82.66亿,8.11
34,35,300881,盛德鑫泰,26.41,-4.52,-1.25,-0.08,6.63,1.06,5.21,1.02亿,0.57亿,15.16亿,14.59
