,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300590,移为通信,10.39,3.18,0.32,60056,61438236.79,4.47,10.43,9.98,10.11,10.07,1.7,24.18,2.66
1,2,600818,中路股份,12.91,2.46,0.31,111531,142793347.0,4.21,13.06,12.53,12.74,12.6,4.69,834.47,6.79
2,3,603529,爱玛科技,32.02,2.33,0.73,52997,167443864.0,3.64,32.2,31.06,31.29,31.29,0.63,14.51,3.49
3,4,603776,永安行,9.85,1.65,0.16,24796,24191340.0,2.37,9.86,9.63,9.63,9.69,1.08,-144.85,0.78
4,5,002298,中电兴发,3.7,1.65,0.06,120711,43807971.28,4.12,3.71,3.56,3.64,3.64,1.85,-4.11,0.84
5,6,301608,博实结,50.6,1.65,0.82,19152,95968792.53,2.61,50.7,49.4,49.91,49.78,11.33,24.87,2.27
6,7,002105,信隆健康,4.04,1.0,0.04,29500,11811911.0,2.25,4.05,3.96,4.04,4.0,0.81,113.92,1.65
7,8,002605,姚记科技,20.35,0.99,0.2,58509,117725429.0,4.12,20.63,19.8,20.32,20.15,1.76,14.82,2.65
8,9,300317,珈伟新能,3.18,0.95,0.03,88318,27844681.0,3.17,3.2,3.1,3.14,3.15,1.07,-30.2,1.45
9,10,002056,横店东磁,11.83,0.42,0.05,59779,70226590.3,2.55,11.9,11.6,11.79,11.78,0.37,15.06,2.16
10,11,600679,上海凤凰,9.53,0.42,0.04,153220,149442094.0,4.95,10.0,9.53,10.0,9.49,4.53,60.47,2.22
11,12,000572,海马汽车,3.07,0.33,0.01,193332,58669918.0,2.61,3.08,3.0,3.07,3.06,1.18,-16.65,2.89
12,13,000800,一汽解放,7.62,0.13,0.01,55469,41939984.34,1.97,7.64,7.49,7.59,7.61,0.12,36.84,1.45
13,14,603489,八方股份,17.88,0.0,0.0,12299,21745694.0,2.96,17.96,17.43,17.82,17.88,0.52,41.48,1.6
14,15,300198,纳川股份,1.36,0.0,0.0,263428,35627608.0,3.68,1.38,1.33,1.36,1.36,2.57,-18.16,1.96
15,16,601777,力帆科技,3.86,-0.26,-0.01,177186,67613779.0,2.58,3.87,3.77,3.86,3.87,0.39,333.12,1.66
16,17,600754,锦江酒店,23.17,-2.32,-0.55,79148,182996537.0,3.67,23.7,22.83,23.66,23.72,0.87,14.63,1.46
17,18,002285,世联行,1.82,-2.67,-0.05,607921,110812948.0,4.81,1.88,1.79,1.87,1.87,3.08,119.43,1.19
