,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002611,东方精工,14.16,10.02,1.29,179305,253895851.68,0.0,14.16,14.16,14.16,12.87,1.8,39.23,3.57
1,2,600410,华胜天成,6.92,10.02,0.63,2650111,1798323269.0,7.63,6.92,6.44,6.74,6.29,24.17,-26.59,1.86
2,3,000801,四川九洲,19.48,9.99,1.77,3054979,5730450150.65,13.5,19.48,17.09,18.2,17.71,29.87,124.7,6.69
3,4,601606,长城军工,13.65,9.99,1.24,582508,776123135.0,11.04,13.65,12.28,12.38,12.41,8.04,-97.42,3.92
4,5,300875,捷强装备,39.0,7.35,2.67,179575,690432523.2,20.59,42.98,35.5,36.1,36.33,26.96,-310.02,3.13
5,6,000561,烽火电子,9.78,4.49,0.42,458071,452722405.62,10.58,10.24,9.25,9.26,9.36,7.61,-75.58,3.23
6,7,871642,通易航天,15.76,3.55,0.54,144378,233114437.43,19.65,17.99,15.0,15.23,15.22,14.34,-93.5,7.18
7,8,600736,苏州高新,7.24,2.99,0.21,1922392,1424016928.0,8.53,7.72,7.12,7.29,7.03,16.7,26.38,1.12
8,9,000519,中兵红箭,15.5,2.85,0.43,782195,1228617810.96,11.28,16.58,14.88,15.18,15.07,5.62,-268.9,2.09
9,10,300581,晨曦航空,13.31,1.99,0.26,472811,634345802.1,11.72,14.2,12.67,12.93,13.05,8.59,-221.03,7.31
10,11,688685,迈信林,39.0,1.96,0.75,49950,198618095.0,8.13,41.26,38.15,38.15,38.25,3.43,117.15,7.86
11,12,002497,雅化集团,12.14,1.85,0.22,853364,1055251200.93,7.3,12.68,11.81,11.83,11.92,8.1,67.87,1.34
12,13,002246,北化股份,12.99,1.8,0.23,462975,609530249.7,7.21,13.55,12.63,12.7,12.76,8.43,-114.94,2.54
13,14,300397,天和防务,13.18,1.7,0.22,452009,609100486.8,13.19,14.34,12.63,12.91,12.96,11.15,-80.24,4.32
14,15,002065,东华软件,8.3,1.59,0.13,3346051,2849975484.86,12.61,8.98,7.95,8.05,8.17,11.51,40.73,2.25
15,16,300922,天秦装备,16.0,1.39,0.22,154982,253864925.55,13.05,17.32,15.26,15.75,15.78,13.47,69.04,2.84
16,17,300008,天海防务,5.32,0.95,0.05,1706124,927356651.54,9.49,5.68,5.18,5.24,5.27,10.36,89.95,4.54
17,18,002303,美盈森,3.75,0.81,0.03,1890465,707448897.48,8.06,3.91,3.61,3.73,3.72,23.81,19.69,1.3
18,19,688282,*ST导航,29.44,-0.24,-0.07,10950,32827290.0,3.93,30.46,29.3,29.51,29.51,3.0,-58.72,2.07
19,20,300103,达刚控股,7.23,-0.28,-0.02,135485,99543638.5,5.38,7.53,7.14,7.28,7.25,4.27,-62.34,3.82
20,21,002389,航天彩虹,19.65,-0.46,-0.09,378080,755889572.83,4.86,20.5,19.54,19.78,19.74,3.82,2381.97,2.45
21,22,002171,楚江新材,7.96,-0.75,-0.06,755788,614701124.07,5.61,8.37,7.92,7.95,8.02,5.83,487.36,1.66
22,23,603338,浙江鼎力,54.0,-0.75,-0.41,98830,542875793.0,3.4,55.55,53.7,54.43,54.41,1.95,14.04,2.77
23,24,688543,国科军工,51.3,-1.12,-0.58,51755,273695567.0,7.58,54.6,50.67,51.89,51.88,6.34,45.3,4.04
24,25,300722,新余国科,29.52,-1.17,-0.35,129189,391537675.09,9.54,31.76,28.91,29.87,29.87,4.67,93.19,13.2
25,26,600760,中航沈飞,49.4,-1.26,-0.63,430620,2164183266.0,4.92,51.47,49.01,49.63,50.03,1.57,56.17,8.53
26,27,601718,际华集团,2.95,-1.34,-0.04,852802,258138082.0,6.02,3.12,2.94,3.02,2.99,1.94,-219.9,0.77
27,28,002625,光启技术,39.4,-1.4,-0.56,733857,2970518432.22,4.93,41.33,39.36,40.16,39.96,4.13,118.55,9.66
28,29,300516,久之洋,35.86,-1.46,-0.53,40574,149834232.5,6.54,37.96,35.58,36.39,36.39,2.25,240.28,5.06
29,30,001696,宗申动力,26.92,-1.46,-0.4,1798774,4802642513.45,12.85,28.88,25.37,26.8,27.32,20.18,59.1,6.27
30,31,300527,中船应急,8.96,-1.54,-0.14,434404,401082792.65,7.91,9.59,8.87,9.07,9.1,4.51,1283.07,3.3
31,32,688511,天微电子,19.99,-1.58,-0.32,24895,49800087.0,2.31,20.35,19.88,20.28,20.31,2.41,246.97,2.46
32,33,300488,恒锋工具,24.12,-1.67,-0.41,20524,49797915.65,2.61,24.65,24.01,24.48,24.53,1.5,31.01,3.0
33,34,300589,江龙船艇,12.94,-1.67,-0.22,103350,136791915.01,5.85,13.58,12.81,13.2,13.16,4.46,151.33,5.84
34,35,600353,旭光电子,8.53,-1.73,-0.15,653285,583707030.0,7.95,9.19,8.5,8.8,8.68,7.88,65.78,3.95
35,36,002436,兴森科技,12.1,-1.79,-0.22,1401190,1766556198.87,7.22,12.99,12.1,12.55,12.32,9.34,-485.19,4.04
36,37,002564,*ST天沃,4.28,-1.83,-0.08,195670,85558554.4,5.05,4.48,4.26,4.37,4.36,2.28,502.43,30.66
37,38,300420,五洋自控,3.2,-1.84,-0.06,574320,189643147.4,7.98,3.45,3.19,3.25,3.26,5.14,-218.59,1.49
38,39,000409,云鼎科技,9.35,-1.89,-0.18,693844,672604214.9,7.14,9.98,9.3,9.69,9.53,16.39,58.88,4.22
39,40,300775,三角防务,25.16,-1.91,-0.49,204565,526119876.11,6.71,26.58,24.86,25.7,25.65,3.84,46.58,2.5
40,41,300719,安达维尔,19.42,-1.92,-0.38,146393,288542854.0,6.21,20.28,19.05,19.6,19.8,8.15,701.4,4.74
41,42,002361,神剑股份,4.02,-1.95,-0.08,262988,107758143.66,3.9,4.17,4.01,4.1,4.1,3.28,98.18,1.72
42,43,000599,青岛双星,4.92,-1.99,-0.1,289336,146457809.68,5.78,5.2,4.91,5.04,5.02,3.54,-16.65,2.32
43,44,600764,中国海防,27.53,-1.99,-0.56,69233,193489225.0,4.24,28.52,27.33,28.1,28.09,0.97,98.43,2.41
44,45,002985,北摩高科,23.4,-2.01,-0.48,43939,104930667.16,4.23,24.38,23.37,23.93,23.88,2.12,69.96,3.05
45,46,600343,航天动力,11.89,-2.14,-0.26,339750,412834000.0,5.27,12.47,11.83,12.19,12.15,5.32,-68.35,4.84
46,47,002352,顺丰控股,41.16,-2.26,-0.95,207380,865315909.99,3.06,42.4,41.11,42.12,42.11,0.43,19.52,2.36
47,48,601890,亚星锚链,7.88,-2.35,-0.19,199005,160271661.0,3.84,8.17,7.86,8.1,8.07,2.07,29.35,2.13
48,49,002829,星网宇达,21.65,-2.48,-0.55,277791,613331745.11,5.23,22.81,21.65,21.89,22.2,19.4,-140.69,2.36
49,50,300600,ST瑞科,7.03,-2.5,-0.18,43604,31480725.4,4.44,7.32,7.0,7.24,7.21,1.77,-65.43,2.24
50,51,000886,海南高速,6.02,-2.59,-0.16,303352,187971316.5,4.85,6.32,6.02,6.16,6.18,3.1,111.65,1.96
51,52,600031,三一重工,17.28,-2.59,-0.46,533958,938006150.0,3.27,17.85,17.27,17.74,17.74,0.63,22.56,2.07
52,53,688563,航材股份,56.85,-2.6,-1.52,11539,66750224.0,3.34,58.8,56.85,58.37,58.37,1.0,44.01,2.5
53,54,000955,欣龙控股,4.35,-2.68,-0.12,89459,39511756.8,4.03,4.51,4.33,4.49,4.47,1.66,-126.67,3.6
54,55,600100,同方股份,7.35,-2.78,-0.21,949815,724487142.0,7.14,7.87,7.33,7.59,7.56,2.84,247.37,1.63
55,56,688081,兴图新科,13.4,-2.83,-0.39,13791,18957935.0,5.08,14.02,13.32,13.87,13.79,1.34,-24.47,2.91
56,57,603978,深圳新星,17.33,-2.86,-0.51,63195,111456442.0,5.1,18.03,17.12,17.84,17.84,2.99,-27.95,1.98
57,58,600967,内蒙一机,7.81,-2.86,-0.23,161633,128315592.0,2.99,8.04,7.8,8.04,8.04,0.95,27.41,1.15
58,59,600482,XD中国动,22.98,-2.87,-0.68,281964,655950662.0,3.0,23.57,22.86,23.56,23.66,1.25,52.21,1.34
59,60,600463,空港股份,12.26,-2.93,-0.37,49090,61146351.0,3.8,12.71,12.23,12.62,12.63,1.64,-45.66,3.58
60,61,600372,中航机载,12.52,-2.95,-0.38,313297,398666657.0,3.18,12.92,12.51,12.9,12.9,0.66,37.77,1.64
61,62,600151,航天机电,8.85,-2.96,-0.27,273789,246555059.0,4.28,9.2,8.81,9.1,9.12,1.91,-237.21,2.58
62,63,002519,银河电子,5.78,-3.02,-0.18,424991,252298530.4,5.03,6.06,5.76,5.96,5.96,3.8,34.4,2.03
