,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301550,斯菱股份,37.71,2.75,1.01,0.0,14.34,0.87,6.0,1.49亿,0.28亿,10.37亿,22.05
1,2,603090,宏盛股份,21.2,2.52,0.52,0.0,1.39,1.49,3.14,0.29亿,1.00亿,21.20亿,33.37
2,3,872895,花溪科技,8.05,5.5,0.42,0.0,9.16,2.66,8.13,0.14亿,0.19亿,1.50亿,56.32
3,4,301459,丰茂股份,40.76,0.99,0.4,0.0,4.42,0.75,2.87,0.34亿,0.19亿,7.73亿,22.41
4,5,871263,莱赛激光,12.0,2.56,0.3,0.0,6.87,1.52,4.36,0.18亿,0.22亿,2.61亿,95.41
5,6,830896,旺成科技,8.0,3.63,0.28,0.0,5.53,1.4,7.38,0.11亿,0.25亿,2.04亿,26.7
6,7,002420,毅昌科技,5.8,4.69,0.26,0.0,10.64,1.68,7.94,2.43亿,4.01亿,23.24亿,10.78
7,8,600031,三一重工,16.31,1.18,0.19,-0.06,0.91,1.04,3.6,12.49亿,84.64亿,1380.51亿,21.9
8,9,003033,征和工业,25.26,0.72,0.18,0.36,1.55,1.41,2.07,0.32亿,0.81亿,20.38亿,19.19
9,10,000528,柳工,10.54,1.35,0.14,0.19,5.33,1.14,5.67,8.00亿,14.26亿,150.29亿,10.39
10,11,301058,中粮科工,10.4,1.27,0.13,0.1,8.12,0.78,4.19,1.71亿,2.03亿,21.16亿,38.77
11,12,301032,新柴股份,7.89,1.54,0.12,0.13,6.33,0.72,3.35,0.41亿,0.83亿,6.52亿,37.17
12,13,300879,大叶股份,14.27,0.85,0.12,-0.07,2.79,0.87,3.67,0.62亿,1.59亿,22.66亿,12.55
13,14,601177,杭齿前进,8.15,1.49,0.12,0.12,1.25,1.32,3.24,0.40亿,4.00亿,32.60亿,15.57
14,15,002890,弘宇股份,12.43,0.65,0.08,-0.24,0.79,0.9,2.43,0.12亿,1.24亿,15.44亿,76.55
15,16,870508,丰安股份,8.92,0.91,0.08,0.0,1.3,0.54,2.83,0.03亿,0.26亿,2.33亿,14.44
16,17,000570,苏常柴A,5.07,1.4,0.07,0.2,2.99,1.84,3.2,0.76亿,4.99亿,25.29亿,27.62
17,18,603701,德宏股份,10.58,0.57,0.06,-0.09,1.09,1.02,2.85,0.30亿,2.61亿,27.65亿,97.05
18,19,603949,雪龙集团,14.94,0.4,0.06,0.0,1.02,1.3,2.69,0.32亿,2.10亿,31.40亿,41.69
19,20,601038,一拖股份,18.04,0.28,0.05,-0.11,1.02,0.65,2.89,1.35亿,7.32亿,132.00亿,8.46
20,21,002448,中原内配,6.61,0.76,0.05,0.00,3.02,1.00,3.05,0.98亿,4.87亿,32.18亿,10.94
21,22,832786,骑士乳业,5.37,0.94,0.05,0.00,2.65,1.72,2.82,0.14亿,0.96亿,5.13亿,16.15
22,23,600099,林海股份,7.86,0.26,0.02,0.38,1.61,0.96,2.68,0.28亿,2.19亿,17.22亿,214.84
23,24,301446,福事特,23.42,0.09,0.02,-0.04,4.99,0.81,1.79,0.23亿,0.20亿,4.68亿,25.68
24,25,000157,中联重科,8.51,0.12,0.01,-0.23,1.14,1.39,3.18,6.80亿,70.71亿,601.70亿,20.16
25,26,603766,隆鑫通用,6.49,0.15,0.01,-0.15,1.01,0.80,1.70,1.34亿,20.54亿,133.28亿,12.94
26,27,830964,润农节水,3.03,0.00,0.00,0.00,0.77,0.96,1.65,0.04亿,1.79亿,5.44亿,22.48
27,28,603879,永悦科技,--,--,--,--,--,--,--,--,3.59亿,18.29亿,--
28,29,603029,天鹅股份,16.08,-0.12,-0.02,-0.06,2.69,1.21,2.86,0.52亿,1.21亿,19.51亿,69.87
29,30,002383,合众思壮,6.55,-0.46,-0.03,-0.15,2.30,0.92,4.41,0.94亿,6.16亿,40.36亿,--
30,31,000903,云内动力,2.19,-1.79,-0.04,0.0,2.48,1.21,4.48,1.05亿,19.20亿,42.05亿,--
