,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000712,锦龙股份,19.72,9.98,1.79,2124341,3941064918.14,16.4,19.72,16.78,17.3,17.93,23.73,-138.1,7.39
1,2,002670,国盛金控,12.8,9.97,1.16,1209864,1521408657.1,10.31,12.8,11.6,11.6,11.64,7.45,223.5,2.25
2,3,300033,同花顺,335.67,9.69,29.66,366859,12126223268.9,18.92,362.9,305.0,305.0,306.01,13.41,207.91,26.61
3,4,300803,指南针,99.7,7.66,7.09,420736,4175410381.9,15.59,107.44,93.0,93.0,92.61,10.4,-278.49,22.38
4,5,601099,太平洋,4.61,6.22,0.27,8692503,4007217054.0,10.6,4.77,4.31,4.32,4.34,12.75,172.95,3.27
5,6,300059,东方财富,27.26,5.74,1.48,13252220,36130428074.48,12.02,28.88,25.78,25.78,25.78,9.92,53.42,5.59
6,7,600446,金证股份,17.49,4.42,0.74,544352,939302802.0,8.78,17.99,16.52,16.55,16.75,5.75,-107.52,4.44
7,8,000750,国海证券,4.63,3.81,0.17,3016278,1397584239.23,9.42,4.84,4.42,4.44,4.46,5.2,120.4,1.36
8,9,601878,浙商证券,12.69,3.76,0.46,2014791,2549375084.0,5.72,12.97,12.27,12.3,12.23,4.41,34.41,1.7
9,10,002945,华林证券,14.91,3.11,0.45,421177,627793856.15,7.54,15.46,14.37,14.39,14.46,1.56,99.94,6.08
10,11,600030,中信证券,30.75,2.95,0.88,2932909,9039101215.0,7.13,31.88,29.75,29.88,29.87,2.41,20.35,1.75
11,12,601456,国联证券,12.24,2.77,0.33,545604,664549548.0,5.04,12.42,11.82,11.92,11.91,2.28,65.67,1.89
12,13,601696,中银证券,11.58,2.66,0.3,731163,847097962.0,5.85,11.88,11.22,11.28,11.28,2.63,36.52,1.81
13,14,002673,西部证券,9.03,2.61,0.23,1489595,1340143547.11,6.59,9.29,8.71,8.75,8.8,3.63,41.54,1.43
14,15,002797,第一创业,8.92,2.53,0.22,3691150,3283286002.61,8.28,9.26,8.54,8.57,8.7,8.78,43.85,2.4
15,16,000783,长江证券,6.98,2.5,0.17,934478,652069254.94,4.99,7.13,6.79,6.8,6.81,1.69,20.19,1.16
16,17,600109,国金证券,9.11,2.47,0.22,654524,594971204.0,4.61,9.27,8.86,8.88,8.89,2.05,28.38,1.03
17,18,002926,华西证券,8.84,2.43,0.21,496365,435101798.46,4.52,8.92,8.53,8.63,8.63,1.89,68.49,1.01
18,19,601990,南京证券,9.04,2.38,0.21,801055,724075921.0,5.55,9.26,8.77,8.79,8.83,2.19,35.91,1.91
