,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002310,*ST东园,1.44,3.6,0.05,646422,92076886.49,5.04,1.45,1.38,1.43,1.39,2.41,-1.7,-2.91
1,2,300647,超频三,5.33,3.29,0.17,315974,165942884.6,6.78,5.38,5.03,5.17,5.16,6.92,-67.91,2.51
2,3,603335,迪生力,4.03,1.77,0.07,26201,10474395.0,2.27,4.04,3.95,3.96,3.96,0.61,-31.37,4.48
3,4,002347,泰尔股份,3.6,1.69,0.06,75546,26851695.0,2.82,3.6,3.5,3.56,3.54,1.53,-91.62,1.54
4,5,603088,宁波精达,6.04,1.34,0.08,34490,20600946.0,2.52,6.05,5.9,6.0,5.96,0.79,15.09,3.83
5,6,002733,雄韬股份,10.82,1.22,0.13,23699,25295804.0,2.71,10.84,10.55,10.65,10.69,0.64,28.94,1.56
6,7,300422,博世科,3.82,1.06,0.04,53604,20380407.14,2.12,3.84,3.76,3.78,3.78,1.28,38.78,0.97
7,8,301152,天力锂能,25.45,1.03,0.26,21538,54500682.4,2.66,25.56,24.89,25.19,25.19,2.87,-19.06,1.71
8,9,002741,光华科技,11.16,1.0,0.11,37609,41680469.0,2.99,11.26,10.93,11.06,11.05,1.04,207.63,3.28
9,10,002353,杰瑞股份,26.7,0.83,0.22,68506,180711153.52,2.95,26.84,26.06,26.49,26.48,0.99,12.56,1.38
10,11,603569,长久物流,6.3,0.8,0.05,46097,28797492.0,2.24,6.31,6.17,6.3,6.25,0.76,36.16,1.33
11,12,300409,道氏技术,9.33,0.43,0.04,84401,77964783.2,2.91,9.37,9.1,9.3,9.29,1.73,24.52,0.99
12,13,600549,厦门钨业,16.57,0.42,0.07,87273,143737120.0,2.36,16.64,16.25,16.55,16.5,0.62,11.56,2.02
13,14,002009,天奇股份,10.58,0.38,0.04,54310,56969491.0,3.04,10.66,10.34,10.58,10.54,1.36,-27.1,2.04
14,15,300618,寒锐钴业,21.88,0.27,0.06,26044,56400956.0,2.66,21.99,21.41,21.85,21.82,0.96,54.02,1.28
15,16,002455,百川股份,6.75,0.0,0.0,120015,80543248.61,2.96,6.81,6.61,6.8,6.75,2.36,19.69,2.28
16,17,300837,浙矿股份,17.53,-0.06,-0.01,6415,11217929.0,1.77,17.66,17.35,17.64,17.54,0.91,10.78,1.29
17,18,601311,骆驼股份,7.44,-0.13,-0.01,78141,57777167.0,2.42,7.5,7.32,7.45,7.45,0.67,13.91,0.91
18,19,002074,国轩高科,18.29,-0.22,-0.04,86748,157360185.7,2.78,18.44,17.93,18.34,18.33,0.65,60.42,1.33
19,20,002034,旺能环境,13.4,-0.3,-0.04,16430,21914747.0,2.9,13.57,13.18,13.44,13.44,0.38,7.93,0.89
20,21,002266,浙富控股,2.74,-0.36,-0.01,207623,56321114.92,3.64,2.77,2.67,2.75,2.75,0.42,14.75,1.31
21,22,601238,广汽集团,7.3,-0.41,-0.03,72648,52952013.0,1.91,7.37,7.23,7.32,7.33,0.1,25.01,0.65
22,23,838030,德众汽车,3.52,-0.56,-0.02,27742,9739004.88,4.24,3.6,3.45,3.52,3.54,2.84,138.4,1.35
23,24,301219,腾远钴业,34.55,-0.69,-0.24,19472,66869498.57,2.93,34.92,33.9,34.8,34.79,1.16,11.93,1.2
24,25,001283,豪鹏科技,33.61,-0.86,-0.29,9243,31268460.4,2.89,34.28,33.3,34.1,33.9,1.6,50.31,1.25
25,26,603799,华友钴业,22.04,-0.99,-0.22,197376,433674049.0,2.92,22.37,21.72,22.26,22.26,1.17,11.19,1.13
26,27,301358,湖南裕能,26.42,-1.01,-0.27,32091,84427282.83,3.11,26.79,25.96,26.79,26.69,0.84,25.7,1.76
27,28,002340,格林美,5.6,-1.23,-0.07,557880,310429915.48,3.7,5.7,5.49,5.67,5.67,1.1,20.48,1.47
28,29,300919,中伟股份,28.59,-1.24,-0.36,36238,103333173.77,3.63,29.2,28.15,28.8,28.95,0.4,15.5,1.34
29,30,002460,赣锋锂业,25.31,-1.52,-0.39,193840,488714490.14,3.85,25.89,24.9,25.87,25.7,1.6,-33.57,1.15
30,31,002709,天赐材料,13.65,-1.59,-0.22,155879,212706328.3,3.32,13.96,13.5,13.88,13.87,1.13,55.13,2.04
31,32,301049,超越科技,19.49,-2.01,-0.4,34234,66202971.24,3.97,19.88,19.09,19.7,19.89,3.63,-47.33,2.5
32,33,000546,金圆股份,4.32,-2.26,-0.1,234046,100692992.0,4.75,4.44,4.23,4.39,4.42,3.28,9.68,0.78
33,34,600500,中化国际,3.64,-2.41,-0.09,148288,54135187.0,3.75,3.74,3.6,3.72,3.73,0.41,530.24,0.85
34,35,002466,天齐锂业,24.93,-2.66,-0.68,283725,707499399.85,5.51,25.85,24.44,25.79,25.61,1.92,-3.93,0.92
35,36,600478,科力远,3.26,-3.26,-0.11,394737,127850032.0,5.93,3.37,3.17,3.36,3.37,2.37,152.24,2.01
36,37,300068,南都电源,10.67,-11.31,-1.36,1988936,2178470324.49,12.47,11.99,10.49,11.73,12.03,23.97,25.13,1.69
