,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600587,新华医疗,22.74,2.02,0.45,-0.04,1.01,1.09,2.74,1.02亿,4.45亿,101.23亿,12.57
1,2,301235,华康医疗,19.12,1.59,0.3,0.0,1.1,1.07,1.75,0.11亿,0.51亿,9.74亿,--
2,3,000035,中国天楹,4.93,6.25,0.29,0.0,2.98,4.61,8.84,3.57亿,24.53亿,120.95亿,15.43
3,4,002496,辉丰股份,2.99,5.28,0.15,0.0,4.11,2.35,5.99,1.40亿,11.73亿,35.08亿,23.30
4,5,002514,宝馨科技,5.23,2.35,0.12,0.0,1.79,0.7,2.35,0.52亿,5.54亿,28.98亿,--
5,6,835579,机科股份,14.79,0.61,0.09,0.0,2.68,1.28,1.43,0.14亿,0.35亿,5.12亿,60.43
6,7,300929,华骐环保,8.49,1.07,0.09,-0.12,1.0,0.93,3.57,0.10亿,1.24亿,10.53亿,--
7,8,002310,*ST东园,1.32,4.76,0.06,0.0,1.05,0.3,3.97,0.37亿,26.85亿,35.45亿,--
8,9,603716,塞力医疗,6.71,0.45,0.03,-0.15,2.03,0.71,2.99,0.27亿,2.01亿,13.51亿,106.98
9,10,603588,高能环境,6.83,0.44,0.03,0.29,1.18,1.31,2.65,1.22亿,15.23亿,104.04亿,13.53
10,11,300187,永清环保,5.82,0.52,0.03,0.52,0.74,1.86,2.07,0.28亿,6.45亿,37.51亿,36.34
11,12,300815,玉禾田,13.37,0.23,0.03,0.0,0.56,0.59,1.27,0.29亿,3.88亿,51.85亿,9.02
12,13,002483,润邦股份,5.0,0.4,0.02,0.2,1.03,0.57,1.61,0.46亿,8.85亿,44.26亿,17.73
13,14,300140,节能环境,6.82,0.29,0.02,-0.29,0.66,0.81,1.32,0.19亿,4.23亿,28.88亿,26.89
14,15,601330,绿色动力,6.85,0.29,0.02,0.0,0.27,0.65,1.32,0.18亿,9.89亿,67.75亿,17.19
15,16,000928,中钢国际,6.37,0.16,0.01,0.0,0.83,0.6,0.94,0.76亿,14.35亿,91.39亿,10.63
16,17,601033,永兴股份,15.27,0.07,0.01,0.0,3.83,0.9,0.98,0.85亿,1.45亿,22.22亿,16.88
17,18,000900,现代投资,3.91,0.0,0.0,-0.26,0.35,0.76,1.02,0.21亿,15.18亿,59.34亿,7.82
18,19,300055,万邦达,4.79,0.0,0.0,0.0,0.47,0.88,2.71,0.14亿,6.24亿,29.90亿,40.85
19,20,601200,上海环境,9.18,0.0,0.0,-0.11,0.2,0.66,0.65,0.20亿,11.22亿,102.99亿,20.09
20,21,000546,金圆股份,4.71,-0.21,-0.01,-0.42,1.07,0.78,2.12,0.36亿,7.11亿,33.50亿,39.75
21,22,301175,中科环保,4.81,-0.21,-0.01,-0.21,1.49,0.97,1.04,0.44亿,6.22亿,29.91亿,24.41
22,23,300867,圣元环保,12.22,-0.08,-0.01,-0.16,0.95,0.93,1.31,0.22亿,1.92亿,23.42亿,18.64
23,24,300664,鹏鹞环保,4.92,-0.2,-0.01,-0.2,0.37,0.74,1.22,0.14亿,7.69亿,37.84亿,10.02
24,25,300385,雪浪环境,4.09,-0.24,-0.01,0.49,0.86,0.86,2.68,0.10亿,2.89亿,11.80亿,--
25,26,002140,东华科技,8.57,-0.12,-0.01,0.0,0.55,0.84,1.05,0.25亿,5.40亿,46.31亿,12.46
26,27,000685,中山公用,7.59,-0.26,-0.02,0.0,0.46,0.77,0.92,0.44亿,12.54亿,95.18亿,14.90
27,28,600008,首创环保,2.93,-1.01,-0.03,0.0,0.74,0.82,2.03,1.61亿,73.41亿,215.08亿,14.87
28,29,002672,东江环保,4.29,-1.15,-0.05,0.0,0.67,1.83,2.54,0.24亿,8.40亿,36.02亿,--
29,30,300422,博世科,4.97,-1.58,-0.08,0.0,1.07,0.88,2.77,0.21亿,3.99亿,19.83亿,9.60
30,31,000881,中广核技,7.02,-1.41,-0.1,0.14,2.22,0.77,3.79,1.22亿,7.76亿,54.47亿,--
31,32,002973,侨银股份,9.63,-2.04,-0.2,0.0,0.88,1.44,2.14,0.17亿,2.04亿,19.68亿,10.23
32,33,000826,启迪环境,2.03,-9.78,-0.22,0.0,1.56,0.8,0.0,0.45亿,14.25亿,28.93亿,--
33,34,300500,启迪设计,10.93,-4.62,-0.53,-0.09,8.46,0.56,8.29,1.52亿,1.64亿,17.96亿,50.99
34,35,301049,超越科技,26.27,-3.13,-0.85,-0.46,29.53,1.91,6.27,1.98亿,0.26亿,6.75亿,--
