,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688551,科威尔,26.59,7.35,1.82,14033,36753013.0,13.32,27.87,24.57,24.85,24.77,1.67,26.69,1.71
1,2,003026,中晶科技,31.79,6.36,1.9,184793,573194722.6,12.14,32.75,29.12,29.8,29.89,23.01,196.29,5.95
2,3,300376,ST易事特,2.48,5.08,0.12,380190,93631917.48,8.05,2.54,2.35,2.35,2.36,1.63,23.16,0.81
3,4,600520,文一科技,18.35,4.92,0.86,261481,467344441.0,12.69,19.01,16.79,17.4,17.49,16.5,180.93,7.99
4,5,300814,中富电路,24.19,3.95,0.92,33294,79746435.02,7.31,24.71,23.01,23.18,23.27,1.89,83.44,3.76
5,6,301369,联动科技,45.35,3.85,1.68,32006,144723956.44,6.09,46.5,43.84,43.91,43.67,13.19,568.31,2.16
6,7,600895,张江高科,17.69,3.81,0.65,433738,769518756.0,10.86,18.66,16.81,16.98,17.04,2.8,51.44,2.2
7,8,300353,东土科技,7.86,3.69,0.28,152202,118508428.6,3.69,7.88,7.6,7.65,7.58,2.91,-25.95,2.38
8,9,002902,铭普光磁,18.81,3.47,0.63,111351,205943322.0,5.83,18.92,17.86,18.33,18.18,7.23,-27.96,3.8
9,10,300903,科翔股份,6.62,3.44,0.22,91520,59436174.5,4.53,6.62,6.33,6.4,6.4,2.78,-13.95,1.31
10,11,688401,路维光电,20.61,3.41,0.68,39791,80426459.0,5.22,20.74,19.7,19.7,19.93,3.44,24.17,3.11
11,12,688535,华海诚科,54.24,3.31,1.74,9383,50055241.0,4.88,54.58,52.02,52.51,52.5,2.19,87.91,4.26
12,13,603379,三美股份,27.3,3.17,0.84,84069,228793428.0,5.9,27.71,26.15,26.21,26.46,1.38,21.72,2.7
13,14,688361,中科飞测,49.3,3.14,1.5,19138,93605644.0,5.21,50.0,47.51,47.87,47.8,0.78,-115.97,6.78
14,15,300322,硕贝德,9.87,3.13,0.3,303568,294403700.0,5.43,9.91,9.39,9.6,9.57,6.82,741.08,4.44
15,16,688525,佰维存储,43.78,3.04,1.29,102689,441953904.0,5.11,44.07,41.9,42.48,42.49,3.36,33.31,7.73
16,17,688610,埃科光电,27.05,3.01,0.79,1918,5113996.0,4.3,27.25,26.12,26.36,26.26,1.18,58.04,1.26
17,18,300666,江丰电子,50.12,2.7,1.32,32308,159514123.95,4.2,50.45,48.4,48.88,48.8,1.47,41.27,3.12
18,19,605111,新洁能,28.53,2.63,0.73,104809,294183315.0,4.78,28.75,27.42,27.8,27.8,2.52,27.22,3.15
19,20,300400,劲拓股份,12.67,2.59,0.32,150180,186552973.0,7.13,12.86,11.98,12.31,12.35,6.25,42.93,4.09
20,21,688048,长光华芯,24.9,2.55,0.62,18378,45005120.0,4.37,25.13,24.07,24.14,24.28,1.84,-51.66,1.45
21,22,300346,南大光电,27.15,2.53,0.67,135351,361449668.16,4.83,27.33,26.05,26.39,26.48,2.64,41.26,6.2
22,23,831526,凯华材料,17.14,2.51,0.42,12403,20898278.71,4.31,17.22,16.5,16.99,16.72,4.91,52.88,6.66
23,24,000913,钱江摩托,16.0,2.5,0.39,80415,126923943.0,4.55,16.09,15.38,15.62,15.61,1.74,12.07,1.83
24,25,301013,利和兴,10.31,2.49,0.25,98893,100215289.0,5.37,10.39,9.85,10.04,10.06,5.23,89.61,2.83
25,26,300670,大烨智能,4.95,2.48,0.12,41275,20254757.0,3.11,4.97,4.82,4.84,4.83,1.84,79.94,2.41
26,27,301611,珂玛科技,29.8,2.48,0.72,138474,410314697.93,7.57,30.4,28.2,28.85,29.08,24.55,46.69,9.33
27,28,300689,澄天伟业,14.5,2.47,0.35,16791,24030620.0,3.96,14.53,13.97,14.14,14.15,1.66,510.16,2.52
28,29,603595,东尼电子,15.48,2.45,0.37,22422,34094553.0,4.17,15.53,14.9,15.1,15.11,0.96,-27.03,2.42
29,30,002516,旷达科技,3.82,2.41,0.09,165937,62806618.75,3.22,3.85,3.73,3.74,3.73,1.14,39.16,1.58
30,31,688286,敏芯股份,34.25,2.36,0.79,7585,25523773.0,5.29,34.56,32.79,33.49,33.46,1.36,-27.27,1.86
31,32,688035,德邦科技,24.77,2.27,0.55,10164,24716401.0,4.58,25.0,23.89,24.3,24.22,1.16,52.26,1.57
32,33,688230,芯导科技,29.59,2.25,0.65,2717,7946607.0,3.42,29.75,28.76,28.94,28.94,0.92,33.32,1.58
33,34,002409,雅克科技,51.1,2.24,1.12,61247,309790678.0,3.7,51.48,49.63,50.19,49.98,1.92,23.41,3.43
34,35,300475,香农芯创,24.72,2.23,0.54,63198,153843926.0,4.47,24.93,23.85,24.23,24.18,1.44,36.17,4.1
35,36,600198,大唐电信,5.13,2.19,0.11,47959,24243704.0,3.39,5.15,4.98,5.03,5.02,0.54,-54.09,26.92
36,37,600160,巨化股份,15.01,2.18,0.32,408967,613772643.0,4.42,15.3,14.65,14.69,14.69,1.51,24.29,2.43
37,38,300053,航宇微,9.49,2.15,0.2,193371,181268586.48,3.66,9.55,9.21,9.31,9.29,3.04,-134.43,3.24
38,39,300480,光力科技,11.99,2.13,0.25,27488,32372223.52,3.66,12.02,11.59,11.77,11.74,1.16,-32.75,3.18
39,40,000021,深科技,13.37,2.06,0.27,283554,374726783.83,3.97,13.45,12.93,13.1,13.1,1.82,28.95,1.89
40,41,000016,深康佳Ａ,2.54,2.01,0.05,529240,133017955.94,4.82,2.56,2.44,2.49,2.49,3.31,-2.81,1.34
41,42,000925,众合科技,5.59,2.01,0.11,79932,43947337.17,3.83,5.6,5.39,5.5,5.48,1.46,-21.64,1.16
42,43,601137,博威合金,13.84,1.99,0.27,131371,179719835.0,3.46,13.92,13.45,13.55,13.57,1.68,8.49,1.51
43,44,688172,燕东微,12.36,1.98,0.24,13698,16769616.0,2.48,12.41,12.11,12.25,12.12,0.3,-489.66,1.0
44,45,688711,宏微科技,12.98,1.96,0.25,18011,22947665.0,4.16,13.06,12.53,12.78,12.73,0.85,549.54,2.53
45,46,688419,耐科装备,22.88,1.96,0.44,5524,12510356.0,3.3,23.09,22.35,22.46,22.44,2.58,28.33,1.92
46,47,300236,上海新阳,29.16,1.96,0.56,13432,38618382.08,3.18,29.26,28.35,28.53,28.6,0.48,77.57,2.39
47,48,301312,智立方,38.15,1.95,0.73,20776,78117943.57,4.97,38.5,36.64,37.2,37.42,8.05,78.25,2.9
48,49,688017,绿的谐波,63.88,1.95,1.22,19731,124390338.0,4.58,64.68,61.81,62.75,62.66,1.17,147.2,5.38
49,50,688521,芯原股份,26.71,1.95,0.51,32009,83834309.0,4.08,26.8,25.73,26.3,26.2,0.65,-23.44,5.52
50,51,300054,鼎龙股份,19.22,1.91,0.36,60916,115727075.92,3.61,19.39,18.71,18.82,18.86,0.84,41.39,4.32
51,52,300045,华力创通,16.13,1.9,0.3,129043,205767152.52,3.41,16.21,15.67,15.93,15.83,2.66,1890.86,6.14
52,53,603690,至纯科技,17.8,1.89,0.33,43716,76541776.0,4.52,17.91,17.12,17.49,17.47,1.13,46.62,1.38
53,54,688662,富信科技,21.52,1.85,0.39,4778,10126834.0,3.93,21.64,20.81,21.03,21.13,0.54,42.65,2.82
