,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600838,上海九百,7.59,10.0,0.69,551925.0,409284279.0,12.03,7.59,6.76,7.59,6.9,13.77,64.11,2.1
1,2,600826,兰生股份,5.97,6.99,0.39,363311.0,216155498.0,7.89,6.14,5.7,5.71,5.58,4.94,26.71,1.17
2,3,000615,ST美谷,1.87,5.06,0.09,320545.0,59483116.7,5.62,1.87,1.77,1.78,1.78,4.2,-12.64,10.51
3,4,600895,张江高科,17.69,3.81,0.65,433738.0,769518756.0,10.86,18.66,16.81,16.98,17.04,2.8,51.44,2.2
4,5,600530,交大昂立,2.53,2.85,0.07,131712.0,33371265.0,9.35,2.67,2.44,2.45,2.46,1.7,302.79,6.58
5,6,000066,中国长城,8.16,2.0,0.16,245475.0,198283037.97,3.88,8.24,7.93,8.02,8.0,0.78,-31.22,2.15
6,7,000936,华西股份,5.39,1.7,0.09,129193.0,68787572.77,3.4,5.41,5.23,5.3,5.3,1.46,30.08,0.92
7,8,300085,银之杰,8.66,1.41,0.12,113013.0,96503779.58,3.98,8.72,8.38,8.58,8.54,1.78,-61.16,9.88
8,9,300169,天晟新材,5.95,1.19,0.07,597858.0,354554405.94,6.29,6.07,5.7,5.8,5.88,19.81,257.87,22.28
9,10,600741,华域汽车,15.63,1.1,0.17,212518.0,329388548.0,2.39,15.65,15.28,15.43,15.46,0.67,8.61,0.85
10,11,000429,粤高速Ａ,11.8,1.03,0.12,68336.0,79865938.4,3.25,11.85,11.47,11.67,11.68,0.52,14.42,2.56
11,12,600621,华鑫股份,12.58,0.96,0.12,313135.0,395971943.0,3.69,12.91,12.45,12.54,12.46,2.95,44.26,1.67
12,13,605168,三人行,25.92,0.93,0.24,42179.0,107749842.0,3.23,26.0,25.17,25.7,25.68,1.98,21.17,1.97
13,14,000039,中集集团,7.05,0.86,0.06,219283.0,152452163.67,3.58,7.1,6.85,6.98,6.99,0.95,21.96,0.83
14,15,600136,ST明诚,1.34,0.75,0.01,72602.0,9816401.0,5.26,1.39,1.32,1.33,1.33,0.37,-63.18,7.77
15,16,601999,出版传媒,5.45,0.74,0.04,27619.0,14935921.0,2.22,5.47,5.35,5.42,5.41,0.5,111.02,1.18
16,17,600287,ST舜天,2.96,0.68,0.02,68618.0,20195339.0,2.38,2.98,2.91,2.93,2.94,1.57,34.42,0.64
17,18,600121,郑州煤电,3.05,0.66,0.02,65221.0,19791128.0,1.98,3.06,3.0,3.03,3.03,0.54,178.93,2.26
18,19,603999,读者传媒,4.85,0.62,0.03,41544.0,19884944.0,2.7,4.86,4.73,4.83,4.82,0.72,40.77,1.43
19,20,601789,宁波建工,3.42,0.59,0.02,50424.0,17114387.0,1.76,3.42,3.36,3.42,3.4,0.46,12.92,0.86
20,21,601010,文峰股份,1.71,0.59,0.01,72789.0,12402083.0,2.94,1.73,1.68,1.7,1.7,0.39,21.81,0.71
21,22,600615,丰华股份,8.83,0.57,0.05,10302.0,9057325.0,2.39,8.88,8.67,8.73,8.78,0.55,326.08,2.59
22,23,000027,深圳能源,5.51,0.55,0.03,178458.0,97911093.46,2.74,5.57,5.42,5.51,5.48,0.38,7.47,0.88
23,24,000530,冰山冷热,3.68,0.55,0.02,73682.0,26954191.35,1.91,3.69,3.62,3.68,3.66,1.23,19.76,1.0
24,25,600278,东方创业,5.69,0.53,0.03,56367.0,32070706.0,3.53,5.8,5.6,5.74,5.66,0.65,19.31,0.69
25,26,603733,仙鹤股份,15.25,0.53,0.08,19292.0,29150330.0,2.37,15.3,14.94,15.18,15.17,0.27,9.78,1.46
26,27,600170,上海建工,1.94,0.52,0.01,605926.0,116547502.0,1.55,1.94,1.91,1.93,1.93,0.68,10.43,0.57
27,28,000625,长安汽车,11.9,0.51,0.06,799994.0,943960562.2,2.28,11.94,11.67,11.84,11.84,0.97,20.84,1.65
28,29,600551,时代出版,8.14,0.49,0.04,35579.0,28678455.0,1.98,8.15,7.99,8.08,8.1,0.52,16.09,0.98
29,30,600637,东方明珠,6.27,0.48,0.03,137507.0,85041246.0,2.88,6.28,6.1,6.26,6.24,0.41,24.9,0.71
30,31,600517,国网英大,4.25,0.47,0.02,131316.0,55168167.0,2.6,4.26,4.15,4.25,4.23,0.23,13.26,1.15
31,32,600629,华建集团,4.29,0.47,0.02,104875.0,44540241.0,3.04,4.32,4.19,4.29,4.27,1.11,11.11,0.83
32,33,600191,华资实业,4.78,0.42,0.02,25833.0,12278649.0,2.31,4.81,4.7,4.78,4.76,0.53,160.25,1.44
33,34,601800,中国交建,7.3,0.41,0.03,284995.0,206320024.0,1.65,7.31,7.19,7.27,7.27,0.24,5.21,0.43
34,35,600100,同方股份,4.87,0.41,0.02,246216.0,117880766.0,3.92,4.89,4.7,4.87,4.85,0.73,289.56,1.11
35,36,600261,阳光照明,2.44,0.41,0.01,52733.0,12737199.0,2.06,2.44,2.39,2.43,2.43,0.39,22.28,0.96
36,37,600802,福建水泥,2.74,0.37,0.01,26437.0,7202297.0,2.56,2.76,2.69,2.76,2.73,0.58,-5.98,1.13
37,38,002304,洋河股份,74.2,0.31,0.23,31649.0,234569430.69,1.15,74.46,73.61,74.0,73.97,0.21,7.03,2.11
38,39,600016,民生银行,3.32,0.3,0.01,1404983.0,465622038.0,1.51,3.34,3.29,3.32,3.31,0.4,3.23,0.27
39,40,600310,广西能源,3.43,0.29,0.01,88504.0,30198729.0,2.92,3.47,3.37,3.43,3.42,0.6,219.78,1.7
40,41,000900,现代投资,3.46,0.29,0.01,67488.0,23235136.33,2.32,3.49,3.41,3.46,3.45,0.44,10.2,0.49
41,42,000501,武商集团,7.03,0.29,0.02,38722.0,27054506.0,1.85,7.06,6.93,7.02,7.01,0.5,17.59,0.48
42,43,000812,陕西金叶,3.59,0.28,0.01,62211.0,22178407.0,2.23,3.6,3.52,3.57,3.58,0.81,21.85,1.49
43,44,000737,北方铜业,7.67,0.26,0.02,211558.0,161180768.29,3.01,7.73,7.5,7.69,7.65,2.91,14.77,2.63
44,45,600882,妙可蓝多,12.2,0.25,0.03,21583.0,26133517.0,2.79,12.29,11.95,12.2,12.17,0.42,40.68,1.43
45,46,001965,招商公路,12.29,0.24,0.03,140893.0,173274881.13,2.2,12.46,12.19,12.25,12.26,0.21,15.47,1.33
46,47,600269,赣粤高速,4.35,0.23,0.01,115331.0,50180004.0,3.23,4.43,4.29,4.36,4.34,0.49,8.1,0.57
47,48,600155,华创云信,5.95,0.17,0.01,190902.0,112579289.0,2.69,5.99,5.83,5.92,5.94,0.84,141.55,0.68
48,49,601566,九牧王,6.78,0.15,0.01,13776.0,9297633.0,2.22,6.83,6.68,6.79,6.77,0.24,38.95,1.02
49,50,600827,百联股份,7.54,0.13,0.01,86781.0,64926040.0,3.45,7.65,7.39,7.57,7.53,0.54,24.51,0.76
50,51,002572,索菲亚,13.09,0.08,0.01,68611.0,89088010.0,2.45,13.15,12.83,13.13,13.08,1.05,11.16,1.91
51,52,600783,鲁信创投,10.01,0.0,0.0,21409.0,21302678.0,2.3,10.06,9.83,9.93,10.01,0.29,15.77,1.56
52,53,600739,辽宁成大,8.02,0.0,0.0,109845.0,87179692.0,3.12,8.06,7.81,8.04,8.02,0.72,13.35,0.42
53,54,600249,两面针,3.79,0.0,0.0,42276.0,15945861.0,2.37,3.82,3.73,3.8,3.79,0.77,-300.58,0.98
54,55,600221,海航控股,1.03,0.0,0.0,1342798.0,137636190.0,2.91,1.04,1.01,1.03,1.03,0.41,-34.99,31.28
55,56,600190,ST锦港,,,,,,,,,,1.47,0.0,33.44,0.44
56,57,000897,津滨发展,1.99,0.0,0.0,125836.0,24865567.16,2.51,2.01,1.96,2.0,1.99,0.78,4.85,1.06
