,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600187,国中水务,2.85,10.04,0.26,2543029,717129237.0,5.02,2.85,2.72,2.8,2.59,15.76,443.95,1.46
1,2,300479,神思电子,15.49,3.13,0.47,175494,266436189.48,5.26,15.49,14.7,14.98,15.02,8.91,-19.74,6.66
2,3,300603,立昂技术,7.28,2.39,0.17,69228,49585757.0,4.5,7.3,6.98,7.09,7.11,1.94,-101.59,2.38
3,4,301536,星宸科技,30.06,1.52,0.45,16008,47753234.38,2.53,30.2,29.45,29.62,29.61,4.5,48.83,4.49
4,5,002230,科大讯飞,34.16,1.49,0.5,167483,566933119.34,3.48,34.43,33.26,33.68,33.66,0.77,-98.55,4.74
5,6,300279,和晶科技,4.44,1.37,0.06,79016,34643573.8,2.97,4.45,4.32,4.39,4.38,1.72,34.29,2.28
6,7,002174,游族网络,7.43,1.36,0.1,105663,77217059.0,3.82,7.48,7.2,7.33,7.33,1.16,739.01,1.53
7,8,000100,TCL科技,3.82,0.79,0.03,1247335,472216132.57,2.11,3.83,3.75,3.79,3.79,0.69,36.04,1.37
8,9,603893,瑞芯微,50.49,0.58,0.29,29171,145186512.0,3.73,50.89,49.02,50.23,50.2,0.7,57.78,6.63
9,10,601727,上海电气,3.7,0.54,0.02,183822,67398576.0,2.72,3.72,3.62,3.68,3.68,0.15,47.9,1.08
10,11,002599,盛通股份,4.87,-0.2,-0.01,81030,38866237.0,3.69,4.91,4.73,4.91,4.88,2.01,-81.36,1.84
11,12,300287,飞利信,2.6,-0.38,-0.01,1410896,361697885.75,7.66,2.68,2.48,2.56,2.61,10.76,-17.52,2.92
12,13,600848,上海临港,8.29,-1.31,-0.11,41398,34259936.0,3.33,8.45,8.17,8.42,8.4,0.17,33.81,1.14
13,14,002528,ST英飞拓,2.38,-5.18,-0.13,739645,183241892.54,9.56,2.62,2.38,2.44,2.51,7.04,-20.51,6.74
