,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,600132,重庆啤酒,68.94,1.41,0.96,0.09,1.12,1.37,3.6,3.76亿,4.84亿,333.65亿,18.46
1,2,600600,青岛啤酒,77.63,0.35,0.27,-0.03,1.14,1.17,1.27,6.20亿,7.05亿,547.13亿,16.58
2,3,300892,品渥食品,16.06,1.71,0.27,-0.19,2.39,0.68,4.24,0.25亿,0.65亿,10.37亿,--
3,4,603076,乐惠国际,25.61,1.03,0.26,1.11,0.73,0.98,2.48,0.23亿,1.21亿,30.91亿,225.32
4,5,000929,兰州黄河,7.54,2.45,0.18,-0.13,2.77,0.73,3.53,0.39亿,1.86亿,14.01亿,--
5,6,600573,惠泉啤酒,9.56,1.38,0.13,0.21,1.37,0.82,3.18,0.33亿,2.50亿,23.90亿,117.03
6,7,001338,永顺泰,11.36,0.98,0.11,-0.09,1.99,0.48,1.42,0.53亿,2.36亿,26.80亿,17.35
7,8,002461,珠江啤酒,8.27,0.85,0.07,0.0,0.18,0.79,1.46,0.34亿,22.13亿,183.04亿,37.83
8,9,002183,怡亚通,3.32,1.22,0.04,-0.3,0.57,0.83,1.52,0.49亿,25.97亿,86.22亿,104.45
9,10,002701,奥瑞金,4.5,0.9,0.04,0.22,0.55,0.99,1.79,0.64亿,25.71亿,115.68亿,10.36
10,11,002969,嘉美包装,3.27,0.61,0.02,-0.31,1.72,1.05,1.23,0.32亿,5.76亿,18.83亿,16.34
11,12,002166,莱茵生物,7.76,0.26,0.02,0.0,2.38,0.62,1.16,0.95亿,5.14亿,39.85亿,53.73
12,13,000729,燕京啤酒,9.36,0.21,0.02,-0.11,0.51,0.6,0.96,1.19亿,25.10亿,234.90亿,64.29
13,14,002329,皇氏集团,3.4,0.0,0.0,0.0,1.33,0.61,1.76,0.30亿,6.59亿,22.39亿,143.03
14,15,600108,亚盛集团,2.61,0.0,0.0,0.39,0.4,0.63,1.15,0.20亿,19.47亿,50.81亿,53.11
15,16,002116,中国海诚,10.03,0.0,0.0,0.0,0.92,0.68,1.0,0.42亿,4.54亿,45.53亿,21.16
16,17,000523,红棉股份,3.07,-0.65,-0.02,0.0,0.43,0.9,1.29,0.18亿,13.77亿,42.27亿,64.82
17,18,000752,*ST西发,6.7,-0.74,-0.05,-0.15,0.73,0.48,3.11,0.13亿,2.64亿,17.67亿,567.96
