,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300925,法本信息,12.25,19.98,2.04,827334,961225414.61,19.1,12.25,10.3,10.37,10.21,25.97,35.5,2.54
1,2,000158,常山北明,7.8,10.01,0.71,1996773,1468889058.97,15.51,7.8,6.7,7.09,7.09,12.58,-25.59,2.22
2,3,603189,网达软件,13.76,9.99,1.25,314271,420752451.0,11.75,13.76,12.29,12.6,12.51,11.66,308.78,2.46
3,4,301006,迈拓股份,11.39,7.15,0.76,50194,57952438.55,17.22,12.38,10.55,10.68,10.63,5.83,24.83,1.32
4,5,002777,久远银海,13.16,7.08,0.87,253048,324762990.76,10.9,13.46,12.12,12.43,12.29,6.26,239.15,3.29
5,6,300369,绿盟科技,5.41,5.87,0.3,515416,270065087.85,10.18,5.5,4.98,5.16,5.11,6.46,-8.49,1.73
6,7,300663,科蓝软件,10.83,5.87,0.6,454582,477228854.36,9.58,10.94,9.96,10.18,10.23,10.96,-738.09,4.92
7,8,600624,复旦复华,3.51,5.72,0.19,664435,229188168.0,12.65,3.65,3.23,3.32,3.32,9.7,-76.24,3.07
8,9,002153,石基信息,5.85,5.6,0.31,267757,152150202.9,8.3,5.91,5.45,5.54,5.54,1.67,322.89,2.18
9,10,300588,熙菱信息,8.51,5.58,0.45,141752,117554674.95,6.33,8.54,8.03,8.05,8.06,10.6,-38.57,4.52
10,11,300830,金现代,5.93,5.33,0.3,259087,152221428.54,8.35,6.09,5.62,5.62,5.63,8.23,-50.06,2.19
11,12,688111,金山办公,178.51,5.25,8.91,42718,746224181.0,6.72,180.5,169.1,170.08,169.6,0.92,57.22,7.93
12,13,301001,凯淳股份,19.75,5.05,0.95,51241,98920163.0,6.06,19.75,18.61,19.08,18.8,10.19,220.1,1.95
13,14,002912,中新赛克,16.02,4.91,0.75,42322,67041701.23,8.91,16.43,15.07,15.12,15.27,2.61,-14.49,1.79
14,15,688095,福昕软件,50.2,4.85,2.32,21216,103647727.0,7.6,50.44,46.8,47.88,47.88,2.32,36.73,1.78
15,16,688083,中望软件,63.68,4.81,2.92,6579,41073052.0,7.37,64.49,60.01,61.3,60.76,0.54,646.28,2.97
