,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002457,青龙管业,8.84,2.91,0.25,269147,236888255.56,4.54,8.91,8.52,8.56,8.59,8.04,20.63,1.28
1,2,300075,数字政通,11.88,2.59,0.3,82743,96558552.6,4.92,11.95,11.38,11.66,11.58,1.61,51.27,1.84
2,3,300036,超图软件,13.29,2.23,0.29,97899,127354015.0,4.85,13.34,12.71,13.02,13.0,2.24,96.58,2.27
3,4,688509,正元地信,2.87,2.14,0.06,56274,15896324.0,3.56,2.87,2.77,2.83,2.81,1.46,-18.52,1.56
4,5,002339,积成电子,5.35,1.71,0.09,100534,53550269.21,2.66,5.39,5.25,5.33,5.26,2.1,-16.41,1.59
5,6,688450,光格科技,18.01,1.46,0.26,1981,3540162.0,3.94,18.22,17.52,17.96,17.75,0.53,-29.47,1.12
6,7,603616,韩建河山,2.88,1.41,0.04,61012,17435581.0,2.46,2.89,2.82,2.84,2.84,1.6,-16.53,2.84
7,8,833943,优机股份,7.58,1.34,0.1,1607,1217815.4,3.61,7.74,7.47,7.57,7.48,0.39,15.31,1.37
8,9,600969,郴电国际,5.14,1.18,0.06,41426,21138881.0,1.97,5.14,5.04,5.12,5.08,1.12,47.54,0.53
9,10,300007,汉威科技,12.6,1.04,0.13,38087,47348138.13,3.05,12.65,12.27,12.48,12.47,1.35,39.97,1.45
10,11,002443,金洲管道,5.19,0.97,0.05,21596,11137748.02,1.95,5.21,5.11,5.2,5.14,0.42,13.46,0.79
11,12,300599,雄塑科技,4.93,0.82,0.04,27203,13352353.0,2.66,4.98,4.85,4.9,4.89,1.28,-24.91,0.84
12,13,300826,测绘股份,11.95,0.76,0.09,21887,25958057.0,2.7,12.01,11.69,11.78,11.86,1.44,103.74,1.57
13,14,301136,招标股份,11.26,0.72,0.08,60723,67596822.4,2.86,11.3,10.98,11.18,11.18,5.84,402.66,2.12
14,15,002883,中设股份,8.41,0.6,0.05,15495,12996631.8,1.44,8.44,8.32,8.39,8.36,1.14,34.87,1.91
15,16,002671,龙泉股份,3.57,0.56,0.02,50369,17918825.0,1.97,3.59,3.52,3.55,3.55,0.91,60.97,1.25
16,17,002554,惠博普,2.13,0.47,0.01,57169,12165982.39,1.89,2.15,2.11,2.12,2.12,0.42,46.71,1.12
17,18,601686,友发集团,5.29,0.38,0.02,9780,5157709.0,0.95,5.3,5.25,5.27,5.27,0.07,34.33,1.22
18,19,003013,地铁设计,12.25,0.33,0.04,9074,11047154.0,2.29,12.3,12.02,12.26,12.21,0.23,12.08,2.04
19,20,002694,顾地科技,3.39,0.3,0.01,15344,5169615.6,2.37,3.41,3.33,3.38,3.38,0.28,-32.2,4.96
20,21,002372,伟星新材,10.77,0.09,0.01,111624,119013801.7,3.25,10.84,10.49,10.75,10.76,0.76,25.23,3.7
21,22,301167,建研设计,11.11,0.0,0.0,25233,28058691.0,3.06,11.32,10.98,11.18,11.11,3.55,110.08,1.34
22,23,300434,金石亚药,7.03,0.0,0.0,29449,20602290.0,2.56,7.09,6.91,7.05,7.03,0.86,36.02,1.18
23,24,300198,纳川股份,1.36,0.0,0.0,263428,35627608.0,3.68,1.38,1.33,1.36,1.36,2.57,-18.16,1.96
24,25,003039,顺控发展,10.88,0.0,0.0,21941,23813566.3,2.39,10.99,10.73,10.98,10.88,0.36,27.77,2.6
25,26,301027,华蓝集团,7.56,-0.13,-0.01,47757,35853758.0,2.38,7.61,7.43,7.56,7.57,4.04,-27.06,1.19
26,27,002641,公元股份,3.89,-0.26,-0.01,52923,20460446.9,2.05,3.91,3.83,3.89,3.9,0.47,19.08,0.88
27,28,603856,东宏股份,10.1,-0.3,-0.03,9740,9826631.0,1.97,10.21,10.01,10.14,10.13,0.38,8.6,1.11
28,29,002062,宏润建设,3.28,-0.3,-0.01,33773,11021404.17,2.43,3.31,3.23,3.28,3.29,0.34,9.66,0.83
29,30,002108,沧州明珠,2.99,-0.33,-0.01,114314,33951201.74,2.33,3.01,2.94,3.01,3.0,0.69,28.34,0.99
30,31,000598,兴蓉环境,6.32,-0.63,-0.04,166852,105334255.7,2.83,6.41,6.23,6.36,6.36,0.56,10.16,1.1
