,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600405,动力源,3.81,10.12,0.35,441399.0,164243673.0,11.27,3.81,3.42,3.47,3.46,7.98,-10.1,4.22
1,2,300602,飞荣达,15.03,8.44,1.17,332065.0,484282162.99,15.58,15.66,13.5,13.85,13.86,8.48,77.08,2.32
2,3,300802,矩子科技,13.87,8.19,1.05,110599.0,158634145.18,11.08,15.02,13.6,14.0,12.82,5.68,44.1,2.47
3,4,688551,科威尔,26.59,7.35,1.82,14033.0,36753013.0,13.32,27.87,24.57,24.85,24.77,1.67,26.69,1.71
4,5,300763,锦浪科技,61.35,6.86,3.94,142011.0,854353227.68,9.49,62.8,57.35,57.62,57.41,4.42,34.79,3.04
5,6,002123,梦网科技,6.37,6.52,0.39,485344.0,299976444.12,11.04,6.5,5.84,5.98,5.98,7.07,276.03,3.12
6,7,688032,禾迈股份,132.0,6.23,7.74,14986.0,192484917.0,8.67,133.27,122.5,124.27,124.26,2.42,43.54,2.65
7,8,603507,振江股份,21.16,5.48,1.1,48233.0,100777691.0,8.42,21.52,19.83,20.15,20.06,2.62,15.79,1.59
8,9,688429,时创能源,16.45,5.25,0.82,6372.0,10351111.0,7.93,16.85,15.61,15.63,15.63,0.78,-24.68,3.04
9,10,300376,ST易事特,2.48,5.08,0.12,380190.0,93631917.48,8.05,2.54,2.35,2.35,2.36,1.63,23.16,0.81
10,11,300444,双杰电气,5.61,4.86,0.26,253716.0,140445013.04,7.48,5.69,5.29,5.39,5.35,4.28,25.99,2.73
11,12,002309,*ST中利,1.95,4.84,0.09,123428.0,24065289.0,1.08,1.95,1.93,1.95,1.86,1.42,-3.2,-2.1
12,13,300091,金通灵,1.53,4.79,0.07,333417.0,50795473.12,6.85,1.57,1.47,1.47,1.46,2.5,-15.07,1.19
13,14,600805,悦达投资,3.52,4.76,0.16,170431.0,60193409.0,11.01,3.7,3.33,3.36,3.36,2.0,136.49,0.68
14,15,300382,斯莱克,6.64,4.4,0.28,464697.0,303151215.25,10.69,6.78,6.1,6.34,6.36,7.4,118.38,1.94
15,16,002729,好利科技,10.7,4.19,0.43,99553.0,104731310.8,6.23,10.83,10.19,10.3,10.27,5.67,47.93,3.89
16,17,688408,中信博,64.1,4.09,2.52,22563.0,142710841.0,5.34,64.51,61.22,61.51,61.58,1.11,28.05,4.26
17,18,300806,斯迪克,11.2,3.99,0.43,156423.0,168649996.01,6.5,11.2,10.5,10.74,10.77,5.6,77.64,2.31
18,19,300814,中富电路,24.19,3.95,0.92,33294.0,79746435.02,7.31,24.71,23.01,23.18,23.27,1.89,83.44,3.76
19,20,688719,爱科赛博,21.39,3.89,0.8,8029.0,17204221.0,8.31,22.16,20.45,20.59,20.59,2.97,37.9,1.37
20,21,002855,捷荣技术,18.81,3.87,0.7,134972.0,245025782.8,8.23,18.99,17.5,18.26,18.11,5.48,-18.28,5.93
21,22,300682,朗新集团,9.04,3.79,0.33,218674.0,193576707.91,7.35,9.19,8.55,8.7,8.71,2.08,131.9,1.32
22,23,600482,中国动力,22.46,3.6,0.78,202816.0,453900679.0,5.03,22.74,21.65,21.73,21.68,0.92,51.94,1.33
23,24,002902,铭普光磁,18.81,3.47,0.63,111351.0,205943322.0,5.83,18.92,17.86,18.33,18.18,7.23,-27.96,3.8
24,25,300141,和顺电气,7.79,3.45,0.26,74585.0,57578558.96,5.58,7.87,7.45,7.64,7.53,2.95,546.07,2.96
25,26,605117,德业股份,88.79,3.39,2.91,55986.0,489986866.0,5.24,89.38,84.88,85.95,85.88,0.92,23.16,7.38
26,27,002564,*ST天沃,2.85,3.26,0.09,194462.0,55825169.0,4.71,2.9,2.77,2.78,2.76,2.27,78.92,18.8
27,28,688698,伟创电气,24.3,3.23,0.76,16500.0,39495352.0,4.59,24.45,23.37,23.78,23.54,0.78,19.11,2.52
