,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,301110,青木股份,43.38,3.48,1.46,0.09,2.79,0.64,5.15,0.42亿,0.35亿,15.00亿,29.91
1,2,301428,世纪恒通,26.85,5.25,1.34,0.04,5.12,1.01,5.8,0.83亿,0.61亿,16.43亿,32.69
2,3,301135,瑞德智能,21.61,5.72,1.17,0.05,10.83,2.22,7.53,1.14亿,0.49亿,10.69亿,190.50
3,4,301189,奥尼电子,22.22,4.03,0.86,0.0,4.5,1.31,4.35,0.41亿,0.41亿,9.15亿,--
4,5,301376,致欧科技,24.72,2.28,0.55,0.04,9.78,0.97,3.97,0.87亿,0.36亿,8.82亿,24.68
5,6,300735,光弘科技,20.99,2.04,0.42,0.05,4.36,1.47,4.86,6.97亿,7.53亿,158.05亿,67.78
6,7,301262,海看股份,25.39,1.48,0.37,0.12,4.09,0.9,2.56,0.43亿,0.42亿,10.59亿,24.29
7,8,003010,若羽臣,16.47,1.79,0.29,0.0,2.56,0.47,3.21,0.38亿,0.92亿,15.09亿,39.29
8,9,003030,祖名股份,16.47,1.54,0.25,0.0,1.14,1.0,1.97,0.15亿,0.81亿,13.34亿,52.94
9,10,301335,天元宠物,18.65,1.3,0.24,0.65,1.18,1.34,3.58,0.11亿,0.50亿,9.30亿,42.06
10,11,300822,贝仕达克,12.23,1.66,0.2,-0.16,4.32,0.62,5.49,1.18亿,2.23亿,27.23亿,43.92
11,12,300673,佩蒂股份,14.0,1.3,0.18,-0.21,1.5,0.9,2.97,0.34亿,1.62亿,22.62亿,20.88
12,13,300206,理邦仪器,9.54,1.71,0.16,0.32,1.97,1.01,4.16,0.63亿,3.40亿,32.48亿,36.02
13,14,002862,实丰文化,14.82,1.09,0.16,0.14,2.9,0.68,3.48,0.39亿,0.90亿,13.36亿,106.49
14,15,600826,兰生股份,8.5,1.55,0.13,-0.12,0.41,1.11,2.27,0.18亿,5.29亿,44.93亿,--
15,16,001238,浙江正特,22.18,0.59,0.13,0.09,1.54,0.65,2.09,0.11亿,0.32亿,7.09亿,28.71
16,17,300703,创源股份,8.93,1.36,0.12,0.11,1.53,0.53,2.04,0.23亿,1.66亿,14.85亿,62.52
17,18,002868,绿康生化,16.57,0.67,0.11,0.0,0.72,0.58,1.52,0.18亿,1.53亿,25.32亿,--
18,19,301009,可靠股份,8.66,0.93,0.08,0.12,1.34,0.83,1.63,0.11亿,0.98亿,8.45亿,32.11
19,20,001206,依依股份,14.5,0.56,0.08,-0.14,1.78,1.17,2.29,0.27亿,1.07亿,15.48亿,15.86
20,21,603387,基蛋生物,9.02,0.78,0.07,0.0,0.42,0.9,1.45,0.19亿,5.07亿,45.75亿,13.30
21,22,001222,源飞宠物,13.21,0.53,0.07,0.08,0.97,0.92,1.45,0.10亿,0.79亿,10.38亿,17.25
22,23,301156,美农生物,13.82,0.36,0.05,0.0,3.48,0.54,1.45,0.33亿,0.69亿,9.51亿,52.34
23,24,603566,普莱柯,16.95,0.12,0.02,-0.12,3.1,0.9,5.32,1.80亿,3.46亿,58.66亿,53.70
24,25,600655,豫园股份,5.78,0.35,0.02,-0.17,0.21,0.87,1.04,0.46亿,38.84亿,224.51亿,31.24
25,26,600539,狮头股份,4.45,0.23,0.01,-0.45,2.26,0.5,4.5,0.23亿,2.30亿,10.23亿,--
26,27,002688,金河生物,4.59,-0.22,-0.01,-0.43,1.31,0.63,2.61,0.45亿,7.45亿,34.20亿,19.84
27,28,600267,海正药业,7.73,-0.26,-0.02,0.13,0.48,0.74,1.29,0.44亿,11.92亿,92.13亿,9.39
28,29,603609,禾丰股份,7.55,-0.26,-0.02,0.0,0.39,0.77,1.72,0.27亿,9.19亿,69.42亿,--
29,30,605507,国邦医药,17.93,-0.22,-0.04,-0.11,0.42,0.53,1.28,0.23亿,3.02亿,54.10亿,12.61
30,31,832419,路斯股份,8.32,-0.48,-0.04,0.0,0.16,0.89,1.91,0.01亿,0.93亿,7.72亿,15.28
31,32,300119,瑞普生物,15.28,-0.33,-0.05,0.0,1.0,0.66,2.15,0.51亿,3.34亿,51.07亿,20.34
32,33,301116,益客食品,9.87,-0.6,-0.06,0.0,2.96,0.33,2.72,0.34亿,1.16亿,11.50亿,14.12
33,34,000963,华东医药,31.63,-0.19,-0.06,-0.16,0.45,0.9,1.74,2.50亿,17.51亿,553.81亿,16.09
34,35,000513,丽珠集团,38.7,-0.15,-0.06,-0.05,0.71,0.89,1.65,1.65亿,5.98亿,231.39亿,14.77
35,36,600195,中牧股份,8.77,-0.79,-0.07,0.11,0.79,0.98,2.15,0.71亿,10.21亿,89.55亿,29.26
36,37,301498,乖宝宠物,54.1,-0.15,-0.08,0.15,1.63,0.52,2.58,0.35亿,0.40亿,21.64亿,36.49
37,38,600789,鲁抗医药,7.79,-1.02,-0.08,0.0,6.98,0.59,2.67,4.90亿,8.96亿,69.80亿,25.93
38,39,002891,中宠股份,22.69,-0.35,-0.08,0.0,0.91,1.03,1.93,0.61亿,2.94亿,66.73亿,29.67
39,40,300783,三只松鼠,24.31,-0.41,-0.1,-0.04,1.5,0.72,1.76,1.03亿,2.80亿,67.97亿,7.91
40,41,300871,回盛生物,11.98,-1.24,-0.15,0.0,1.31,0.6,4.12,0.26亿,1.66亿,19.86亿,--
41,42,603739,蔚蓝生物,14.42,-1.03,-0.15,0.0,4.8,0.64,3.64,1.76亿,2.53亿,36.49亿,71.69
42,43,688526,科前生物,16.74,-1.24,-0.21,0.0,0.46,1.25,3.19,0.36亿,4.66亿,78.03亿,22.37
43,44,600201,生物股份,8.94,-3.35,-0.31,0.22,2.43,1.2,4.54,2.46亿,11.20亿,100.16亿,23.71
44,45,002311,海大集团,50.66,-2.73,-1.42,0.08,0.53,2.19,3.09,4.51亿,16.63亿,842.25亿,24.48
