,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,603015,弘讯科技,10.62,10.05,0.97,42665,45309720.0,0.0,10.62,10.62,10.62,9.65,1.06,65.12,3.19
1,2,839680,广道数字,29.25,8.82,2.37,70135,199284813.22,13.76,29.57,25.87,26.77,26.88,14.96,-62.69,3.06
2,3,300222,科大智能,13.72,8.46,1.07,2249411,3167199291.87,13.52,14.99,13.28,13.53,12.65,35.38,265.36,6.41
3,4,838163,方大新材,20.5,7.39,1.41,43219,84597365.11,11.26,20.5,18.35,18.87,19.09,7.04,55.04,5.84
4,5,430425,乐创技术,25.23,5.79,1.38,34193,84422409.02,10.78,25.89,23.32,23.53,23.85,8.41,68.43,5.33
5,6,001339,智微智能,38.06,5.58,2.01,67515,250115755.68,7.35,38.3,35.65,36.0,36.05,9.25,87.18,4.7
6,7,300166,东方国信,10.92,5.51,0.57,949546,993598260.73,9.37,10.98,10.01,10.11,10.35,10.49,443.61,2.06
7,8,603289,泰瑞机器,8.98,4.18,0.36,90467,81511974.0,8.12,9.28,8.58,8.61,8.62,3.09,45.16,1.9
8,9,603011,合锻智能,8.88,3.38,0.29,642876,566045506.0,12.46,9.33,8.26,8.35,8.59,13.0,428.8,1.96
9,10,605167,利柏特,10.82,3.05,0.32,231317,248256881.0,8.57,11.1,10.2,10.29,10.5,5.15,18.19,2.72
10,11,688090,瑞松科技,65.74,2.56,1.64,12181,79944633.0,6.6,67.43,63.2,64.0,64.1,1.29,1090.78,6.93
11,12,002698,博实股份,15.58,2.23,0.34,232469,363382654.0,5.64,15.97,15.11,15.31,15.24,2.76,26.19,4.36
12,13,300193,佳士科技,9.48,2.16,0.2,137144,130661757.6,5.39,9.71,9.21,9.32,9.28,3.14,19.47,2.06
13,14,300124,汇川技术,60.88,2.08,1.24,207925,1269956490.67,3.82,61.93,59.65,59.65,59.64,0.91,36.65,6.06
