,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,873570,坤博精工,54.47,9.12,4.55,-0.06,15.63,3.17,11.58,0.64亿,0.08亿,4.19亿,33.05
1,2,839167,同享科技,17.01,12.87,1.94,-0.18,5.57,4.21,16.79,0.61亿,0.65亿,11.07亿,15.44
2,3,603979,金诚信,53.9,3.65,1.9,-0.07,0.77,1.09,5.08,2.53亿,6.18亿,332.85亿,35.16
3,4,835368,连城数控,29.09,6.91,1.88,-0.03,1.4,5.25,8.82,0.52亿,1.27亿,37.08亿,11.12
4,5,688305,科德数控,80.54,2.09,1.65,0.01,4.45,4.33,4.74,1.96亿,0.53亿,42.83亿,73.49
5,6,688188,柏楚电子,295.81,0.5,1.46,0.25,0.24,0.97,2.87,1.03亿,1.47亿,434.11亿,59.55
6,7,300809,华辰装备,25.23,5.7,1.36,-0.43,11.38,5.12,9.01,3.55亿,1.18亿,29.84亿,49.66
7,8,600754,锦江酒店,28.95,4.89,1.35,-0.38,1.99,2.05,7.97,5.10亿,9.14亿,264.62亿,30.92
8,9,688036,传音控股,158.37,0.78,1.23,0.41,0.16,0.67,3.04,2.04亿,8.07亿,1277.36亿,23.21
9,10,002965,祥鑫科技,35.81,3.2,1.11,-0.22,4.32,2.12,7.26,1.95亿,1.27亿,45.33亿,17.26
10,11,603877,太平鸟,17.86,5.74,0.97,0.0,2.04,5.55,9.71,1.69亿,4.73亿,84.42亿,20.06
11,12,688719,爱科赛博,46.92,2.07,0.95,0.15,5.15,1.79,5.09,0.46亿,0.19亿,9.09亿,27.58
12,13,002731,萃华珠宝,12.48,8.05,0.93,0.56,11.93,2.67,10.22,3.57亿,2.43亿,30.37亿,25.94
13,14,838701,豪声电子,11.88,5.69,0.64,0.17,6.79,2.18,8.54,0.20亿,0.25亿,2.91亿,37.52
14,15,603518,锦泓集团,10.01,6.38,0.6,0.1,4.92,4.98,8.82,1.64亿,3.43亿,34.38亿,13.68
15,16,002126,银轮股份,17.86,3.24,0.56,-0.17,2.59,2.87,2.77,3.61亿,7.73亿,138.10亿,24.11
16,17,603058,永吉股份,9.85,5.69,0.53,-0.61,6.63,1.39,10.62,2.62亿,4.16亿,40.95亿,25.54
17,18,688516,奥特维,109.33,0.4,0.43,0.34,0.44,0.72,2.81,0.99亿,2.07亿,226.11亿,19.51
18,19,832225,利通科技,14.86,2.98,0.43,0.0,1.24,1.63,6.31,0.11亿,0.58亿,8.57亿,11.75
19,20,838924,广脉科技,11.21,3.99,0.43,0.0,3.33,1.15,7.42,0.18亿,0.49亿,5.48亿,36.79
20,21,873305,九菱科技,19.02,2.09,0.39,-0.68,23.04,3.42,11.7,0.48亿,0.11亿,2.13亿,24.34
21,22,000550,江铃汽车,28.46,1.35,0.38,0.07,0.99,1.16,2.17,1.47亿,5.18亿,147.56亿,16.65
22,23,600346,恒力石化,14.85,2.63,0.38,-0.13,0.29,1.46,2.76,3.00亿,70.39亿,1045.31亿,15.14
23,24,603136,天目湖,20.68,1.82,0.37,0.39,3.82,2.28,5.22,1.46亿,1.86亿,38.53亿,24.07
24,25,835174,五新隧装,19.18,1.97,0.37,-0.36,1.08,2.1,4.31,0.10亿,0.50亿,9.56亿,11.15
25,26,002053,云南能投,11.41,3.26,0.36,-0.18,2.27,6.98,7.6,2.42亿,9.21亿,105.05亿,21.78
26,27,002893,京能热力,10.85,3.33,0.35,-0.09,6.48,1.54,6.38,1.40亿,2.02亿,21.89亿,64.48
27,28,600988,赤峰黄金,19.22,1.8,0.34,0.05,3.95,1.06,2.7,12.69亿,16.64亿,319.80亿,39.78
28,29,002536,飞龙股份,12.33,2.75,0.33,0.57,3.41,3.25,5.33,1.95亿,4.69亿,57.88亿,27.08
29,30,834415,恒拓开源,7.6,4.4,0.32,-0.13,6.65,1.3,8.52,0.69亿,1.38亿,10.48亿,72.12
30,31,300304,云意电气,6.46,4.87,0.3,0.0,3.6,4.73,6.01,1.96亿,8.52亿,55.05亿,18.53
31,32,600547,山东黄金,31.65,0.93,0.29,-0.06,0.73,0.96,2.3,8.33亿,36.14亿,1143.97亿,60.82
32,33,831961,创远信科,11.21,2.66,0.29,0.0,1.74,1.14,5.68,0.21亿,1.05亿,11.82亿,47.69
33,34,300902,国安达,32.44,0.87,0.28,0.06,5.81,2.87,10.88,1.56亿,0.81亿,26.14亿,236.36
34,35,603298,杭叉集团,28.91,0.94,0.27,-0.17,0.3,0.92,2.2,0.81亿,9.36亿,270.48亿,15.54
35,36,600986,浙文互联,5.13,4.91,0.24,-0.39,7.44,3.66,14.11,4.97亿,13.22亿,67.84亿,49.98
36,37,600066,宇通客车,21.76,1.02,0.22,0.09,0.45,0.62,2.18,2.18亿,22.14亿,481.75亿,26.51
37,38,688510,航亚科技,17.29,1.29,0.22,-0.06,0.67,1.07,2.81,0.30亿,2.58亿,44.67亿,49.53
38,39,002608,江苏国信,8.53,2.52,0.21,0.12,0.73,2.03,5.05,2.34亿,37.78亿,322.27亿,17.23
39,40,300339,润和软件,25.04,0.81,0.2,0.72,7.52,2.12,3.42,14.65亿,7.78亿,194.73亿,152.35
40,41,601567,三星医疗,29.82,0.61,0.18,-0.3,0.27,0.69,3.34,1.11亿,13.95亿,415.96亿,21.19
41,42,600903,贵州燃气,7.44,2.34,0.17,-0.13,0.97,2.23,3.71,0.83亿,11.50亿,85.56亿,37.38
42,43,836263,中航泰达,6.4,2.73,0.17,0.16,0.8,2.84,3.69,0.05亿,1.02亿,6.51亿,11.30
43,44,002561,徐家汇,9.34,1.74,0.16,0.22,7.83,3.19,4.03,3.01亿,4.14亿,38.71亿,51.62
44,45,003007,直真科技,31.32,0.51,0.16,0.0,1.53,1.07,3.92,0.50亿,1.03亿,32.21亿,--
45,46,000426,兴业银锡,12.8,1.19,0.15,0.0,3.01,1.31,4.43,5.77亿,14.78亿,189.17亿,32.48
46,47,300353,东土科技,9.85,1.55,0.15,0.1,2.69,2.19,2.37,1.39亿,5.22亿,51.44亿,--
47,48,603878,武进不锈,8.98,1.7,0.15,0.0,1.04,1.0,3.85,0.52亿,5.61亿,50.38亿,13.84
48,49,002033,丽江股份,10.5,1.06,0.11,0.0,5.23,1.81,4.62,3.01亿,5.49亿,57.70亿,25.37
