,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,000665,湖北广电,4.65,9.93,0.42,744298,329382529.55,12.77,4.65,4.11,4.28,4.23,6.55,-11.34,1.09
1,2,601519,大智慧,8.73,6.08,0.5,1339230,1156086851.0,7.9,9.0,8.35,8.5,8.23,6.68,-65.22,12.17
2,3,000829,天音控股,14.92,4.92,0.7,1166073,1707453716.71,10.55,15.3,13.8,14.08,14.22,11.39,782.22,5.13
3,4,002117,东港股份,7.95,0.76,0.06,133624,106866613.37,4.18,8.14,7.81,7.95,7.89,2.45,40.56,3.22
4,5,300033,同花顺,201.67,0.39,0.79,106002,2162342576.23,3.47,207.97,201.0,203.4,200.88,3.88,124.91,15.99
5,6,002197,ST证通,4.96,0.0,0.0,294101,145168666.67,6.65,5.12,4.79,4.93,4.96,5.51,-40.23,1.26
6,7,002181,粤 传 媒,4.36,-0.23,-0.01,642925,288455021.9,8.01,4.68,4.33,4.68,4.37,5.67,-52.81,1.22
7,8,000997,新 大 陆,17.98,-1.15,-0.21,187689,338185105.77,2.58,18.27,17.8,18.2,18.19,1.83,17.0,2.65
8,9,600138,中青旅,10.25,-1.16,-0.12,104394,108035693.0,2.03,10.46,10.25,10.4,10.37,1.44,51.12,1.19
9,10,603000,人民网,23.19,-1.44,-0.34,421826,1000573903.0,6.08,24.54,23.11,24.33,23.53,3.82,802.15,7.21
10,11,002697,红旗连锁,5.11,-1.73,-0.09,176478,91445994.25,4.04,5.32,5.11,5.3,5.2,1.64,13.03,1.65
11,12,002376,新北洋,7.14,-1.79,-0.13,156837,112562935.46,2.75,7.28,7.08,7.17,7.27,2.51,88.94,1.52
12,13,300651,金陵体育,13.48,-1.96,-0.27,23491,31911012.0,3.93,13.94,13.4,13.84,13.75,3.13,59.76,2.22
13,14,601216,君正集团,4.16,-2.12,-0.09,378881,158782771.0,2.12,4.25,4.16,4.24,4.25,0.45,11.59,1.36
14,15,600433,冠豪高新,3.23,-2.12,-0.07,142523,46223546.0,3.33,3.32,3.21,3.31,3.3,0.81,60.92,1.26
15,16,002235,安妮股份,5.28,-2.22,-0.12,176845,94458647.61,3.89,5.49,5.28,5.46,5.4,3.19,129.87,4.17
16,17,002277,友阿股份,2.83,-2.75,-0.08,337690,96424368.0,3.09,2.92,2.83,2.92,2.91,2.42,20.06,0.58
17,18,600238,海南椰岛,8.08,-2.88,-0.24,91493,74660329.0,3.13,8.33,8.07,8.32,8.32,2.06,391.23,14.53
18,19,600358,国旅联合,4.19,-3.01,-0.13,337408,144276961.0,6.48,4.44,4.16,4.3,4.32,6.68,-57.5,17.38
19,20,600158,中体产业,7.95,-3.28,-0.27,190895,153433810.0,3.89,8.25,7.93,8.23,8.22,1.99,247.0,2.94
20,21,600640,国脉文化,13.02,-4.12,-0.56,208600,276449468.0,9.94,14.27,12.92,14.25,13.58,2.62,585.17,2.61
21,22,002229,鸿博股份,15.54,-4.6,-0.75,995958,1547108029.81,6.51,16.11,15.05,15.64,16.29,20.2,-97.45,5.11
