,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300030,阳普医疗,5.83,19.96,0.97,369695.0,215016510.8,8.85,5.83,5.4,5.83,4.86,13.58,-170.85,2.51
1,2,300157,新锦动力,2.48,19.81,0.41,601048.0,146216228.86,19.32,2.48,2.08,2.08,2.07,8.62,-12.34,-9.17
2,3,002622,皓宸医疗,1.72,10.26,0.16,137880.0,23715428.8,0.0,1.72,1.72,1.72,1.56,1.64,1305.18,3.32
3,4,600561,江西长运,4.6,10.05,0.42,161717.0,73839412.0,8.85,4.6,4.23,4.25,4.18,5.68,159.64,1.44
4,5,000995,皇台酒业,9.13,10.0,0.83,106269.0,95058177.23,9.64,9.13,8.33,8.35,8.3,5.99,-203.86,13.69
5,6,002816,和科达,8.15,9.99,0.74,1411.0,1150339.9,0.0,8.15,8.15,8.15,7.41,0.14,-18.02,3.22
6,7,002058,威尔泰,8.15,9.99,0.74,67512.0,54332156.95,10.12,8.15,7.4,7.4,7.41,4.72,-75.78,8.64
7,8,000586,汇源通信,7.71,9.99,0.7,77163.0,57672306.88,10.98,7.71,6.94,7.09,7.01,3.99,-125.83,4.56
8,9,300948,冠中生态,8.97,7.17,0.6,99363.0,89242615.97,15.29,9.66,8.38,8.38,8.37,7.6,73.31,1.47
9,10,301006,迈拓股份,11.39,7.15,0.76,50194.0,57952438.55,17.22,12.38,10.55,10.68,10.63,5.83,24.83,1.32
10,11,300635,中达安,8.2,6.22,0.48,169421.0,139808656.02,19.69,9.0,7.48,7.63,7.72,14.11,121.02,2.61
11,12,300588,熙菱信息,8.51,5.58,0.45,141752.0,117554674.95,6.33,8.54,8.03,8.05,8.06,10.6,-38.57,4.52
12,13,603042,华脉科技,10.26,5.56,0.54,162564.0,164310668.0,8.33,10.45,9.64,9.88,9.72,10.12,-202.01,1.87
13,14,688251,井松智能,14.45,5.55,0.76,16868.0,24005486.0,5.11,14.51,13.81,13.9,13.69,3.24,24.29,1.53
14,15,603188,亚邦股份,2.54,5.39,0.13,315569.0,81935510.0,7.05,2.65,2.48,2.56,2.41,5.53,91.26,1.42
15,16,300076,GQY视讯,3.69,5.13,0.18,281093.0,101659390.0,6.84,3.72,3.48,3.51,3.51,6.63,-52.65,1.61
16,17,000663,永安林业,4.36,5.06,0.21,213906.0,93380175.41,8.43,4.55,4.2,4.21,4.15,6.98,-35.75,1.36
17,18,301001,凯淳股份,19.75,5.05,0.95,51241.0,98920163.0,6.06,19.75,18.61,19.08,18.8,10.19,220.1,1.95
