,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300280,紫天科技,17.4,10.69,1.68,444031,753804314.6,17.24,18.34,15.63,15.63,15.72,27.67,249.81,2.3
1,2,002131,利欧股份,2.28,10.14,0.21,7325413,1627964475.63,12.08,2.28,2.03,2.04,2.07,12.52,-72.58,1.2
2,3,603366,日出东方,9.66,10.02,0.88,1431512,1346789302.0,15.49,9.66,8.3,9.1,8.78,17.76,87.6,1.97
3,4,301171,易点天下,30.73,9.71,2.72,1154500,3696804939.11,14.1,33.61,29.66,29.99,28.01,37.39,55.78,4.13
4,5,300058,蓝色光标,9.92,7.48,0.69,6509826,6650353475.18,14.52,10.86,9.52,9.54,9.23,26.58,152.66,3.15
5,6,301428,世纪恒通,35.41,4.98,1.68,100077,351714587.7,9.22,36.66,33.55,33.57,33.73,16.35,39.92,2.79
6,7,300766,每日互动,16.12,4.47,0.69,583489,962248895.41,13.87,17.58,15.44,15.44,15.43,16.41,747.15,3.91
7,8,300781,因赛集团,74.99,3.08,2.24,148529,1128571151.25,7.9,78.5,72.75,72.75,72.75,18.31,170.53,11.56
8,9,600986,浙文互联,5.99,2.92,0.17,1006267,610753753.0,5.5,6.2,5.88,5.88,5.82,7.61,42.39,1.72
9,10,603598,引力传媒,16.0,2.5,0.39,316723,516897472.0,7.94,16.69,15.45,15.58,15.61,11.82,165.15,19.7
10,11,002878,元隆雅图,12.84,2.39,0.3,269128,347740706.69,4.39,13.08,12.53,12.53,12.54,11.52,113.38,2.18
11,12,002264,新 华 都,6.04,2.03,0.12,350941,213795315.04,6.42,6.28,5.9,5.9,5.92,5.36,17.13,2.43
12,13,300459,汤姆猫,5.57,2.01,0.11,4136651,2348809871.54,8.06,5.84,5.4,5.4,5.46,13.06,175.87,5.88
13,14,300846,首都在线,14.19,1.07,0.15,416020,602472668.73,6.77,14.98,14.03,14.1,14.04,10.66,-36.37,6.62
14,15,603999,读者传媒,5.97,0.84,0.05,123236,74638023.0,4.22,6.15,5.9,5.9,5.92,2.14,35.97,1.72
15,16,000607,华媒控股,3.94,0.25,0.01,199393,79821474.26,4.07,4.08,3.92,3.92,3.93,2.29,269.11,2.46
16,17,600556,天下秀,4.85,0.21,0.01,593347,294728065.0,5.37,5.06,4.8,4.83,4.84,3.28,100.52,2.26
17,18,002291,遥望科技,6.67,-0.15,-0.01,1332316,899448015.97,13.17,7.18,6.3,6.44,6.68,15.18,-11.4,1.53
18,19,300770,新媒股份,42.01,-0.59,-0.25,48270,207236330.45,4.42,43.78,41.91,42.26,42.26,2.11,16.88,2.61
19,20,002279,久其软件,6.72,-0.88,-0.06,542375,374839334.63,5.31,7.06,6.7,6.77,6.78,6.8,-19.13,4.35
20,21,300364,中文在线,28.46,-1.52,-0.44,877292,2611237275.55,8.06,30.67,28.34,29.12,28.9,13.27,-82.82,19.96
21,22,002115,三维通信,6.04,-1.63,-0.1,785255,488053815.41,6.03,6.39,6.02,6.08,6.14,10.44,-149.19,2.1
22,23,002035,华帝股份,8.0,-1.96,-0.16,156025,127527019.0,5.15,8.41,7.99,8.12,8.16,2.0,12.6,1.83
23,24,300292,吴通控股,5.34,-2.55,-0.14,641677,353257175.44,5.66,5.65,5.34,5.51,5.48,5.75,67.39,5.24
24,25,002799,环球印务,8.18,-3.2,-0.27,80662,67628575.6,4.38,8.54,8.17,8.42,8.45,2.52,71.49,1.91
25,26,300419,ST浩丰,5.61,-3.77,-0.22,276132,158959662.38,5.15,5.89,5.59,5.78,5.83,7.51,261.74,4.52
26,27,300541,先进数通,13.69,-3.79,-0.54,549648,787629095.58,7.52,14.74,13.67,14.25,14.23,15.05,134.86,3.6
27,28,002862,实丰文化,22.99,-4.09,-0.98,290265,691390992.24,13.73,25.17,21.88,23.64,23.97,32.19,457.5,6.68
28,29,002425,ST凯文,2.32,-4.53,-0.11,645134,153369081.92,5.35,2.44,2.31,2.38,2.43,6.75,-17.4,0.65
29,30,600070,*ST富润,2.01,-5.19,-0.11,196099,39820886.0,4.25,2.1,2.01,2.1,2.12,3.87,-4.9,2.03
30,31,002654,万润科技,14.02,-9.08,-1.4,872812,1275858049.67,9.27,15.37,13.94,15.2,15.42,10.33,267.09,7.86
