,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002906,华阳集团,31.21,2.13,0.65,-0.03,2.14,1.4,3.08,3.48亿,5.24亿,163.62亿,28.76
1,2,300320,海达股份,7.49,4.46,0.32,-0.13,4.7,2.37,10.04,1.72亿,4.90亿,36.71亿,27.86
2,3,300200,高盟新材,7.34,2.94,0.21,0.0,6.78,1.3,11.22,2.14亿,4.24亿,31.11亿,15.02
3,4,002035,华帝股份,7.27,1.82,0.13,0.0,6.6,1.48,4.76,3.76亿,7.81亿,56.74亿,12.42
4,5,002662,京威股份,3.4,2.72,0.09,0.0,3.97,2.98,5.44,2.04亿,15.00亿,51.00亿,11.58
5,6,001210,金房能源,16.2,0.56,0.09,-0.12,5.44,1.21,2.3,0.46亿,0.52亿,8.41亿,3.58
6,7,300117,*ST嘉寓,1.37,3.79,0.05,0.0,7.16,1.26,6.82,0.69亿,7.17亿,9.82亿,--
7,8,002249,大洋电机,5.36,0.94,0.05,0.0,2.03,1.07,2.26,1.94亿,17.93亿,96.09亿,15.45
8,9,300625,三雄极光,12.6,0.16,0.02,0.0,1.98,0.73,2.07,0.39亿,1.59亿,20.03亿,61.98
9,10,002048,宁波华翔,13.92,0.14,0.02,0.0,1.48,0.93,2.52,1.08亿,5.22亿,72.69亿,12.68
10,11,002510,天汽模,4.1,0.24,0.01,0.0,3.75,1.11,4.65,1.44亿,9.32亿,38.20亿,39.91
11,12,603216,梦天家居,10.11,0.1,0.01,0.0,3.77,1.07,1.88,0.22亿,0.57亿,5.73亿,85.75
12,13,600335,国机汽车,7.13,-0.14,-0.01,0.14,1.02,0.93,3.36,1.08亿,14.96亿,106.65亿,21.74
13,14,000592,平潭发展,1.99,-0.5,-0.01,0.0,1.93,1.38,3.5,0.73亿,19.14亿,38.09亿,--
14,15,002482,*ST广田,1.78,-0.56,-0.01,0.57,0.28,0.68,3.35,0.18亿,37.43亿,66.63亿,--
15,16,002285,世联行,1.84,-1.07,-0.02,-0.54,2.77,2.43,5.91,1.01亿,19.76亿,36.36亿,--
16,17,002620,瑞和股份,3.11,-1.27,-0.04,-0.64,4.69,1.3,9.52,0.46亿,3.15亿,9.80亿,--
17,18,002239,奥特佳,2.82,-1.4,-0.04,0.0,1.87,1.05,3.5,1.72亿,32.43亿,91.46亿,58.37
18,19,600149,廊坊发展,3.77,-1.31,-0.05,-0.27,2.21,1.01,5.24,0.32亿,3.80亿,14.33亿,94.19
19,20,002375,亚厦股份,3.94,-1.25,-0.05,-0.25,0.82,1.21,3.26,0.42亿,13.27亿,52.28亿,20.33
20,21,002429,兆驰股份,5.43,-1.09,-0.06,0.0,0.78,1.12,2.19,1.93亿,45.24亿,245.67亿,14.82
21,22,600819,耀皮玻璃,4.68,-1.27,-0.06,0.0,1.38,1.0,2.95,0.48亿,7.47亿,34.98亿,90.24
22,23,300276,三丰智能,3.9,-1.51,-0.06,0.0,3.22,0.97,3.54,1.27亿,10.06亿,39.22亿,129.35
23,24,002775,文科股份,2.45,-2.78,-0.07,0.0,2.5,1.27,4.37,0.28亿,4.48亿,10.98亿,--
24,25,000700,模塑科技,6.67,-1.04,-0.07,0.0,2.57,0.93,3.41,1.58亿,9.18亿,61.23亿,10.60
25,26,002047,宝鹰股份,1.82,-3.7,-0.07,-0.55,1.4,1.29,5.82,0.34亿,13.41亿,24.41亿,--
26,27,603035,常熟汽饰,15.58,-0.51,-0.08,0.0,1.82,1.1,1.66,1.08亿,3.80亿,59.21亿,14.18
27,28,603030,*ST全筑,1.98,-4.35,-0.09,0.0,1.18,1.5,3.38,0.31亿,13.17亿,26.08亿,--
28,29,600973,宝胜股份,4.23,-2.08,-0.09,-0.24,1.32,0.83,2.78,0.77亿,13.71亿,58.01亿,70.64
29,30,002009,天奇股份,14.67,-0.61,-0.09,0.0,11.27,3.36,5.22,6.17亿,3.74亿,54.81亿,636.86
30,31,601311,骆驼股份,8.24,-1.2,-0.1,-0.12,1.21,1.17,1.44,1.18亿,11.73亿,96.67亿,15.51
31,32,300155,安居宝,3.61,-2.96,-0.11,-0.55,2.99,1.03,6.72,0.36亿,3.30亿,11.93亿,--
32,33,600523,贵航股份,11.47,-1.38,-0.16,0.0,1.63,0.57,2.58,0.76亿,4.04亿,46.34亿,31.57
33,34,002508,老板电器,23.69,-0.67,-0.16,-0.04,1.21,0.6,3.31,2.71亿,9.37亿,221.92亿,14.11
34,35,002853,皮阿诺,8.45,-2.09,-0.18,0.0,4.45,0.94,4.06,0.50亿,1.32亿,11.18亿,--
35,36,002718,友邦吊顶,11.9,-2.06,-0.25,-0.25,3.27,1.35,3.04,0.25亿,0.65亿,7.76亿,246.20
36,37,002789,建艺集团,8.91,-3.05,-0.28,-0.34,2.53,1.24,5.55,0.30亿,1.31亿,11.69亿,60.04
