,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300005,探路者,5.35,5.52,0.28,375916,196475453.44,6.31,5.37,5.05,5.2,5.07,4.26,27.65,2.27
1,2,300382,斯莱克,6.64,4.4,0.28,464697,303151215.25,10.69,6.78,6.1,6.34,6.36,7.4,118.38,1.94
2,3,688365,光云科技,5.68,4.22,0.23,75174,41717090.0,6.42,5.73,5.38,5.48,5.45,1.77,-35.09,2.44
3,4,003010,若羽臣,12.13,2.8,0.33,66108,79661207.88,3.47,12.17,11.76,11.79,11.8,5.28,26.2,2.01
4,5,002995,天地在线,13.61,1.72,0.23,23719,31792074.0,3.89,13.66,13.14,13.43,13.38,2.11,-53.96,2.47
5,6,603825,华扬联众,8.23,1.23,0.1,46241,37649794.0,2.95,8.25,8.01,8.13,8.13,1.83,-10.16,2.44
6,7,603600,XD永艺股,9.45,1.07,0.1,17605,16465481.0,2.67,9.46,9.21,9.39,9.35,0.59,12.39,1.46
7,8,603608,*ST天创,2.95,1.03,0.03,13610,4023345.0,3.42,3.0,2.9,2.95,2.92,0.32,-65.59,1.14
8,9,600398,海澜之家,5.44,0.74,0.04,446594,238252058.0,4.26,5.46,5.23,5.4,5.4,0.93,7.98,1.49
9,10,002269,美邦服饰,1.39,0.72,0.01,406734,56196636.0,2.17,1.4,1.37,1.39,1.38,1.62,22.74,6.3
10,11,002515,金字火腿,4.29,0.7,0.03,85191,36054349.2,2.35,4.29,4.19,4.22,4.26,0.75,84.84,2.0
11,12,301287,康力源,24.13,0.5,0.12,3505,8400881.0,2.42,24.24,23.66,23.96,24.01,2.1,26.75,1.47
12,13,600300,维维股份,2.35,0.43,0.01,113105,26441496.0,2.14,2.36,2.31,2.34,2.34,0.7,12.61,1.18
13,14,002820,桂发祥,7.18,0.28,0.02,29543,21159225.0,2.65,7.26,7.07,7.2,7.16,1.48,31.74,1.57
14,15,300908,仲景食品,23.24,0.22,0.05,4253,9827912.6,2.33,23.42,22.88,23.2,23.19,0.34,16.92,2.02
15,16,002124,ST天邦,2.26,0.0,0.0,177120,39973426.0,2.65,2.29,2.23,2.26,2.26,0.9,2.99,1.64
16,17,000564,供销大集,1.62,0.0,0.0,690630,110942904.93,1.85,1.62,1.59,1.61,1.62,0.45,-350.6,1.94
17,18,002599,盛通股份,4.87,-0.2,-0.01,81030,38866237.0,3.69,4.91,4.73,4.91,4.88,2.01,-81.36,1.84
18,19,603719,良品铺子,10.15,-0.29,-0.03,28126,28356301.0,3.14,10.28,9.96,10.28,10.18,0.7,85.18,1.69
19,20,002277,友阿股份,2.24,-0.44,-0.01,235290,52494359.0,3.56,2.28,2.2,2.26,2.25,1.69,15.88,0.46
20,21,600400,红豆股份,2.12,-0.47,-0.01,104853,22082052.0,2.82,2.14,2.08,2.14,2.13,0.46,55.05,1.67
21,22,300027,华谊兄弟,2.05,-0.49,-0.01,1053307,214238364.0,3.4,2.08,2.01,2.07,2.06,4.24,115.06,8.06
22,23,002024,ST易购,1.34,-0.74,-0.01,111172,14951150.19,2.96,1.37,1.33,1.36,1.35,0.12,420.73,1.08
