,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,688225,亚信安全,11.21,6.86,0.72,28694,32201497.0,13.16,11.85,10.47,10.48,10.49,1.5,-11.67,2.3
1,2,301270,汉仪股份,26.57,6.24,1.56,51033,132805726.91,8.56,26.8,24.66,25.03,25.01,6.89,918.48,2.66
2,3,300663,科蓝软件,10.83,5.87,0.6,454582,477228854.36,9.58,10.94,9.96,10.18,10.23,10.96,-738.09,4.92
3,4,300571,平治信息,20.16,4.62,0.89,34336,67815178.0,6.75,20.23,18.93,19.25,19.27,2.97,463.33,1.78
4,5,300449,汉邦高科,4.76,3.93,0.18,104336,48895184.2,5.46,4.77,4.52,4.62,4.58,3.52,-329.49,4.4
5,6,300081,恒信东方,4.61,2.67,0.12,187273,84154900.0,6.24,4.63,4.35,4.5,4.49,3.1,-17.76,1.88
6,7,300079,数码视讯,4.24,2.66,0.11,354181,147186200.0,5.57,4.26,4.03,4.14,4.13,2.76,5160.33,1.44
7,8,300352,北信源,3.49,2.65,0.09,210672,72126006.75,5.59,3.53,3.34,3.41,3.4,1.72,-38.54,3.42
8,9,300166,东方国信,6.33,2.59,0.16,210557,131580966.41,5.67,6.42,6.07,6.19,6.17,2.33,239.26,1.2
9,10,000925,众合科技,5.59,2.01,0.11,79932,43947337.17,3.83,5.6,5.39,5.5,5.48,1.46,-21.64,1.16
10,11,000681,视觉中国,10.92,1.87,0.2,72514,78052354.0,4.57,11.04,10.55,10.79,10.72,1.07,75.22,2.19
11,12,300220,金运激光,6.81,1.49,0.1,20363,13695860.8,3.28,6.82,6.6,6.71,6.71,1.35,394.74,16.83
12,13,003029,吉大正元,17.11,1.12,0.19,42069,70682595.9,4.49,17.19,16.43,16.99,16.92,2.46,-53.11,2.63
13,14,002229,鸿博股份,8.93,1.02,0.09,260745,229527376.56,4.64,9.01,8.6,8.91,8.84,5.29,-56.24,2.95
14,15,603687,大胜达,5.92,0.85,0.05,31656,18506305.0,2.9,5.95,5.78,5.88,5.87,0.58,33.66,1.01
15,16,002228,合兴包装,2.45,0.82,0.02,51431,12507259.66,2.88,2.47,2.4,2.44,2.43,0.42,17.02,0.96
16,17,002197,ST证通,3.32,-1.19,-0.04,144700,48338119.0,3.87,3.42,3.29,3.38,3.36,2.71,-26.16,0.83
