,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002657,中科金财,25.54,9.99,2.32,131785,336578277.04,0.0,25.54,25.54,25.54,23.22,3.92,-83.15,4.8
1,2,300248,新开普,12.18,8.65,0.97,849753,1027172545.28,16.24,13.18,11.36,11.84,11.21,20.77,419.39,2.8
2,3,300462,华铭智能,11.4,4.97,0.54,369635,430285844.5,15.65,12.5,10.8,10.85,10.86,27.03,-29.4,1.49
3,4,002822,ST中装,3.45,4.86,0.16,133190,45271818.45,8.21,3.45,3.18,3.29,3.29,2.55,-2.32,1.37
4,5,300645,正元智慧,18.4,4.19,0.74,257054,472336184.64,7.36,19.0,17.7,17.98,17.66,18.09,195.33,2.55
5,6,301153,中科江南,33.39,2.77,0.9,132701,446398821.44,6.89,34.65,32.41,32.51,32.49,6.45,1293.18,6.97
6,7,300531,优博讯,19.33,2.76,0.52,435548,834619846.09,8.83,19.95,18.29,18.8,18.81,13.82,272.24,4.21
7,8,300047,天源迪科,17.25,2.13,0.36,1698960,2994153433.07,11.25,18.4,16.5,16.59,16.89,30.91,255.95,3.3
8,9,300130,新国都,27.6,2.11,0.57,459189,1278777988.63,4.62,28.5,27.25,27.38,27.03,10.75,39.02,3.61
9,10,300085,银之杰,49.41,1.88,0.91,811534,4085089297.38,7.61,52.0,48.31,48.5,48.5,12.78,-415.67,57.84
10,11,603825,华扬联众,13.43,1.51,0.2,260097,353881565.0,5.14,13.98,13.3,13.46,13.23,10.27,-11.35,4.58
11,12,300386,飞天诚信,20.75,1.32,0.27,1014038,2111937249.46,12.21,22.0,19.5,19.8,20.48,40.85,-288.6,5.7
12,13,688590,新致软件,16.24,1.18,0.19,229350,385157770.0,9.72,17.58,16.02,16.02,16.05,8.79,99.29,3.08
13,14,601528,瑞丰银行,5.55,1.09,0.06,537424,298674309.0,4.55,5.66,5.41,5.47,5.49,3.15,5.67,0.61
14,15,300468,四方精创,22.5,0.9,0.2,682870,1554582797.82,7.71,23.38,21.66,21.8,22.3,12.91,170.49,7.37
15,16,600226,亨通股份,2.41,0.84,0.02,335477,81033176.0,3.77,2.46,2.37,2.4,2.39,1.1,29.51,2.16
16,17,002152,广电运通,12.38,0.73,0.09,843053,1067961325.48,6.35,13.05,12.27,12.28,12.29,3.4,34.27,2.5
17,18,300348,长亮科技,17.92,0.39,0.07,938099,1722477269.15,8.57,18.88,17.35,17.5,17.85,14.86,2717.97,7.18
