,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300571,平治信息,20.16,4.62,0.89,34336,67815178.0,6.75,20.23,18.93,19.25,19.27,2.97,463.33,1.78
1,2,002362,汉王科技,15.35,2.54,0.38,37303,56423779.8,4.48,15.43,14.76,14.97,14.97,1.8,-36.93,3.12
2,3,300603,立昂技术,7.28,2.39,0.17,69228,49585757.0,4.5,7.3,6.98,7.09,7.11,1.94,-101.59,2.38
3,4,301428,世纪恒通,25.25,2.1,0.52,11995,30016755.96,3.11,25.38,24.61,24.91,24.73,1.96,29.68,2.01
4,5,000727,冠捷科技,1.97,2.07,0.04,736756,143218924.04,4.66,1.99,1.9,1.94,1.93,1.63,83.57,2.94
5,6,603533,掌阅科技,15.86,2.06,0.32,54199,84454620.0,4.25,15.95,15.29,15.58,15.54,1.23,-72.95,2.82
6,7,300364,中文在线,17.09,1.79,0.3,219496,368914970.0,4.47,17.17,16.42,16.9,16.79,3.32,-41.56,11.33
7,8,301025,读客文化,8.38,1.7,0.14,31625,26107343.84,3.52,8.39,8.1,8.25,8.24,1.22,145.4,5.4
8,9,601900,南方传媒,12.91,1.65,0.21,84011,106865718.0,3.62,12.93,12.47,12.7,12.7,0.94,19.33,1.49
9,10,601928,凤凰传媒,11.6,1.4,0.16,150376,172418099.0,2.8,11.63,11.31,11.48,11.44,0.59,12.06,1.55
10,11,000719,中原传媒,11.04,1.38,0.15,59738,65303650.49,2.66,11.08,10.79,10.89,10.89,0.9,15.97,1.04
11,12,600640,国脉文化,9.65,1.37,0.13,56407,53554521.0,4.31,9.71,9.3,9.66,9.52,0.71,327.84,1.94
12,13,600229,城市传媒,6.53,1.08,0.07,30268,19458111.0,3.25,6.55,6.34,6.45,6.46,0.45,13.96,1.35
13,14,603096,新经典,15.23,0.86,0.13,8156,12247805.0,2.25,15.24,14.9,15.19,15.1,0.5,13.59,1.32
14,15,300788,中信出版,24.17,0.62,0.15,33822,80875973.44,2.96,24.31,23.6,24.01,24.02,1.78,24.74,2.15
15,16,600373,中文传媒,14.13,0.43,0.06,72842,102171610.0,2.35,14.19,13.86,14.07,14.07,0.54,15.62,1.07
16,17,000829,天音控股,8.87,-0.45,-0.04,267012,235516249.7,4.71,9.08,8.66,8.88,8.91,2.61,465.03,3.05
17,18,601811,新华文轩,14.49,-0.89,-0.13,35013,50654313.0,3.15,14.77,14.31,14.71,14.62,0.44,12.49,1.32
18,19,600226,亨通股份,1.85,-1.07,-0.02,126576,23380647.0,3.21,1.88,1.82,1.87,1.87,0.41,24.28,1.66
