,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,002777,久远银海,13.16,7.08,0.87,253048,324762990.76,10.9,13.46,12.12,12.43,12.29,6.26,239.15,3.29
1,2,301270,汉仪股份,26.57,6.24,1.56,51033,132805726.91,8.56,26.8,24.66,25.03,25.01,6.89,918.48,2.66
2,3,300635,中达安,8.2,6.22,0.48,169421,139808656.02,19.69,9.0,7.48,7.63,7.72,14.11,121.02,2.61
3,4,603138,海量数据,12.21,6.17,0.71,130319,155896207.0,8.61,12.3,11.31,11.49,11.5,4.6,-74.53,4.31
4,5,300663,科蓝软件,10.83,5.87,0.6,454582,477228854.36,9.58,10.94,9.96,10.18,10.23,10.96,-738.09,4.92
5,6,831175,派诺科技,9.05,5.85,0.5,9713,8672667.88,7.02,9.15,8.55,8.64,8.55,2.41,93.15,0.98
6,7,002912,中新赛克,16.02,4.91,0.75,42322,67041701.23,8.91,16.43,15.07,15.12,15.27,2.61,-14.49,1.79
7,8,300560,中富通,12.24,3.99,0.47,259386,309317793.5,7.48,12.32,11.44,11.7,11.77,13.87,126.58,2.58
8,9,300895,铜牛信息,25.06,3.98,0.96,21624,53299453.43,5.06,25.1,23.88,24.34,24.1,1.56,-44.02,3.8
9,10,300766,每日互动,10.24,3.96,0.39,217388,219528903.51,5.79,10.25,9.68,9.76,9.85,6.11,484.14,2.46
10,11,835207,众诚科技,6.66,3.74,0.24,14171,9302470.96,5.45,6.72,6.37,6.46,6.42,2.54,-15.34,2.01
11,12,300520,科大国创,14.35,3.61,0.5,68146,96222431.66,5.78,14.48,13.68,13.88,13.85,2.46,-106.11,2.24
12,13,300348,长亮科技,7.76,3.6,0.27,213403,163179569.0,6.01,7.8,7.35,7.49,7.49,3.41,1700.35,3.13
13,14,688207,格灵深瞳,10.38,3.59,0.36,34469,34915466.0,6.19,10.48,9.86,10.11,10.02,1.93,-17.25,1.22
14,15,300609,汇纳科技,23.06,3.55,0.79,46873,106868105.48,4.49,23.08,22.08,22.27,22.27,3.91,-42.36,2.66
15,16,301159,三维天地,26.12,3.49,0.88,14334,36863284.74,5.27,26.23,24.9,25.35,25.24,4.59,-14.66,2.59
16,17,688031,星环科技-U,26.53,3.47,0.89,13285,34576227.0,5.58,26.84,25.41,25.56,25.64,1.44,-8.38,2.54
17,18,301299,卓创资讯,37.8,3.31,1.21,7361,27343277.0,4.56,37.9,36.23,36.59,36.59,2.09,28.81,3.67
18,19,300229,拓尔思,11.46,3.24,0.36,129912,146672077.0,5.59,11.58,10.96,11.2,11.1,1.63,76.19,2.69
19,20,688023,安恒信息,29.44,3.23,0.92,20100,57943699.0,6.31,29.75,27.95,28.5,28.52,1.97,-5.46,1.28
20,21,688292,浩瀚深度,13.27,3.11,0.4,13979,18230498.0,5.21,13.39,12.72,12.9,12.87,1.55,30.85,2.01
21,22,300366,创意信息,7.33,3.09,0.22,146629,105674839.94,4.78,7.37,7.03,7.11,7.11,2.76,-19.21,2.45
22,23,301218,华是科技,18.3,2.98,0.53,19315,34834910.0,4.33,18.38,17.61,17.8,17.77,3.39,-96.15,2.27
23,24,301378,通达海,18.33,2.98,0.53,10909,19632596.9,4.49,18.44,17.64,17.88,17.8,2.49,-24.18,1.29
