,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300481,濮阳惠成,16.99,9.4,1.46,0.0,14.02,3.73,10.62,7.24亿,2.94亿,49.94亿,22.86
1,2,300930,屹通新材,20.98,7.1,1.39,0.19,11.91,2.78,10.01,1.11亿,0.47亿,9.89亿,51.93
2,3,002802,洪汇新材,11.29,10.04,1.03,0.0,9.49,2.73,14.33,1.85亿,1.81亿,20.42亿,135.84
3,4,300777,中简科技,27.23,3.5,0.92,-0.11,3.87,1.81,7.07,4.36亿,4.24亿,115.39亿,50.52
4,5,838163,方大新材,16.17,5.69,0.87,0.0,1.09,0.81,14.57,0.10亿,0.61亿,9.84亿,38.29
5,6,300905,宝丽迪,40.9,2.05,0.82,-0.05,17.63,0.84,9.11,8.56亿,1.17亿,48.05亿,69.84
6,7,000962,东方钽业,12.23,5.98,0.69,-0.08,15.17,4.64,4.68,9.39亿,4.96亿,60.62亿,31.06
7,8,002271,东方雨虹,15.62,4.2,0.63,0.0,4.5,1.44,6.34,13.76亿,19.96亿,311.72亿,28.28
8,9,688190,云路股份,79.18,0.8,0.63,0.14,1.13,0.58,2.88,0.54亿,0.61亿,48.15亿,31.41
9,10,603260,合盛硅业,53.06,1.1,0.58,0.04,0.27,0.84,2.95,1.54亿,10.74亿,569.95亿,29.71
10,11,603225,新凤鸣,15.56,3.73,0.56,-0.06,3.38,2.19,11.6,7.93亿,15.25亿,237.25亿,21.55
11,12,600719,大连热电,8.11,6.71,0.51,0.0,9.78,3.29,9.74,3.17亿,4.05亿,32.81亿,32.47
12,13,000151,中成股份,11.52,4.35,0.48,0.17,7.87,1.6,9.06,2.37亿,2.67亿,30.71亿,--
13,14,600176,中国巨石,13.07,3.32,0.42,0.0,1.2,0.95,3.79,6.20亿,40.03亿,523.21亿,37.34
14,15,600885,宏发股份,28.9,1.44,0.41,0.0,0.77,0.89,2.81,2.30亿,10.43亿,301.33亿,21.16
15,16,300169,天晟新材,6.27,6.81,0.4,0.16,25.6,1.32,11.24,4.76亿,3.02亿,18.92亿,--
16,17,688281,华秦科技,141.9,0.28,0.4,-0.04,2.3,0.9,4.6,1.15亿,0.35亿,49.33亿,43.12
17,18,605183,确成股份,17.68,2.26,0.39,0.0,0.9,0.92,3.12,0.66亿,4.16亿,73.53亿,15.08
