,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,300157,新锦动力,2.48,19.81,0.41,601048,146216228.86,19.32,2.48,2.08,2.08,2.07,8.62,-12.34,-9.17
1,2,002036,联创电子,8.99,10.04,0.82,2040578,1764496745.65,11.02,8.99,8.09,8.69,8.17,19.37,-73.91,3.6
2,3,300091,金通灵,1.53,4.79,0.07,333417,50795473.12,6.85,1.57,1.47,1.47,1.46,2.5,-15.07,1.19
3,4,002313,日海智能,6.1,3.92,0.23,57559,34323893.99,5.11,6.1,5.8,5.88,5.87,1.54,-30.04,14.16
4,5,300353,东土科技,7.86,3.69,0.28,152202,118508428.6,3.69,7.88,7.6,7.65,7.58,2.91,-25.95,2.38
5,6,300159,新研股份,2.27,3.65,0.08,960893,218604861.32,6.85,2.33,2.18,2.18,2.19,6.53,-12.44,-33.6
6,7,300903,科翔股份,6.62,3.44,0.22,91520,59436174.5,4.53,6.62,6.33,6.4,6.4,2.78,-13.95,1.31
7,8,300213,佳讯飞鸿,6.05,3.24,0.19,138942,82571929.0,5.29,6.09,5.78,5.88,5.86,2.52,67.59,1.62
8,9,688636,智明达,19.1,3.19,0.59,15711,29668391.0,6.1,19.37,18.24,18.49,18.51,1.4,631.63,1.98
9,10,300322,硕贝德,9.87,3.13,0.3,303568,294403700.0,5.43,9.91,9.39,9.6,9.57,6.82,741.08,4.44
10,11,603660,苏州科达,4.97,3.11,0.15,109025,53095955.0,4.36,4.98,4.77,4.87,4.82,2.21,-4.83,3.54
11,12,300690,双一科技,17.38,2.96,0.5,84044,145345877.7,5.81,17.74,16.76,16.81,16.88,7.63,61.07,2.04
12,13,002929,润建股份,24.8,2.78,0.67,37133,90694949.61,5.14,25.1,23.86,24.15,24.13,1.74,14.81,1.13
13,14,301567,贝隆精密,41.68,2.74,1.11,16354,67276761.0,3.8,41.78,40.24,40.5,40.57,9.09,84.93,4.15
14,15,300079,数码视讯,4.24,2.66,0.11,354181,147186200.0,5.57,4.26,4.03,4.14,4.13,2.76,5160.33,1.44
15,16,688597,煜邦电力,7.86,2.61,0.2,17041,13168544.0,4.18,7.86,7.54,7.54,7.66,0.69,25.06,2.43
16,17,600212,绿能慧充,4.78,2.58,0.12,67696,31721219.0,4.94,4.81,4.58,4.67,4.66,1.32,1633.74,6.29
17,18,001696,宗申动力,12.53,2.45,0.3,1220248,1506083997.02,4.91,12.61,12.01,12.16,12.23,13.69,25.45,2.98
