,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300663,科蓝软件,10.66,8.78,0.86,-0.09,5.3,3.41,12.04,2.30亿,4.15亿,44.22亿,--
1,2,603236,移远通信,46.63,1.83,0.84,0.0,2.75,1.37,4.67,3.42亿,2.65亿,123.37亿,56.32
2,3,300609,汇纳科技,17.6,3.35,0.57,-0.06,1.69,1.31,4.46,0.35亿,1.20亿,21.10亿,--
3,4,300479,神思电子,14.83,2.92,0.42,0.14,1.6,1.44,3.26,0.47亿,1.97亿,29.22亿,--
4,5,000997,新大陆,15.49,2.72,0.41,0.0,1.1,1.51,3.71,1.75亿,10.26亿,158.98亿,16.08
5,6,300306,远方信息,9.46,3.73,0.34,-0.21,3.19,1.06,4.17,0.47亿,1.58亿,14.91亿,48.43
6,7,300656,民德电子,19.28,1.37,0.26,0.0,1.15,0.88,2.47,0.28亿,1.27亿,24.51亿,4041.32
7,8,300562,乐心医疗,9.35,2.52,0.23,0.21,2.22,1.26,3.84,0.33亿,1.60亿,14.95亿,37.10
8,9,300512,中亚股份,6.51,2.84,0.18,0.0,0.77,1.0,3.63,0.16亿,3.28亿,21.35亿,32.22
9,10,300248,新开普,6.94,2.21,0.15,-0.14,0.81,1.08,2.65,0.23亿,4.09亿,28.40亿,--
10,11,002697,红旗连锁,5.1,1.8,0.09,-0.39,0.86,0.94,2.79,0.47亿,10.78亿,54.96亿,10.61
11,12,002419,天虹股份,4.73,1.5,0.07,0.0,0.51,0.97,1.72,0.28亿,11.69亿,55.28亿,9.27
12,13,002161,远望谷,4.88,1.03,0.05,0.21,1.13,1.04,1.66,0.39亿,7.13亿,34.82亿,10.42
13,14,002024,ST易购,1.45,2.11,0.03,0.0,0.21,1.9,4.22,0.28亿,92.00亿,133.40亿,--
14,15,600728,佳都科技,4.03,0.75,0.03,-0.25,0.67,0.93,1.75,0.58亿,21.34亿,85.99亿,--
15,16,600825,新华传媒,4.13,0.0,0.0,0.24,0.89,0.9,1.7,0.38亿,10.45亿,43.15亿,690.36
16,17,300368,ST汇金,2.36,0.0,0.0,0.0,4.22,0.87,3.81,0.53亿,5.29亿,12.48亿,--
17,18,000701,厦门信达,4.18,-0.48,-0.02,0.0,3.02,0.54,2.86,0.81亿,6.40亿,26.77亿,88.32
18,19,300997,欢乐家,13.99,-0.71,-0.1,0.0,1.72,0.96,1.7,0.21亿,0.88亿,12.24亿,19.07
19,20,000564,供销大集,2.03,-6.02,-0.13,0.0,5.37,3.29,16.2,17.53亿,151.82亿,308.19亿,--
20,21,300220,ST金运,9.0,-7.6,-0.74,-0.11,3.29,1.29,10.68,0.46亿,1.51亿,13.59亿,108.85
