,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,002813,路畅科技,32.77,10.0,2.98,0.0,4.17,3.34,0.84,1.61亿,1.18亿,38.70亿,--
1,2,002920,德赛西威,125.87,2.28,2.81,-0.06,0.91,1.04,3.5,6.39亿,5.52亿,694.19亿,45.39
2,3,000977,浪潮信息,40.91,6.29,2.42,0.0,10.05,2.45,5.56,60.33亿,14.70亿,601.48亿,49.13
3,4,301488,豪恩汽电,58.99,2.84,1.63,0.0,27.02,1.41,9.75,3.43亿,0.21亿,12.38亿,75.00
4,5,300807,天迈科技,26.5,6.34,1.58,0.57,17.81,2.62,15.25,2.36亿,0.49亿,12.93亿,--
5,6,003029,吉大正元,27.58,4.87,1.28,0.0,14.07,1.2,13.69,6.60亿,1.71亿,47.13亿,--
6,7,300177,中海达,7.18,20.07,1.2,0.0,28.64,6.5,7.53,12.30亿,6.06亿,43.53亿,--
7,8,002823,凯中精密,12.67,9.98,1.15,0.0,2.12,0.84,0.0,0.47亿,1.77亿,22.38亿,32.69
8,9,300520,科大国创,21.98,4.92,1.03,-0.05,21.58,2.27,13.32,11.07亿,2.33亿,51.23亿,271.86
9,10,300771,智莱科技,10.4,9.59,0.91,-0.19,20.19,2.32,16.75,3.89亿,1.81亿,18.84亿,70.96
10,11,002708,光洋股份,9.7,9.98,0.88,0.0,23.56,2.23,9.07,9.28亿,4.13亿,40.06亿,57.15
11,12,603228,景旺电子,23.5,3.89,0.88,0.0,3.9,4.57,4.73,7.68亿,8.42亿,197.84亿,15.56
12,13,300446,航天智造,16.55,5.55,0.87,0.06,17.27,1.73,5.49,3.93亿,1.39亿,23.06亿,20.93
13,14,002906,华阳集团,31.21,2.13,0.65,-0.03,2.14,1.4,3.08,3.48亿,5.24亿,163.62亿,28.76
14,15,688208,道通科技,26.9,2.4,0.63,-0.26,1.54,0.73,5.25,1.88亿,4.52亿,121.56亿,24.36
15,16,301307,美利信,24.65,2.58,0.62,-0.04,7.55,1.75,11.9,2.03亿,1.07亿,26.38亿,210.75
16,17,688088,虹软科技,33.95,1.86,0.62,-0.06,2.13,1.43,4.71,2.96亿,4.06亿,137.84亿,100.86
17,18,300925,法本信息,10.54,6.04,0.6,-0.1,18.93,6.43,13.98,6.80亿,3.19亿,33.57亿,35.76
18,19,300710,万隆光电,17.74,3.38,0.58,0.11,5.04,1.5,5.25,0.79亿,0.89亿,15.81亿,70.29
19,20,603508,思维列控,21.84,2.54,0.54,0.0,4.34,1.26,7.51,3.55亿,3.81亿,83.27亿,20.75
20,21,300730,科创信息,10.07,5.33,0.51,0.2,11.82,3.47,15.27,2.38亿,1.97亿,19.79亿,--
21,22,002976,瑞玛精密,24.85,1.97,0.48,0.08,11.58,2.49,8.54,1.88亿,0.65亿,16.09亿,333.58
22,23,688272,*ST富吉,17.24,2.74,0.46,0.53,1.62,0.5,3.87,0.08亿,0.28亿,4.76亿,44.50
23,24,603535,嘉诚国际,16.82,2.56,0.42,-0.06,1.36,0.97,1.83,0.50亿,2.18亿,36.68亿,15.00
24,25,688022,瀚川智能,16.72,2.45,0.4,0.0,5.87,1.12,5.39,1.73亿,1.76亿,29.41亿,61.02
25,26,603960,克来机电,27.19,1.46,0.39,0.0,18.55,2.14,7.95,13.17亿,2.62亿,71.13亿,159.37
26,27,300552,万集科技,27.3,1.34,0.36,0.0,20.92,1.72,15.0,7.57亿,1.26亿,34.37亿,--
27,28,300691,联合光电,16.4,2.18,0.35,-0.06,2.72,1.12,3.92,0.85亿,1.93亿,31.71亿,--
28,29,300304,云意电气,7.27,4.91,0.34,0.0,5.2,1.06,6.35,3.18亿,8.52亿,61.96亿,15.27
29,30,300407,凯发电气,7.78,4.43,0.33,0.0,7.53,2.51,7.25,1.44亿,2.44亿,19.00亿,28.41
30,31,600066,宇通客车,25.69,1.22,0.31,-0.19,1.54,1.0,6.46,8.89亿,22.14亿,568.76亿,21.64
31,32,871263,莱赛激光,12.0,2.56,0.3,0.0,6.87,1.52,4.36,0.18亿,0.22亿,2.61亿,95.41
32,33,002355,兴民智通,4.46,6.44,0.27,-0.22,12.41,3.35,5.49,3.48亿,6.18亿,27.57亿,98.67
33,34,002897,意华股份,37.6,0.64,0.24,0.4,4.56,1.04,3.96,2.81亿,1.63亿,61.38亿,21.04
34,35,000680,山推股份,8.09,2.79,0.22,0.0,3.24,1.07,5.46,3.43亿,13.08亿,105.82亿,14.63
35,36,300422,博世科,5.2,4.42,0.22,0.19,4.06,1.36,7.63,0.82亿,3.89亿,20.20亿,9.84
36,37,300656,民德电子,19.66,1.03,0.2,0.0,0.89,1.49,3.13,0.22亿,1.29亿,25.29亿,4157.33
37,38,300031,宝通科技,14.36,1.27,0.18,0.07,7.04,1.68,3.53,3.50亿,3.46亿,49.65亿,17.25
38,39,688071,华依科技,28.56,0.6,0.17,-0.31,4.39,1.54,4.68,0.68亿,0.54亿,15.31亿,--
39,40,688592,司南导航,40.75,0.37,0.15,-0.1,3.86,1.04,5.89,0.21亿,0.14亿,5.53亿,--
40,41,300815,玉禾田,13.76,1.03,0.14,-0.07,1.43,1.2,3.23,0.76亿,3.88亿,53.36亿,9.29
41,42,603776,永安行,11.12,1.27,0.14,0.0,1.79,1.38,3.83,0.46亿,2.29亿,25.52亿,--
42,43,835579,机科股份,16.56,0.73,0.12,0.0,5.25,1.16,3.95,0.30亿,0.35亿,5.74亿,67.67
43,44,688307,中润光学,21.29,0.52,0.11,-0.05,3.56,1.8,6.47,0.44亿,0.57亿,12.15亿,42.24
44,45,002284,亚太股份,7.99,1.27,0.1,-0.25,3.63,1.33,3.04,2.14亿,7.31亿,58.42亿,24.37
45,46,688306,均普智能,4.59,1.55,0.07,-0.22,5.81,3.98,6.86,1.28亿,4.68亿,21.49亿,--
46,47,832491,奥迪威,15.24,0.4,0.06,0.0,1.94,0.9,5.14,0.32亿,1.07亿,16.29亿,26.39
47,48,002448,中原内配,6.61,0.76,0.05,0.0,3.02,1.0,3.05,0.98亿,4.87亿,32.18亿,10.94
48,49,002845,同兴达,14.13,0.35,0.05,0.0,3.09,1.05,2.34,0.98亿,2.25亿,31.78亿,154.89
49,50,300098,高新兴,3.57,1.42,0.05,0.0,4.16,2.08,6.53,2.30亿,15.42亿,55.04亿,198.73
50,51,601038,一拖股份,18.04,0.28,0.05,-0.11,1.02,0.65,2.89,1.35亿,7.32亿,132.00亿,8.46
51,52,605005,合兴股份,17.12,0.29,0.05,0.0,0.59,1.17,2.58,0.41亿,4.01亿,68.65亿,31.12
52,53,605555,德昌股份,20.72,0.24,0.05,0.0,4.61,0.91,4.11,1.31亿,1.36亿,28.12亿,22.61
53,54,301195,北路智控,35.96,0.11,0.04,-0.06,2.26,0.69,2.12,0.40亿,0.49亿,17.65亿,32.32
54,55,688280,精进电动,4.87,0.83,0.04,0.0,1.04,1.12,4.14,0.23亿,4.60亿,22.39亿,--
55,56,688582,芯动联科,33.3,0.12,0.04,-0.03,4.35,1.11,3.01,0.72亿,0.50亿,16.52亿,--
56,57,837242,建邦科技,16.06,0.25,0.04,0.0,2.11,1.38,4.99,0.12亿,0.35亿,5.61亿,20.75
57,58,300044,赛为智能,5.61,0.54,0.03,0.18,10.76,1.3,6.81,4.60亿,7.64亿,42.85亿,167.62
58,59,600699,均胜电子,17.63,0.17,0.03,-0.06,2.08,1.2,2.78,5.05亿,13.68亿,241.19亿,20.26
59,60,603686,福龙马,8.81,0.23,0.02,0.0,1.38,1.27,1.71,0.51亿,4.16亿,36.62亿,14.08
60,61,603920,世运电路,18.07,0.11,0.02,0.00,4.78,1.36,5.76,4.73亿,5.40亿,97.66亿,27.39
61,62,002766,索菱股份,4.58,0.22,0.01,-0.22,3.20,1.22,3.72,1.25亿,8.48亿,38.83亿,101.54
62,63,603266,天龙股份,19.38,0.05,0.01,0.00,2.88,1.33,4.13,1.12亿,1.99亿,38.54亿,29.25
63,64,834599,同力股份,9.37,0.11,0.01,0.00,1.23,0.59,1.39,0.26亿,2.25亿,21.11亿,8.96
64,65,000851,高鸿股份,--,--,--,--,--,--,--,--,11.32亿,51.49亿,12.37
65,66,002204,大连重工,4.80,0.00,0.00,0.00,1.02,0.89,1.25,0.95亿,19.31亿,92.71亿,16.25
66,67,002703,浙江世宝,13.05,0.00,0.00,-0.08,7.09,1.76,7.51,5.21亿,5.53亿,72.17亿,123.23
67,68,300020,银江技术,--,--,--,--,--,--,--,--,7.67亿,51.29亿,126.93
68,69,603023,威帝股份,--,--,--,--,--,--,--,--,5.62亿,16.24亿,92.66
69,70,688282,理工导航,--,--,--,--,--,--,--,--,0.37亿,8.20亿,--
70,71,002195,岩山科技,2.97,-0.34,-0.01,-0.34,1.95,1.12,2.69,3.27亿,56.56亿,167.99亿,54.31
71,72,600262,北方股份,17.88,-0.06,-0.01,-0.06,3.17,0.62,2.4,0.96亿,1.70亿,30.40亿,14.63
72,73,600733,北汽蓝谷,6.82,-0.15,-0.01,0.0,5.54,1.0,4.25,17.42亿,45.40亿,309.61亿,--
73,74,601777,力帆科技,3.21,-0.31,-0.01,0.0,0.37,1.12,2.17,0.54亿,45.21亿,145.13亿,237.21
74,75,603528,多伦科技,6.78,-0.15,-0.01,-0.15,2.79,1.29,5.3,1.34亿,7.06亿,47.86亿,235.98
75,76,688207,格灵深瞳,13.29,-0.15,-0.02,0.15,2.63,1.12,3.61,0.62亿,1.79亿,23.74亿,--
76,77,000967,盈峰环境,5.13,-0.58,-0.03,-0.39,0.38,1.02,1.74,0.62亿,31.78亿,163.03亿,23.64
77,78,002383,合众思壮,6.55,-0.46,-0.03,-0.15,2.3,0.92,4.41,0.94亿,6.16亿,40.36亿,--
78,79,002418,康盛股份,2.41,-1.23,-0.03,0.0,1.82,0.92,4.51,0.50亿,11.36亿,27.39亿,291.52
79,80,300131,英唐智控,4.87,-0.81,-0.04,0.0,3.43,0.89,3.26,1.73亿,10.29亿,50.09亿,74.80
80,81,300598,诚迈科技,38.29,-0.1,-0.04,0.03,2.46,1.2,3.44,1.59亿,1.67亿,63.90亿,--
81,82,600967,内蒙一机,8.0,-0.5,-0.04,0.13,0.84,1.01,1.99,1.15亿,16.95亿,135.62亿,20.30
82,83,002065,东华软件,5.47,-0.91,-0.05,0.0,0.78,0.78,2.54,1.24亿,29.08亿,159.06亿,61.95
83,84,300198,纳川股份,1.58,-3.07,-0.05,0.0,3.14,1.03,6.13,0.46亿,9.08亿,14.35亿,--
84,85,300825,阿尔特,12.15,-0.41,-0.05,0.0,4.81,1.78,9.26,2.89亿,4.76亿,57.81亿,72.96
85,86,301007,德迈仕,13.47,-0.37,-0.05,-0.22,8.27,1.09,5.55,1.40亿,1.24亿,16.65亿,39.71
86,87,002806,华锋股份,9.07,-0.66,-0.06,0.22,9.28,1.27,5.37,1.29亿,1.52亿,13.77亿,161.53
87,88,600805,悦达投资,4.02,-1.47,-0.06,0.0,1.14,1.1,2.45,0.39亿,8.50亿,34.18亿,55.08
88,89,002405,四维图新,7.46,-0.93,-0.07,-0.13,4.89,2.14,6.64,8.67亿,23.30亿,173.85亿,--
89,90,002881,美格智能,22.17,-0.32,-0.07,0.0,1.32,0.99,2.61,0.54亿,1.84亿,40.89亿,224.28
90,91,600166,福田汽车,2.63,-2.59,-0.07,-0.38,1.65,0.96,2.96,2.87亿,65.75亿,172.93亿,20.54
91,92,603286,日盈电子,18.88,-0.37,-0.07,0.0,13.05,1.38,6.65,2.83亿,1.14亿,21.58亿,94.64
92,93,000723,美锦能源,6.08,-1.3,-0.08,-0.16,0.93,1.02,3.73,2.45亿,42.96亿,261.22亿,--
93,94,000868,安凯客车,4.37,-1.8,-0.08,-0.23,1.48,0.93,3.6,0.48亿,7.33亿,32.05亿,211.50
94,95,300270,中威电子,5.81,-1.36,-0.08,0.17,3.88,1.15,4.58,0.55亿,2.43亿,14.09亿,--
95,96,300655,晶瑞电材,7.5,-1.05,-0.08,0.0,1.3,0.7,2.51,0.93亿,9.50亿,71.25亿,--
96,97,603035,常熟汽饰,15.58,-0.51,-0.08,0.0,1.82,1.1,1.66,1.08亿,3.80亿,59.21亿,14.18
97,98,000572,海马汽车,3.7,-2.38,-0.09,-0.27,1.53,0.81,4.75,0.94亿,16.42亿,60.76亿,--
98,99,000901,航天科技,8.28,-1.07,-0.09,0.0,1.72,0.71,2.39,1.14亿,7.98亿,66.09亿,220.86
99,100,002414,高德红外,7.01,-1.27,-0.09,0.0,0.84,0.82,2.82,2.00亿,33.99亿,238.24亿,892.76
100,101,300275,梅安森,9.68,-0.92,-0.09,-0.21,2.86,0.86,4.61,0.69亿,2.49亿,24.14亿,59.00
101,102,002036,联创电子,7.52,-1.31,-0.1,-0.13,5.05,2.21,6.3,4.09亿,10.53亿,79.22亿,--
102,103,002792,通宇通讯,15.17,-0.66,-0.1,0.0,4.0,0.82,3.54,1.46亿,2.40亿,36.40亿,311.27
103,104,300473,德尔股份,16.18,-0.61,-0.1,-0.19,2.85,0.86,4.05,0.69亿,1.49亿,24.18亿,100.64
104,105,600742,一汽富维,8.85,-1.12,-0.1,0.0,1.65,0.94,2.23,1.09亿,7.43亿,65.76亿,17.48
105,106,601633,长城汽车,26.2,-0.38,-0.1,0.77,0.45,0.76,2.21,7.25亿,61.68亿,1616.14亿,17.34
106,107,688158,优刻得,12.06,-0.82,-0.1,0.0,1.91,0.94,2.96,0.93亿,4.02亿,48.51亿,--
107,108,000800,一汽解放,8.98,-1.21,-0.11,0.11,0.27,0.93,1.87,1.12亿,46.23亿,415.10亿,61.48
108,109,002265,建设工业,10.38,-1.05,-0.11,0.19,0.86,0.82,2.1,0.36亿,4.03亿,41.84亿,116.38
109,110,002937,兴瑞科技,22.03,-0.5,-0.11,0.27,0.76,0.58,1.4,0.50亿,2.95亿,65.10亿,22.59
110,111,600841,动力新科,4.32,-2.48,-0.11,0.23,1.01,0.77,4.06,0.40亿,9.20亿,39.75亿,--
111,112,002444,巨星科技,25.36,-0.47,-0.12,-0.04,1.61,0.64,2.9,4.73亿,11.51亿,291.90亿,18.44
112,113,300557,理工光科,29.35,-0.44,-0.13,0.0,1.16,0.92,2.38,0.24亿,0.70亿,20.47亿,79.71
113,114,300698,万马科技,30.5,-0.42,-0.13,-0.39,1.92,1.37,6.66,0.73亿,1.24亿,37.69亿,689.13
114,115,600718,东软集团,8.45,-1.51,-0.13,0.0,1.19,0.96,2.33,1.21亿,12.04亿,101.71亿,488.02
115,116,600817,宇通重工,9.72,-1.42,-0.14,-0.1,0.42,0.65,1.83,0.22亿,5.33亿,51.78亿,41.48
116,117,601238,广汽集团,8.78,-1.57,-0.14,-0.11,0.52,1.09,2.47,3.40亿,73.62亿,646.40亿,18.86
117,118,002055,得润电子,6.63,-2.36,-0.16,0.3,3.07,1.14,3.98,1.20亿,5.89亿,39.07亿,--
118,119,002446,盛路通信,6.77,-2.31,-0.16,-0.15,4.81,0.69,3.46,2.78亿,8.46亿,57.30亿,45.00
119,120,002373,千方科技,9.81,-1.7,-0.17,0.0,1.55,0.74,5.81,2.11亿,13.78亿,135.14亿,--
120,121,002413,雷科防务,4.39,-3.73,-0.17,-0.23,3.45,0.91,5.7,1.93亿,12.51亿,54.90亿,--
121,122,301132,满坤科技,21.06,-0.8,-0.17,-0.1,3.03,0.65,3.34,0.28亿,0.43亿,9.16亿,113.97
122,123,301215,中汽股份,5.29,-3.11,-0.17,-0.19,2.15,1.18,4.95,0.89亿,7.67亿,40.60亿,74.79
123,124,600678,四川金顶,5.63,-2.93,-0.17,0.18,6.48,0.93,4.83,1.28亿,3.49亿,19.65亿,--
124,125,002649,博彦科技,9.51,-1.86,-0.18,-0.21,3.89,1.4,3.61,2.05亿,5.53亿,52.57亿,72.94
125,126,002189,中光学,15.5,-1.21,-0.19,-0.19,2.39,0.92,4.08,0.97亿,2.61亿,40.48亿,--
126,127,002869,金溢科技,19.26,-0.98,-0.19,-0.05,4.72,0.83,5.4,1.46亿,1.58亿,30.46亿,--
127,128,834475,三友科技,7.67,-2.42,-0.19,0.0,2.34,1.05,4.2,0.08亿,0.46亿,3.49亿,55.12
128,129,000909,ST数源,3.89,-4.89,-0.2,0.0,1.47,1.21,1.96,0.22亿,3.87亿,15.07亿,--
129,130,002236,大华股份,17.99,-1.1,-0.2,0.0,1.89,0.87,1.76,7.07亿,20.82亿,374.56亿,26.41
130,131,300742,*ST越博,0.8,-20.0,-0.2,0.0,15.68,1.12,19.0,0.16亿,1.15亿,0.92亿,--
131,132,300099,尤洛卡,5.29,-3.82,-0.21,0.0,4.4,0.61,4.55,1.38亿,5.81亿,30.76亿,91.35
132,133,301099,雅创电子,40.78,-0.51,-0.21,-0.07,9.7,0.65,4.86,1.16亿,0.29亿,11.83亿,30.81
133,134,301386,未来电器,21.63,-0.96,-0.21,0.0,3.08,0.94,1.74,0.29亿,0.43亿,9.28亿,38.63
134,135,600006,东风汽车,7.38,-2.77,-0.21,0.0,4.42,1.0,5.14,6.64亿,20.00亿,147.60亿,26.34
135,136,300075,数字政通,15.66,-1.45,-0.23,-0.06,4.31,0.73,4.03,3.50亿,5.14亿,80.55亿,43.01
136,137,300322,硕贝德,9.24,-2.53,-0.24,0.0,7.33,0.91,6.54,3.05亿,4.44亿,40.98亿,--
137,138,300923,研奥股份,17.8,-1.33,-0.24,0.17,2.44,0.82,4.38,0.18亿,0.40亿,7.18亿,89.56
138,139,601799,星宇股份,133.35,-0.18,-0.24,0.0,0.29,0.62,1.68,1.10亿,2.86亿,380.95亿,39.23
139,140,300790,宇瞳光学,14.45,-1.7,-0.25,0.14,8.47,1.47,6.94,3.11亿,2.46亿,35.61亿,30.11
