,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600599,ST熊猫,12.28,1.15,0.14,44923,54104888.0,7.83,12.48,11.53,12.37,12.14,2.71,41.45,3.39
1,2,600421,华嵘控股,6.31,0.96,0.06,110376,70012189.0,8.16,6.56,6.05,6.16,6.25,5.64,-184.82,129.96
2,3,600898,*ST美讯,1.67,-1.18,-0.02,127729,21357662.0,7.69,1.74,1.61,1.61,1.69,5.06,-10.69,-4.51
3,4,603773,沃格光电,17.98,-1.64,-0.3,111552,197596706.0,4.43,18.16,17.35,17.79,18.28,5.49,-65.86,2.99
4,5,300006,莱美药业,2.71,-1.81,-0.05,439991,119351714.1,8.33,2.87,2.64,2.82,2.76,4.17,1077.24,1.37
5,6,600495,晋西车轴,3.25,-1.81,-0.06,227198,74066174.0,5.44,3.38,3.2,3.34,3.31,1.88,-98.98,1.22
6,7,003043,华亚智能,39.32,-1.82,-0.73,41297,162188846.72,3.3,39.97,38.65,38.7,40.05,8.48,31.29,2.97
7,8,300341,麦克奥迪,8.81,-3.19,-0.29,218413,191225919.98,5.93,9.12,8.58,8.94,9.1,4.24,29.42,2.62
8,9,001387,雪祺电气,13.02,-3.2,-0.43,76041,98653729.27,5.13,13.37,12.68,13.35,13.45,17.11,29.68,1.99
9,10,600478,科力远,3.26,-3.26,-0.11,394737,127850032.0,5.93,3.37,3.17,3.36,3.37,2.37,152.24,2.01
10,11,002989,中天精装,17.59,-3.4,-0.62,96900,168814754.1,7.14,18.18,16.88,17.38,18.21,5.84,-35.07,2.11
11,12,300859,西域旅游,27.31,-3.91,-1.11,170218,456960333.87,5.95,27.85,26.16,27.59,28.42,10.98,72.06,6.04
12,13,002141,*ST贤丰,1.37,-4.86,-0.07,772584,111310394.0,9.72,1.51,1.37,1.43,1.44,6.81,142.78,1.66
13,14,600804,*ST鹏博,1.72,-4.97,-0.09,242949,42080095.0,2.76,1.77,1.72,1.74,1.81,1.74,-5.35,4.19
14,15,603559,*ST通脉,7.25,-4.98,-0.38,47854,35119516.0,4.85,7.62,7.25,7.62,7.63,3.34,-8.75,17.84
15,16,000851,ST高鸿,3.02,-5.03,-0.16,398061,120395469.0,1.89,3.08,3.02,3.03,3.18,3.52,381.96,1.2
16,17,002005,ST德豪,1.29,-5.15,-0.07,242574,32093378.84,5.15,1.36,1.29,1.33,1.36,1.38,-28.1,6.53
17,18,002528,ST英飞拓,2.38,-5.18,-0.13,739645,183241892.54,9.56,2.62,2.38,2.44,2.51,7.04,-20.51,6.74
18,19,603988,中电电机,10.31,-5.76,-0.63,257151,262739898.0,10.15,10.99,9.88,10.93,10.94,10.93,-48.86,3.77
19,20,600571,信雅达,9.15,-6.35,-0.62,644071,584761782.0,7.27,9.5,8.79,9.46,9.77,14.07,-36.58,3.7
20,21,002717,岭南股份,1.2,-6.98,-0.09,3055730,370127887.96,10.08,1.29,1.16,1.26,1.29,20.85,-3.9,1.05
21,22,002104,恒宝股份,5.65,-7.53,-0.46,762363,433659537.82,7.36,5.98,5.53,5.86,6.11,12.81,31.27,1.81
22,23,001298,好上好,28.49,-9.98,-3.16,24609,70111041.0,0.0,28.49,28.49,28.49,31.65,2.34,148.51,3.78
23,24,603306,华懋科技,20.46,-9.99,-2.27,591283,1243057826.0,9.63,22.65,20.46,21.61,22.73,18.13,25.21,1.99
24,25,600611,大众交通,9.27,-10.0,-1.03,102902,95390154.0,0.0,9.27,9.27,9.27,10.3,0.66,97.82,2.31
25,26,603626,科森科技,10.7,-10.01,-1.19,251746,269387208.0,0.84,10.8,10.7,10.7,11.89,4.54,-18.48,2.31
26,27,600576,祥源文旅,5.0,-10.07,-0.56,580625,294925895.0,8.09,5.45,5.0,5.4,5.56,8.63,44.9,1.95
