,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,603232,格尔软件,15.93,10.01,1.45,0.0,27.08,5.79,5.59,10.00亿,2.33亿,37.17亿,--
1,2,003029,吉大正元,27.58,4.87,1.28,0.0,14.07,1.2,13.69,6.60亿,1.71亿,47.13亿,--
2,3,688228,开普云,49.44,2.36,1.14,-0.18,2.42,0.89,6.4,0.80亿,0.68亿,33.38亿,2926.35
3,4,300520,科大国创,21.98,4.92,1.03,-0.05,21.58,2.27,13.32,11.07亿,2.33亿,51.23亿,271.86
4,5,300768,迪普科技,13.99,6.55,0.86,0.0,6.18,2.45,13.86,3.54亿,4.21亿,58.85亿,61.38
5,6,300730,科创信息,10.07,5.33,0.51,0.2,11.82,3.47,15.27,2.38亿,1.97亿,19.79亿,--
6,7,300546,雄帝科技,11.23,3.88,0.42,0.27,9.73,1.86,6.2,1.41亿,1.30亿,14.60亿,--
7,8,000032,深桑达A,17.59,2.39,0.41,0.06,6.6,2.12,5.65,7.38亿,6.45亿,113.41亿,293.42
8,9,300634,彩讯股份,19.64,1.76,0.34,0.0,4.75,1.14,3.42,3.99亿,4.31亿,84.70亿,26.25
9,10,835207,众诚科技,7.45,4.34,0.31,0.0,8.07,0.99,5.04,0.21亿,0.35亿,2.62亿,212.42
10,11,002298,中电兴发,5.66,5.21,0.28,0.18,15.5,2.15,6.51,5.57亿,6.40亿,36.20亿,32.74
11,12,300167,*ST迪威,1.69,19.86,0.28,0.0,5.41,0.81,5.67,0.31亿,3.37亿,5.69亿,--
12,13,688038,中科通达,9.61,2.78,0.26,0.1,8.71,1.85,9.3,0.69亿,0.81亿,7.82亿,65.75
13,14,300872,天阳科技,13.14,1.86,0.24,-0.15,4.51,1.0,4.42,2.00亿,3.38亿,44.46亿,14.60
14,15,603189,网达软件,12.9,1.57,0.2,0.0,5.19,1.77,4.88,1.81亿,2.70亿,34.77亿,254.38
15,16,301085,亚康股份,51.54,0.31,0.16,-0.02,12.38,1.04,5.43,2.53亿,0.39亿,20.30亿,49.27
16,17,300229,拓尔思,15.7,0.71,0.11,0.0,3.21,1.01,2.95,4.00亿,7.95亿,124.77亿,114.54
17,18,300290,荣科科技,8.77,1.15,0.1,-0.11,11.78,0.99,5.77,6.70亿,6.40亿,56.10亿,--
18,19,002819,东方中科,24.48,0.33,0.08,0.08,1.43,1.1,3.52,0.82亿,2.35亿,57.47亿,--
19,20,301339,通行宝,18.51,0.33,0.06,0.0,5.09,0.99,4.12,1.14亿,1.20亿,22.22亿,41.81
20,21,000971,*ST高升,0.96,5.5,0.05,0.0,1.12,0.31,0.0,0.09亿,8.47亿,8.13亿,--
21,22,002474,榕基软件,5.27,0.77,0.04,0.0,3.58,1.69,4.78,1.00亿,5.30亿,27.93亿,--
22,23,300047,天源迪科,7.64,0.39,0.03,0.0,3.21,0.98,1.97,1.32亿,5.39亿,41.17亿,133.98
23,24,832876,慧为智能,8.99,0.34,0.03,0.0,4.26,0.93,6.03,0.11亿,0.30亿,2.69亿,51.96
24,25,002362,汉王科技,19.52,0.1,0.02,0.0,3.69,1.04,3.85,1.49亿,2.07亿,40.44亿,--
25,26,003007,直真科技,30.35,0.07,0.02,-0.07,4.1,1.17,3.83,0.91亿,0.74亿,22.34亿,--
26,27,603686,福龙马,8.81,0.23,0.02,0.0,1.38,1.27,1.71,0.51亿,4.16亿,36.62亿,14.08
27,28,688489,三未信安,34.07,0.06,0.02,-0.09,3.46,0.87,5.87,0.59亿,0.50亿,17.01亿,--
28,29,002045,国光电器,13.13,0.08,0.01,0.0,2.43,1.05,1.98,1.50亿,4.68亿,61.41亿,63.93
29,30,002301,齐心集团,5.73,0.17,0.01,-0.35,1.05,0.76,2.45,0.43亿,7.18亿,41.14亿,20.90
30,31,003040,楚天龙,13.12,0.08,0.01,0.00,1.50,0.88,1.91,0.90亿,4.57亿,59.94亿,79.35
31,32,300061,旗天科技,4.21,0.24,0.01,0.00,1.85,0.82,3.57,0.48亿,6.17亿,25.98亿,--
32,33,300830,金现代,6.16,0.16,0.01,0.16,3.09,1.08,4.71,0.59亿,3.10亿,19.11亿,--
33,34,300921,南凌科技,18.93,0.05,0.01,0.00,3.60,0.97,4.07,0.54亿,0.79亿,15.04亿,515.03
34,35,600602,云赛智联,13.32,0.07,0.01,0.00,3.76,1.27,3.83,5.39亿,10.74亿,143.10亿,75.89
35,36,002197,证通电子,--,--,--,--,--,--,--,--,5.34亿,44.67亿,468.69
36,37,002376,新北洋,6.20,0.00,0.00,-0.16,1.35,0.99,3.06,0.52亿,6.25亿,38.77亿,--
37,38,002528,英飞拓,--,--,--,--,--,--,--,--,10.46亿,61.74亿,--
38,39,002587,奥拓电子,5.76,0.00,0.00,0.00,2.68,1.01,3.47,0.79亿,5.15亿,29.68亿,1544.89
39,40,002642,荣联科技,6.23,0.00,0.00,0.16,3.55,0.92,3.69,1.33亿,6.05亿,37.68亿,197.51
40,41,300020,银江技术,--,--,--,--,--,--,--,--,7.67亿,51.29亿,126.93
41,42,300250,初灵信息,13.86,0.00,0.00,0.00,3.17,0.98,3.39,0.72亿,1.64亿,22.67亿,508.66
42,43,300579,数字认证,20.78,0.00,0.00,0.00,1.06,0.91,3.42,0.58亿,2.62亿,54.42亿,--
43,44,002212,天融信,6.23,-0.16,-0.01,0.16,2.55,0.84,3.53,1.85亿,11.67亿,72.73亿,--
44,45,300609,汇纳科技,18.83,-0.11,-0.02,-0.11,2.75,0.79,5.30,0.63亿,1.22亿,22.90亿,--
45,46,600410,华胜天成,5.17,-0.39,-0.02,0.00,1.81,0.83,3.28,1.02亿,10.96亿,56.69亿,--
46,47,601929,吉视传媒,1.37,-1.44,-0.02,0.00,1.06,0.83,2.88,0.51亿,34.90亿,47.81亿,--
47,48,603171,税友股份,25.04,-0.08,-0.02,0.00,2.08,1.09,2.51,0.47亿,0.90亿,22.66亿,77.77
48,49,688207,格灵深瞳,13.29,-0.15,-0.02,0.15,2.63,1.12,3.61,0.62亿,1.79亿,23.74亿,--
49,50,002261,拓维信息,14.13,-0.21,-0.03,-0.07,4.10,1.02,2.97,6.53亿,11.23亿,158.63亿,731.53
50,51,300166,东方国信,7.48,-0.4,-0.03,0.0,1.89,0.89,2.8,1.30亿,9.19亿,68.76亿,515.81
51,52,300245,天玑科技,6.07,-0.49,-0.03,0.5,2.84,1.09,4.92,0.53亿,3.11亿,18.89亿,144.14
52,53,300287,飞利信,2.83,-1.05,-0.03,0.36,2.33,0.97,4.2,0.85亿,12.92亿,36.57亿,--
53,54,300248,新开普,7.43,-0.54,-0.04,0.0,1.44,0.92,3.21,0.44亿,4.09亿,30.40亿,--
54,55,300271,华宇软件,6.08,-0.65,-0.04,0.17,1.76,0.9,3.27,0.85亿,8.02亿,48.75亿,--
55,56,603106,恒银科技,5.29,-0.75,-0.04,0.0,2.82,1.13,5.63,0.77亿,5.21亿,27.54亿,--
56,57,603206,嘉环科技,14.35,-0.28,-0.04,0.07,3.14,0.89,2.92,0.39亿,0.87亿,12.51亿,42.78
57,58,002117,东港股份,8.26,-0.6,-0.05,0.0,0.76,0.83,2.05,0.34亿,5.45亿,45.06亿,25.95
58,59,002279,久其软件,5.24,-0.94,-0.05,0.19,2.36,1.16,3.97,0.98亿,7.98亿,41.80亿,--
59,60,300324,旋极信息,2.7,-1.82,-0.05,0.0,2.08,0.87,4.0,0.97亿,17.09亿,46.13亿,--
60,61,300605,恒锋信息,10.23,-0.49,-0.05,0.0,2.94,0.92,4.96,0.34亿,1.13亿,11.55亿,--
61,62,300941,创识科技,17.92,-0.28,-0.05,0.0,7.02,1.9,8.07,1.57亿,1.21亿,21.75亿,61.52
62,63,300379,东方通,10.73,-0.56,-0.06,0.09,3.5,1.22,4.26,2.12亿,5.67亿,60.81亿,--
63,64,600662,外服控股,4.76,-1.25,-0.06,0.0,0.98,1.13,3.53,0.49亿,10.53亿,50.14亿,14.03
64,65,000676,智度股份,6.68,-1.04,-0.07,-0.3,3.35,0.86,3.56,2.85亿,12.75亿,85.17亿,38.59
65,66,002104,恒宝股份,6.29,-1.1,-0.07,-0.16,2.12,1.13,2.52,0.79亿,5.95亿,37.45亿,42.20
66,67,002757,南兴股份,14.05,-0.5,-0.07,0.0,2.91,1.1,1.91,1.15亿,2.82亿,39.63亿,12.38
67,68,300002,神州泰岳,9.69,-0.72,-0.07,0.0,2.99,0.59,2.56,5.28亿,18.19亿,176.28亿,16.10
68,69,300366,创意信息,8.86,-0.78,-0.07,0.11,3.65,1.03,4.82,1.64亿,5.09亿,45.10亿,--
69,70,300423,昇辉科技,5.53,-1.25,-0.07,-0.36,3.4,1.19,5.18,0.61亿,3.25亿,17.95亿,134.45
70,71,300531,优博讯,10.62,-0.66,-0.07,-0.28,1.73,0.98,3.37,0.58亿,3.15亿,33.47亿,470.63
71,72,002908,德生科技,9.23,-0.86,-0.08,0.0,1.94,0.83,3.65,0.55亿,3.09亿,28.56亿,144.96
72,73,300096,ST易联众,3.48,-2.25,-0.08,0.0,4.26,0.93,5.34,0.54亿,3.59亿,12.50亿,--
73,74,300168,万达信息,5.81,-1.36,-0.08,-0.17,0.95,0.92,4.25,0.75亿,13.62亿,79.11亿,--
74,75,688579,山大地纬,9.3,-0.85,-0.08,0.22,0.95,0.89,2.67,0.35亿,4.00亿,37.20亿,63.07
75,76,300469,信息发展,13.33,-0.67,-0.09,-0.23,6.52,0.92,6.11,2.08亿,2.35亿,31.39亿,--
76,77,300311,任子行,4.46,-2.19,-0.1,-0.22,2.46,1.51,4.17,0.59亿,5.37亿,23.97亿,--
77,78,688158,优刻得,12.06,-0.82,-0.1,0.0,1.91,0.94,2.96,0.93亿,4.02亿,48.51亿,--
78,79,002512,达华智能,4.21,-2.55,-0.11,0.0,3.5,1.17,3.94,1.55亿,10.48亿,44.14亿,790.54
79,80,300608,思特奇,11.45,-0.95,-0.11,0.0,4.52,1.06,6.32,1.44亿,2.75亿,31.50亿,--
80,81,300766,每日互动,11.81,-0.92,-0.11,0.17,2.28,0.92,4.36,0.98亿,3.62亿,42.78亿,--
