,序号,代码,名称,现价,涨跌幅,涨跌,涨速,换手,量比,振幅,成交额,流通股,流通市值,市盈率
0,1,300496,中科创达,56.49,8.22,4.29,-0.14,13.82,1.82,11.53,28.23亿,3.67亿,207.37亿,71.58
1,2,001314,亿道信息,46.24,9.99,4.2,0.0,23.26,1.73,7.47,5.47亿,0.52亿,23.94亿,--
2,3,301578,辰奕智能,54.69,8.25,4.17,0.15,24.02,1.76,11.2,1.47亿,0.11亿,6.22亿,46.81
3,4,603296,华勤技术,85.6,4.15,3.41,0.01,9.64,1.95,6.84,5.03亿,0.61亿,52.56亿,25.65
4,5,301280,珠城科技,42.48,4.55,1.85,0.0,12.73,2.73,4.92,1.41亿,0.26亿,11.20亿,21.64
5,6,300539,横河精密,9.88,15.29,1.31,0.31,12.04,9.51,20.19,1.97亿,1.71亿,16.91亿,67.57
6,7,603083,剑桥科技,33.86,3.96,1.29,-0.06,6.21,1.54,6.2,5.55亿,2.65亿,89.76亿,87.44
7,8,300598,诚迈科技,29.54,4.23,1.2,-0.03,3.91,2.05,5.47,2.52亿,2.17亿,64.08亿,--
8,9,301135,瑞德智能,21.61,5.72,1.17,0.05,10.83,2.22,7.53,1.14亿,0.49亿,10.69亿,190.50
9,10,301502,华阳智能,37.34,3.15,1.14,0.08,13.76,0.97,4.86,0.69亿,0.14亿,5.05亿,68.42
10,11,301061,匠心家居,46.2,2.26,1.02,-0.13,3.61,0.92,3.54,0.69亿,0.42亿,19.22亿,15.88
11,12,300909,汇创达,23.95,4.31,0.99,0.04,6.49,1.19,5.66,1.78亿,1.14亿,27.36亿,80.81
12,13,300624,万兴科技,80.15,1.2,0.95,0.01,3.42,1.09,1.78,3.37亿,1.22亿,98.14亿,108.00
13,14,301189,奥尼电子,22.22,4.03,0.86,0.0,4.5,1.31,4.35,0.41亿,0.41亿,9.15亿,--
14,15,301008,宏昌科技,26.63,3.3,0.85,-0.04,7.51,0.59,3.8,0.49亿,0.25亿,6.56亿,33.01
15,16,300857,协创数据,55.85,1.51,0.83,-0.09,1.36,0.82,4.54,1.86亿,2.44亿,136.16亿,20.98
16,17,002855,捷荣技术,22.08,3.56,0.76,0.0,2.29,1.91,4.22,1.25亿,2.46亿,54.37亿,--
17,18,301336,趣睡科技,32.55,2.33,0.74,0.0,1.31,0.9,3.08,0.11亿,0.26亿,8.38亿,42.19
18,19,600996,贵广网络,7.91,10.01,0.72,0.0,4.53,4.47,8.9,4.21亿,12.11亿,95.77亿,--
19,20,002937,兴瑞科技,21.68,3.34,0.7,-0.18,0.69,0.98,4.05,0.44亿,2.95亿,64.06亿,22.24
20,21,300968,格林精密,9.74,7.27,0.66,0.0,6.32,2.1,10.02,2.54亿,4.13亿,40.26亿,122.27
21,22,688653,康希通信,11.39,4.02,0.44,0.09,7.68,1.63,6.48,0.48亿,0.55亿,6.22亿,--
22,23,300339,润和软件,21.82,2.01,0.43,-0.05,3.29,1.42,2.99,5.58亿,7.78亿,169.69亿,169.50
23,24,300735,光弘科技,20.99,2.04,0.42,0.05,4.36,1.47,4.86,6.97亿,7.53亿,158.05亿,67.78
24,25,002841,视源股份,32.82,1.23,0.4,-0.12,0.69,1.1,2.53,1.10亿,4.83亿,158.44亿,32.25
25,26,300007,汉威科技,14.1,2.47,0.34,0.07,2.73,1.55,2.69,1.09亿,2.83亿,39.90亿,79.68
26,27,301320,豪江智能,15.09,2.24,0.33,0.0,3.86,1.13,2.51,0.26亿,0.45亿,6.84亿,54.27
27,28,605365,立达信,17.74,1.9,0.33,0.0,2.49,0.79,2.53,0.26亿,0.59亿,10.51亿,32.49
28,29,002983,芯瑞达,22.26,1.46,0.32,-0.14,2.02,0.98,1.82,0.48亿,1.06亿,23.56亿,29.64
29,30,300939,秋田微,28.6,1.13,0.32,-0.04,1.64,1.28,2.58,0.56亿,1.20亿,34.32亿,35.63
30,31,603219,富佳股份,15.11,2.16,0.32,0.07,1.92,1.03,3.04,0.45亿,1.55亿,23.46亿,43.03
31,32,300183,东软载波,12.59,2.52,0.31,0.08,3.08,1.51,5.38,1.42亿,3.71亿,46.70亿,197.90
32,33,002925,盈趣科技,13.01,2.36,0.3,-0.08,1.0,1.36,3.07,0.96亿,7.37亿,95.91亿,45.64
