,序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率
0,1,600839,四川长虹,5.13,4.27,0.21,2971495,1500997788.0,6.91,5.17,4.83,4.93,4.92,6.44,42.22,1.65
1,2,300079,数码视讯,4.24,2.66,0.11,354181,147186200.0,5.57,4.26,4.03,4.14,4.13,2.76,5160.33,1.44
2,3,300128,锦富技术,3.29,1.86,0.06,203313,66502480.27,2.48,3.31,3.23,3.24,3.23,1.57,-18.54,4.41
3,4,002519,银河电子,4.44,1.6,0.07,115833,50803094.0,2.97,4.46,4.33,4.39,4.37,1.04,18.4,1.56
4,5,002241,歌尔股份,19.25,1.53,0.29,518430,986023097.37,4.59,19.42,18.55,18.9,18.96,1.72,26.85,2.11
5,6,000156,华数传媒,6.28,1.29,0.08,75984,46820936.8,4.52,6.3,6.02,6.2,6.2,0.47,23.97,0.77
6,7,301045,天禄科技,16.78,1.08,0.18,17183,28445621.4,4.34,16.87,16.15,16.46,16.6,2.53,61.44,1.88
7,8,300133,华策影视,5.12,0.99,0.05,381904,191843014.0,3.94,5.13,4.93,5.08,5.07,2.35,68.35,1.39
8,9,000810,创维数字,9.67,0.83,0.08,515008,488618896.41,4.17,9.7,9.3,9.58,9.59,4.61,30.59,1.74
9,10,600637,东方明珠,6.27,0.48,0.03,137507,85041246.0,2.88,6.28,6.1,6.26,6.24,0.41,24.9,0.71
10,11,600959,江苏有线,2.75,0.36,0.01,202942,55296187.0,2.19,2.76,2.7,2.75,2.74,0.41,45.88,0.62
11,12,002429,兆驰股份,4.48,-1.75,-0.08,294905,131809441.06,3.29,4.57,4.42,4.56,4.56,0.65,11.13,1.33
12,13,002052,*ST同洲,1.95,-4.88,-0.1,21073,4109235.0,0.0,1.95,1.95,1.95,2.05,0.28,-20.16,-54.48
13,14,600804,*ST鹏博,1.72,-4.97,-0.09,242949,42080095.0,2.76,1.77,1.72,1.74,1.81,1.74,-5.35,4.19
